"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P06","1",0.272,0.342,0.26,0.308
"P06","2",0.053,0.147,0.062,0.054
"P06","3",0.064,0.037,0.112,0.052
"P06","4",0.082,0.027,0.037,0.107
"P06","5",0.182,0.192,0.148,0.178
"P06","6",0.067,0.024,0.026,0.051
"P06","7",0.109,0.048,0.058,0.069
"P06","8",0.057,0.037,0.068,0.054
"P06","9",0.114,0.146,0.229,0.127
"P07","1",0.229,0.313,0.308,0.271
"P07","2",0.05,0.102,0.051,0.037
"P07","3",0.063,0.023,0.05,0.027
"P07","4",0.061,0.041,0.025,0.03
"P07","5",0.172,0.165,0.195,0.168
"P07","6",0.057,0.043,0.038,0.05
"P07","7",0.102,0.042,0.037,0.089
"P07","8",0.071,0.043,0.055,0.086
"P07","9",0.195,0.228,0.241,0.242
"P08","1",0.461,0.427,0.409,0.381
"P08","2",0.045,0.051,0.04,0.03
"P08","3",0.045,0.03,0.024,0.03
"P08","4",0.033,0.02,0.028,0.023
"P08","5",0.113,0.084,0.104,0.112
"P08","6",0.03,0.013,0.028,0.033
"P08","7",0.041,0.028,0.014,0.042
"P08","8",0.032,0.028,0.013,0.038
"P08","9",0.2,0.319,0.34,0.311
"P10","Del Frente de Todos y el peronismo",0.33,0.271,0.23,0.234
"P10","De Cambiemos",0.327,0.313,0.346,0.561
"P10","De los Liberales libertarios",0.174,0.163,0.182,0.078
"P10","De la Izquierda",0.05,0.046,0.043,0.021
"P10","No sabe",0.119,0.207,0.199,0.106
"P11","A Alberto Fernández",0.102,0.246,0.327,0.111
"P11","A Sergio Massa",0.25,0.173,0.075,0.155
"P11","A algún candidato del peronismo",0.138,0.152,0.173,0.122
"P11","A algún candidato del kirchnerismo",0.51,0.429,0.425,0.612
"P12","A Alberto Fernández",0.064,0.216,0.246,0.056
"P12","A Sergio Massa",0.142,0.181,0.073,0.074
"P12","A algún candidato del peronismo",0.108,0.069,0.125,0.098
"P12","A Cristina Fernández de Kirchner",0.686,0.534,0.556,0.772
"P13","A Horacio Rodriguez Larreta",0.269,0.237,0.25,0.224
"P13","A Mauricio Macri",0.297,0.355,0.329,0.306
"P13","A Patricia Bullrich",0.354,0.309,0.362,0.413
"P13","A Facundo Manes",0.049,0.051,0.032,0.032
"P13","A Gerardo Morales",0.031,0.048,0.027,0.025
"P14","Del Frente de Todos y el peronismo",0.306,0.23,0.23,0.219
"P14","A Juntos por el Cambio",0.363,0.322,0.343,0.571
"P14","De los Liberales libertarios",0.166,0.142,0.16,0.077
"P14","De la Izquierda",0.076,0.065,0.059,0.036
"P14","No sabe",0.089,0.241,0.208,0.097
"P16","A Leandro Santoro",0.612,0.469,0.556,0.72
"P16","A Matias Lammens",0.188,0.263,0.279,0.098
"P16","A Mariano Recalde",0.2,0.268,0.165,0.182
"P17","A Soledad Acuña",0.046,0.065,0.086,0.029
"P17","A Jorge Macri",0.25,0.279,0.372,0.356
"P17","A Martín Lousteau",0.264,0.266,0.185,0.225
"P17","A Fernan Quirós",0.238,0.177,0.212,0.218
"P17","A Ricardo López Murphy",0.202,0.213,0.145,0.172
"P18","Lo votaría",0.177,0.162,0.138,0.243
"P18","Puede que lo vote",0.217,0.213,0.215,0.232
"P18","Nunca lo votaría",0.505,0.418,0.454,0.406
"P18","No sabe",0.101,0.207,0.193,0.119
"P19","Lo votaría",0.259,0.158,0.204,0.226
"P19","Puede que lo vote",0.149,0.184,0.125,0.104
"P19","Nunca lo votaría",0.496,0.426,0.465,0.544
"P19","No sabe",0.096,0.232,0.206,0.126
"P20","Lo votaría",0.082,0.071,0.13,0.104
"P20","Puede que lo vote",0.188,0.204,0.168,0.239
"P20","Nunca lo votaría",0.613,0.469,0.49,0.509
"P20","No sabe",0.117,0.256,0.212,0.148
"P21","Lo votaría",0.11,0.095,0.102,0.069
"P21","Puede que lo vote",0.221,0.193,0.155,0.167
"P21","Nunca lo votaría",0.568,0.489,0.496,0.623
"P21","No sabe",0.101,0.223,0.247,0.141
"P22","Lo votaría",0.17,0.107,0.164,0.263
"P22","Puede que lo vote",0.27,0.186,0.185,0.288
