"var","categoria","1","2","3","4","5","6","7","8","9"
"P05","Tengo trabajo estable",0.508,0.521,0.727,0.713,0.567,0.628,0.691,0.593,0.521
"P05","Realizo changas o trabajos de vez en cuando",0.169,0.255,0.065,0.116,0.132,0.114,0.068,0.087,0.148
"P05","No tengo trabajo",0.128,0.099,0.106,0.056,0.121,0.078,0.047,0.086,0.121
"P05","Soy jubilado o pensionado",0.195,0.125,0.102,0.115,0.18,0.18,0.194,0.234,0.21
"P06","1",0.359,0.253,0.066,0.058,0.128,0.13,0.138,0.29,0.5
"P06","2",0.06,0.187,0.048,0.059,0.045,0.063,0.086,0.082,0.067
"P06","3",0.022,0.043,0.16,0.076,0.051,0.083,0.15,0.134,0.04
"P06","4",0.029,0.034,0.022,0.312,0.078,0.127,0.132,0.118,0.041
"P06","5",0.09,0.122,0.094,0.162,0.456,0.246,0.187,0.125,0.097
"P06","6",0.037,0.041,0.133,0.122,0.053,0.191,0.048,0.037,0.018
"P06","7",0.079,0.155,0.261,0.128,0.079,0.107,0.215,0.045,0.016
"P06","8",0.065,0.117,0.109,0.045,0.044,0.018,0.026,0.149,0.028
"P06","9",0.259,0.048,0.107,0.038,0.066,0.035,0.018,0.02,0.193
"P08","1",0.66,0.49,0.554,0.396,0.393,0.343,0.276,0.245,0.317
"P08","2",0.018,0.16,0.064,0.052,0.038,0.076,0.061,0.068,0.013
"P08","3",0.027,0.016,0.124,0.059,0.034,0.054,0.061,0.043,0.02
"P08","4",0.009,0.006,0.04,0.131,0.023,0.054,0.048,0.047,0.017
"P08","5",0.049,0.048,0.067,0.087,0.229,0.113,0.137,0.154,0.084
"P08","6",0.007,0.011,0.01,0.041,0.032,0.089,0.061,0.048,0.02
"P08","7",0.004,0.01,0.006,0.039,0.046,0.048,0.124,0.052,0.041
"P08","8",0.005,0.023,0.014,0.016,0.023,0.039,0.086,0.135,0.019
"P08","9",0.221,0.236,0.121,0.179,0.182,0.184,0.146,0.208,0.469
"P10","Del Frente de Todos y el peronismo",0.514,0.486,0.551,0.37,0.208,0.157,0.14,0.14,0.116
"P10","De Cambiemos",0.217,0.196,0.139,0.349,0.412,0.497,0.529,0.512,0.485
"P10","De los Liberales libertarios",0.076,0.125,0.114,0.111,0.1,0.161,0.218,0.237,0.274
"P10","De la Izquierda",0.074,0.051,0.078,0.028,0.039,0.018,0.034,0.011,0.024
"P10","No sabe",0.119,0.142,0.118,0.142,0.241,0.167,0.079,0.1,0.101
"P11","A Alberto Fernández",0.154,0.166,0.116,0.099,0.09,0.163,0.113,0.054,0.153
"P11","A Sergio Massa",0.159,0.198,0.169,0.249,0.301,0.343,0.267,0.378,0.293
"P11","A algún candidato del peronismo",0.097,0.059,0.119,0.199,0.199,0.259,0.351,0.231,0.172
"P11","A algún candidato del kirchnerismo",0.59,0.577,0.596,0.453,0.41,0.235,0.269,0.337,0.382
"P12","A Alberto Fernández",0.108,0.153,0.05,0.031,0.037,0.14,0.051,0.027,0.146
"P12","A Sergio Massa",0.065,0.128,0.144,0.174,0.227,0.399,0.198,0.161,0.185
"P12","A algún candidato del peronismo",0.069,0.048,0.104,0.099,0.116,0.122,0.304,0.167,0.211
"P12","A Cristina Fernández de Kirchner",0.758,0.671,0.702,0.696,0.62,0.339,0.447,0.645,0.458
"P13","A Horacio Rodriguez Larreta",0.319,0.269,0.184,0.375,0.32,0.225,0.193,0.25,0.194
"P13","A Mauricio Macri",0.319,0.207,0.229,0.264,0.228,0.307,0.315,0.36,0.359
"P13","A Patricia Bullrich",0.27,0.292,0.53,0.298,0.341,0.325,0.432,0.361,0.415
"P13","A Facundo Manes",0.071,0.142,0.03,0.056,0.065,0.076,0.02,0.018,0.016
"P13","A Gerardo Morales",0.021,0.09,0.027,0.007,0.046,0.067,0.04,0.011,0.016
"P14","Del Frente de Todos y el peronismo",0.491,0.462,0.569,0.387,0.191,0.121,0.117,0.073,0.097
"P14","A Juntos por el Cambio",0.21,0.229,0.15,0.346,0.448,0.571,0.594,0.536,0.517
"P14","De los Liberales libertarios",0.078,0.133,0.127,0.08,0.077,0.125,0.185,0.252,0.26
"P14","De la Izquierda",0.109,0.069,0.081,0.048,0.06,0.03,0.046,0.059,0.035
"P14","No sabe",0.112,0.107,0.073,0.139,0.224,0.153,0.058,0.08,0.091
"P16","A Leandro Santoro",0.627,0.606,0.636,0.619,0.619,0.491,0.7,0.666,0.476
"P16","A Matias Lammens",0.155,0.113,0.193,0.261,0.178,0.393,0.244,0.144,0.318
"P16","A Mariano Recalde",0.218,0.281,0.171,0.12,0.203,0.116,0.056,0.19,0.206
