"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P05","Tengo trabajo estable",0.592,0.536,0.539,0.625,0.56
"P05","Realizo changas o trabajos de vez en cuando",0.1,0.123,0.09,0.124,0.167
"P05","No tengo trabajo",0.081,0.087,0.081,0.061,0.072
"P05","Soy jubilado o pensionado",0.227,0.254,0.29,0.19,0.201
"P06","1",0.327,0.385,0.386,0.201,0.212
"P06","2",0.079,0.086,0.072,0.045,0.093
"P06","3",0.094,0.11,0.115,0.08,0.04
"P06","4",0.131,0.105,0.101,0.065,0.099
"P06","5",0.197,0.146,0.186,0.296,0.326
"P06","6",0.057,0.035,0.038,0.073,0.081
"P06","7",0.028,0.049,0.03,0.125,0.045
"P06","8",0.018,0.028,0.027,0.046,0.01
"P06","9",0.069,0.056,0.045,0.069,0.094
"P07","1",0.176,0.145,0.103,0.229,0.098
"P07","2",0.03,0.019,0.023,0.091,0.082
"P07","3",0.016,0.016,0.032,0.015,0.019
"P07","4",0.064,0.037,0.035,0.056,0.01
"P07","5",0.237,0.139,0.175,0.28,0.28
"P07","6",0.068,0.076,0.068,0.132,0.165
"P07","7",0.099,0.132,0.153,0.059,0.166
"P07","8",0.098,0.115,0.098,0.04,0.036
"P07","9",0.212,0.321,0.313,0.098,0.144
"P08","1",0.352,0.25,0.219,0.457,0.286
"P08","2",0.039,0.032,0.034,0.088,0.038
"P08","3",0.042,0.043,0.042,0.023,0.031
"P08","4",0.038,0.035,0.027,0.078,0.045
"P08","5",0.123,0.143,0.157,0.088,0.19
"P08","6",0.028,0.043,0.039,0.046,0.065
"P08","7",0.056,0.066,0.067,0.029,0.053
"P08","8",0.06,0.052,0.049,0.015,0.023
"P08","9",0.262,0.336,0.366,0.176,0.269
"P17","A Soledad Acuña",0.038,0.043,0.047,0.029,0.011
"P17","A Jorge Macri",0.157,0.376,0.366,0.015,0.173
"P17","A Martín Lousteau",0.322,0.176,0.197,0.675,0.508
"P17","A Fernan Quirós",0.357,0.15,0.178,0.212,0.295
"P17","A Ricardo López Murphy",0.126,0.255,0.212,0.069,0.013
"P18","Lo votaría",0.414,0.261,0.294,0.481,0.585
"P18","Puede que lo vote",0.302,0.311,0.331,0.14,0.228
"P18","Nunca lo votaría",0.172,0.347,0.308,0.354,0.123
"P18","No sabe",0.112,0.081,0.067,0.025,0.064
"P19","Lo votaría",0.095,0.04,0.045,0.198,0.136
"P19","Puede que lo vote",0.186,0.087,0.075,0.191,0.21
"P19","Nunca lo votaría",0.558,0.789,0.802,0.547,0.575
"P19","No sabe",0.161,0.084,0.078,0.064,0.079
"P20","Lo votaría",0.158,0.144,0.11,0.052,0.129
"P20","Puede que lo vote",0.294,0.426,0.379,0.164,0.314
"P20","Nunca lo votaría",0.36,0.344,0.398,0.6,0.445
"P20","No sabe",0.188,0.086,0.113,0.184,0.112
"P21","Lo votaría",0.037,0.028,0.015,0.118,0.027
"P21","Puede que lo vote",0.154,0.068,0.083,0.091,0.184
"P21","Nunca lo votaría",0.657,0.833,0.826,0.706,0.691
