"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P25","Nunca lo votaría",0.261,0.2,0.295,0.484,0.767,0.604
"P25","No sabe",0.038,0.073,0.073,0.041,0.034,0.268
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.17,0.349,0.256,0.125,0.048,0
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.142,0.264,0.277,0.226,0.088,0.464
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.132,0.032,0.02,0.003,0.003,0
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.251,0.091,0.087,0.02,0.012,0
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.206,0.18,0.11,0.042,0.009,0
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.041,0.008,0.083,0.266,0.478,0
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.035,0.018,0.034,0.107,0.172,0
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.057,0.123,0.194,0.106,0.536
"P26","A los candidatos de la izquierda",0,0.001,0.01,0.017,0.084,0
"P26","No sabe",0,0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.209,0.331,0.236,0.134,0.041,0.336
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.156,0.284,0.323,0.227,0.094,0.128
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.096,0.03,0.017,0.003,0.007,0
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.222,0.093,0.066,0.018,0.013,0
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.223,0.172,0.124,0.027,0.006,0
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.054,0.018,0.065,0.223,0.466,0
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.029,0.009,0.04,0.1,0.162,0
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.063,0.116,0.2,0.104,0.536
"P27","A los candidatos de la izquierda",0.002,0,0.013,0.068,0.107,0
"P27","No sabe",0,0,0,0,0,0
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.274,0.391,0.299,0.172,0.083,0.128
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.212,0.082,0.03,0.002,0.011,0
"P28","A Martín Lousteau como Jefe de Gobierno",0.262,0.245,0.197,0.079,0.036,0.336
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.153,0.164,0.198,0.143,0.037,0
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.047,0.024,0.096,0.266,0.53,0
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.005,0.033,0.083,0.087,0
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.055,0.122,0.158,0.109,0.268
"P28","A los candidatos de izquierda",0,0.008,0.014,0.079,0.071,0.268
"P28","No sabe",0.011,0.026,0.011,0.018,0.036,0
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.307,0.36,0.314,0.155,0.058,0
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.246,0.139,0.053,0.044,0.019,0
"P29","A Martín Lousteau como Jefe de Gobierno",0.202,0.204,0.218,0.095,0.037,0
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.14,0.112,0.123,0.117,0.158,0.128
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.02,0.015,0.065,0.231,0.413,0
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.054,0.085,0.076,0.07,0.09,0.336
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.018,0.051,0.116,0.196,0.111,0.268
"P29","A los candidatos de izquierda",0.006,0.011,0.019,0.056,0.07,0.268
"P29","No sabe",0.007,0.023,0.016,0.036,0.044,0
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.355,0.163,0.063,0.014,0.024,0.336
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.267,0.49,0.418,0.299,0.101,0.128
"P30","A Martín Lousteau como Jefe de Gobierno",0.206,0.219,0.174,0.086,0.037,0
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.068,0.026,0.095,0.25,0.497,0
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.006,0.039,0.077,0.12,0
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.023,0.056,0.162,0.169,0.103,0
"P30","A los candidatos de la izquierda",0.03,0.008,0.021,0.038,0.087,0
"P30","No sabe",0.035,0.032,0.028,0.067,0.031,0.536
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.41,0.15,0.047,0.008,0.011,0
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.308,0.533,0.458,0.313,0.109,0.128
"P31","A Martín Lousteau como Jefe de Gobierno",0.154,0.204,0.178,0.065,0.022,0
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.049,0.019,0.072,0.228,0.505,0
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.02,0.005,0.044,0.097,0.124,0
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.02,0.052,0.148,0.161,0.103,0.268
"P31","A los candidatos de la izquierda",0.01,0.01,0.015,0.068,0.097,0
"P31","No sabe",0.029,0.027,0.038,0.06,0.029,0.604
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.811,0.817,0.565,0.296,0.11,0.464
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.065,0.023,0.119,0.338,0.635,0
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.029,0.076,0.172,0.239,0.132,0.268
"P32","A los candidatos de la izquierda",0.03,0.008,0.008,0.017,0.101,0
"P32","No sabe",0.065,0.076,0.136,0.11,0.022,0.268
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.793,0.8,0.574,0.285,0.107,0.464
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.072,0.024,0.086,0.34,0.609,0
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.062,0.081,0.17,0.261,0.142,0.268
"P33","A los candidatos de la izquierda",0.011,0.013,0.035,0.023,0.105,0
"P33","No sabe",0.062,0.082,0.135,0.091,0.037,0.268
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.851,0.741,0.427,0.09,0.041,0.464
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.06,0.025,0.104,0.335,0.629,0
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.059,0.124,0.269,0.36,0.19,0.536
"P34","A los candidatos de la izquierda",0,0.008,0.019,0.026,0.091,0
"P34","No sabe",0.03,0.102,0.181,0.189,0.049,0
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.794,0.742,0.41,0.128,0.049,0.464
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.071,0.025,0.094,0.323,0.621,0
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.078,0.129,0.307,0.369,0.187,0.536
"P35","A los candidatos de la izquierda",0.017,0.008,0.018,0.046,0.103,0
"P35","No sabe",0.04,0.096,0.171,0.134,0.04,0
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.798,0.768,0.481,0.105,0.025,0.464
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.067,0.022,0.105,0.357,0.645,0
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.072,0.126,0.255,0.379,0.21,0.536
"P36","A los candidatos de la izquierda",0.017,0.011,0.025,0.026,0.084,0
"P36","No sabe",0.046,0.073,0.134,0.133,0.036,0
