"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Tengo trabajo estable",0.661,0.694,0.599,0.534
"P05","Realizo changas o trabajos de vez en cuando",0.055,0.076,0.101,0.151
"P05","No tengo trabajo",0.083,0.094,0.064,0
"P05","Soy jubilado o pensionado",0.201,0.136,0.236,0.315
"P06","1",0.103,0.24,0.326,0.437
"P06","2",0.031,0.077,0.063,0.044
"P06","3",0.026,0.035,0.104,0.029
"P06","4",0.053,0.017,0.096,0.012
"P06","5",0.174,0.133,0.188,0.288
"P06","6",0.072,0.088,0.044,0.072
"P06","7",0.219,0.177,0.057,0.067
"P06","8",0.127,0.074,0.041,0.051
"P06","9",0.195,0.159,0.081,0
"P07","1",0.52,0.36,0.102,0.365
"P07","2",0.105,0.096,0.034,0
"P07","3",0.116,0.099,0.024,0.062
"P07","4",0.056,0.091,0.033,0.069
"P07","5",0.081,0.154,0.185,0.191
"P07","6",0.018,0.028,0.061,0.079
"P07","7",0.036,0.061,0.148,0.07
"P07","8",0.019,0.015,0.111,0.055
"P07","9",0.049,0.096,0.302,0.109
"P08","1",0.757,0.603,0.276,0.387
"P08","2",0.038,0.078,0.031,0.072
"P08","3",0.058,0.038,0.046,0.038
"P08","4",0.006,0.019,0.027,0.063
"P08","5",0.055,0.101,0.156,0.118
"P08","6",0.007,0.005,0.037,0.038
"P08","7",0.004,0.02,0.066,0.068
"P08","8",0.016,0.008,0.057,0.012
"P08","9",0.059,0.128,0.304,0.204
"P10","Del Frente de Todos y el peronismo",0.903,0.636,0.053,0.157
"P10","De Cambiemos",0.044,0.164,0.621,0.611
"P10","De los Liberales libertarios",0.016,0.1,0.23,0.091
"P10","De la Izquierda",0.016,0.046,0.035,0
"P10","No sabe",0.021,0.054,0.061,0.141
"P11","A Alberto Fernández",0.123,0.084,0.129,0.229
"P11","A Sergio Massa",0.188,0.26,0.264,0.405
"P11","A algún candidato del peronismo",0.099,0.079,0.299,0
"P11","A algún candidato del kirchnerismo",0.59,0.577,0.308,0.366
"P12","A Alberto Fernández",0.052,0.042,0.034,0.229
"P12","A Sergio Massa",0.063,0.202,0.198,0.405
"P12","A algún candidato del peronismo",0.062,0.056,0.393,0
"P12","A Cristina Fernández de Kirchner",0.823,0.7,0.375,0.366
"P13","A Horacio Rodriguez Larreta",0.215,0.411,0.188,0.332
"P13","A Mauricio Macri",0.312,0.103,0.328,0.295
"P13","A Patricia Bullrich",0.142,0.087,0.437,0.278
"P13","A Facundo Manes",0.331,0.383,0.03,0.027
"P13","A Gerardo Morales",0,0.016,0.017,0.068
"P14","Del Frente de Todos y el peronismo",0.839,0.573,0.039,0.188
"P14","A Juntos por el Cambio",0.044,0.147,0.668,0.413
"P14","De los Liberales libertarios",0.029,0.125,0.203,0.123
"P14","De la Izquierda",0.078,0.119,0.039,0.02
"P14","No sabe",0.01,0.036,0.051,0.256
"P16","A Leandro Santoro",0.73,0.618,0.613,0.894
"P16","A Matias Lammens",0.091,0.259,0.247,0
"P16","A Mariano Recalde",0.179,0.123,0.14,0.106
"P17","A Soledad Acuña",0.107,0.018,0.047,0.038
"P17","A Jorge Macri",0.078,0.09,0.319,0.226
