"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario","A los candidatos de izquierda","No sabe"
"P05","Tengo trabajo estable",0.483,0.571,0.563,0.672,0.67,0.59,0.679,0.647,0.637
"P05","Realizo changas o trabajos de vez en cuando",0.103,0.106,0.138,0.091,0.072,0.098,0.132,0.111,0.113
"P05","No tengo trabajo",0.083,0.07,0.048,0.061,0.065,0.105,0.084,0.142,0.032
"P05","Soy jubilado o pensionado",0.331,0.253,0.251,0.176,0.193,0.207,0.105,0.1,0.218
"P06","1",0.428,0.309,0.297,0.17,0.127,0.309,0.445,0.244,0.174
"P06","2",0.084,0.075,0.044,0.045,0.038,0.034,0.117,0.063,0.082
"P06","3",0.09,0.06,0.097,0.087,0.024,0.065,0.097,0.077,0.027
"P06","4",0.062,0.097,0.102,0.078,0.051,0.058,0.033,0.023,0.048
"P06","5",0.203,0.242,0.234,0.164,0.138,0.165,0.125,0.094,0.205
"P06","6",0.024,0.037,0.071,0.07,0.077,0.06,0.021,0.069,0.061
"P06","7",0.032,0.082,0.07,0.131,0.217,0.144,0.043,0.102,0.111
"P06","8",0.024,0.014,0.034,0.104,0.092,0.056,0.033,0.072,0.09
"P06","9",0.053,0.084,0.051,0.151,0.236,0.109,0.086,0.256,0.202
"P07","1",0.136,0.124,0.167,0.293,0.475,0.246,0.1,0.34,0.283
"P07","2",0.022,0.04,0.034,0.057,0.096,0.063,0.031,0.055,0.087
"P07","3",0.018,0.029,0.017,0.089,0.105,0.056,0.017,0.049,0.078
"P07","4",0.019,0.037,0.03,0.059,0.053,0.099,0.034,0.058,0.118
"P07","5",0.174,0.271,0.223,0.09,0.136,0.128,0.109,0.148,0.2
"P07","6",0.052,0.079,0.12,0.055,0.017,0.03,0.054,0.005,0.021
"P07","7",0.108,0.102,0.125,0.108,0.052,0.091,0.126,0.056,0.012
"P07","8",0.117,0.08,0.087,0.09,0.014,0.072,0.103,0.07,0.044
"P07","9",0.354,0.238,0.197,0.159,0.052,0.215,0.426,0.219,0.157
"P08","1",0.251,0.354,0.324,0.51,0.731,0.479,0.208,0.574,0.668
"P08","2",0.023,0.052,0.033,0.036,0.053,0.036,0.034,0.025,0.03
"P08","3",0.04,0.05,0.047,0.036,0.042,0.021,0.05,0.039,0.013
"P08","4",0.024,0.039,0.028,0.029,0.01,0.031,0.013,0.005,0.008
