"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Fernán Quirós","Muy buena",0.344,0.288,0.392,0.133,0.292,0.416,0.454,0.325,0.347,0.347,0.072,0.516,0.377
"Fernán Quirós","Buena",0.189,0.206,0.175,0.133,0.16,0.224,0.224,0.173,0.178,0.199,0.146,0.219,0.228
"Fernán Quirós","Ni buena ni mala",0.211,0.257,0.173,0.267,0.23,0.199,0.169,0.241,0.202,0.211,0.253,0.175,0.301
"Fernán Quirós","Mala",0.093,0.09,0.095,0.133,0.123,0.064,0.058,0.037,0.096,0.104,0.206,0.031,0.066
"Fernán Quirós","Muy mala",0.134,0.124,0.142,0.267,0.171,0.08,0.067,0.157,0.139,0.125,0.292,0.043,0.028
"Fernán Quirós","No sabe",0.029,0.035,0.023,0.067,0.024,0.017,0.028,0.067,0.038,0.014,0.031,0.016,0
"Patricia Bullrich","Muy buena",0.364,0.316,0.405,0.244,0.295,0.43,0.461,0.347,0.369,0.365,0.054,0.567,0.227
"Patricia Bullrich","Buena",0.165,0.203,0.133,0.156,0.151,0.177,0.18,0.168,0.179,0.156,0.072,0.193,0.21
"Patricia Bullrich","Ni buena ni mala",0.079,0.088,0.071,0.089,0.104,0.061,0.054,0.087,0.077,0.078,0.046,0.081,0.133
"Patricia Bullrich","Mala",0.058,0.061,0.056,0.045,0.082,0.045,0.041,0.062,0.072,0.049,0.081,0.025,0.132
"Patricia Bullrich","Muy mala",0.327,0.32,0.332,0.444,0.362,0.284,0.259,0.314,0.3,0.345,0.744,0.131,0.298
"Patricia Bullrich","No sabe",0.007,0.012,0.003,0.022,0.006,0.003,0.005,0.022,0.003,0.007,0.003,0.003,0
"Ricardo López Murphy","Muy buena",0.288,0.301,0.277,0.267,0.218,0.339,0.353,0.246,0.251,0.319,0.035,0.458,0.25
"Ricardo López Murphy","Buena",0.179,0.17,0.188,0.067,0.172,0.196,0.229,0.144,0.202,0.173,0.059,0.235,0.158
"Ricardo López Murphy","Ni buena ni mala",0.167,0.175,0.16,0.222,0.176,0.147,0.149,0.223,0.193,0.139,0.088,0.178,0.304
"Ricardo López Murphy","Mala",0.076,0.07,0.081,0.022,0.097,0.077,0.067,0.097,0.065,0.078,0.117,0.043,0.154
"Ricardo López Murphy","Muy mala",0.275,0.272,0.277,0.4,0.321,0.229,0.189,0.242,0.267,0.287,0.684,0.077,0.134
"Ricardo López Murphy","No sabe",0.015,0.012,0.017,0.022,0.016,0.012,0.013,0.048,0.022,0.004,0.017,0.009,0
"Mauricio Macri","Muy buena",0.26,0.22,0.295,0.2,0.198,0.316,0.328,0.281,0.255,0.259,0.078,0.408,0.086
"Mauricio Macri","Buena",0.18,0.171,0.187,0.089,0.168,0.194,0.227,0.192,0.175,0.179,0.038,0.265,0.126
