"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.144,0.143,0.145,0.09,0.097,0.181,0.234,0.162,0.151,0.134,0.03,0.254,0.134
"Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.13,0.134,0.127,0.05,0.113,0.188,0.174,0.094,0.106,0.157,0.018,0.227,0.114
"Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.029,0.024,0.033,0.007,0.042,0.029,0.026,0.032,0.035,0.024,0.016,0.042,0.017
"Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.055,0.044,0.063,0.041,0.054,0.055,0.066,0.044,0.052,0.059,0.023,0.08,0.057
"Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.097,0.078,0.114,0.106,0.078,0.105,0.114,0.076,0.091,0.108,0.025,0.156,0.218
"Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.195,0.177,0.211,0.182,0.23,0.182,0.163,0.133,0.191,0.216,0.486,0.043,0.083
"Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.088,0.076,0.098,0.099,0.108,0.067,0.067,0.109,0.081,0.087,0.212,0.019,0.078
"Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.1,0.162,0.048,0.207,0.109,0.056,0.032,0.114,0.116,0.085,0.035,0.076,0.143
"A los candidatos de la izquierda",0.036,0.043,0.03,0.047,0.047,0.028,0.017,0.045,0.032,0.036,0.035,0.005,0.019
"No sabe",0.126,0.119,0.131,0.171,0.122,0.109,0.107,0.191,0.145,0.094,0.12,0.098,0.137
