"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.519,0.66,0.715,0.743,0.611
"P05","Realizo changas o trabajos de vez en cuando",0.1,0.085,0.139,0.035,0.119
"P05","No tengo trabajo",0.074,0.073,0.058,0.107,0.055
"P05","Soy jubilado o pensionado",0.307,0.182,0.088,0.115,0.215
"P06","1",0.383,0.109,0.43,0.196,0.223
"P06","2",0.066,0.042,0.065,0.009,0.081
"P06","3",0.113,0.018,0.122,0.046,0.045
"P06","4",0.1,0.052,0.028,0.019,0.064
"P06","5",0.196,0.146,0.149,0.071,0.29
"P06","6",0.038,0.081,0.017,0.035,0.105
"P06","7",0.038,0.215,0.039,0.197,0.09
"P06","8",0.022,0.108,0.07,0.078,0.051
"P06","9",0.044,0.229,0.08,0.349,0.051
"P07","1",0.119,0.476,0.105,0.374,0.213
"P07","2",0.019,0.091,0.032,0.111,0.063
"P07","3",0.02,0.114,0.033,0.058,0.011
"P07","4",0.035,0.075,0.009,0.045,0.08
"P07","5",0.164,0.123,0.142,0.162,0.292
"P07","6",0.07,0.011,0.044,0.041,0.094
"P07","7",0.146,0.027,0.128,0.042,0.075
"P07","8",0.122,0.018,0.126,0.041,0.05
"P07","9",0.305,0.065,0.381,0.126,0.122
"P08","1",0.234,0.746,0.215,0.735,0.488
"P08","2",0.028,0.05,0.036,0.035,0.047
"P08","3",0.047,0.033,0.048,0.051,0.029
"P08","4",0.034,0.015,0.013,0.023,0.017
"P08","5",0.143,0.062,0.212,0.048,0.1
"P08","6",0.048,0,0.042,0.004,0.018
"P08","7",0.065,0.008,0.044,0.031,0.049
"P08","8",0.059,0.012,0.063,0,0.019
"P08","9",0.342,0.074,0.327,0.073,0.233
"P10","Del Frente de Todos y el peronismo",0.039,0.872,0.057,0.242,0.174
"P10","De Cambiemos",0.838,0.048,0.069,0.135,0.475
"P10","De los Liberales libertarios",0.077,0.012,0.817,0.006,0.103
"P10","De la Izquierda",0.002,0.014,0,0.517,0.033
"P10","No sabe",0.044,0.054,0.057,0.1,0.215
"P11","A Alberto Fernández",0.213,0.098,0.257,0.032,0.079
"P11","A Sergio Massa",0.358,0.184,0.19,0.118,0.308
"P11","A algún candidato del peronismo",0.394,0.113,0.209,0.096,0.139
"P11","A algún candidato del kirchnerismo",0.035,0.605,0.344,0.754,0.474
"P12","A Alberto Fernández",0.209,0.05,0,0,0.079
"P12","A Sergio Massa",0.271,0.092,0.15,0.143,0.208
"P12","A algún candidato del peronismo",0.486,0.073,0.168,0.031,0.032
"P12","A Cristina Fernández de Kirchner",0.034,0.785,0.682,0.826,0.681
"P13","A Horacio Rodriguez Larreta",0.178,0.334,0.105,0.372,0.407
"P13","A Mauricio Macri",0.355,0.064,0.4,0.105,0.152
"P13","A Patricia Bullrich",0.442,0.049,0.293,0.205,0.238
"P13","A Facundo Manes",0.014,0.44,0.177,0.161,0.098
"P13","A Gerardo Morales",0.011,0.113,0.025,0.157,0.105
"P14","Del Frente de Todos y el peronismo",0.024,0.822,0.038,0.215,0.132
"P14","A Juntos por el Cambio",0.874,0.047,0.14,0.179,0.518
