"var","categoria","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.527,0.664,0.699,0.688,0.592
"P05","Realizo changas o trabajos de vez en cuando",0.094,0.067,0.114,0.122,0.081
"P05","No tengo trabajo",0.069,0.081,0.064,0.116,0.081
"P05","Soy jubilado o pensionado",0.31,0.188,0.123,0.074,0.246
"P06","1",0.326,0.147,0.413,0.163,0.233
"P06","2",0.059,0.03,0.084,0.063,0.075
"P06","3",0.107,0.03,0.132,0.011,0.102
"P06","4",0.111,0.067,0.046,0.017,0.072
"P06","5",0.215,0.166,0.121,0.067,0.259
"P06","6",0.042,0.084,0.01,0.016,0.098
"P06","7",0.054,0.192,0.052,0.185,0.065
"P06","8",0.033,0.103,0.038,0.145,0.033
"P06","9",0.053,0.181,0.104,0.333,0.063
"P07","1",0.123,0.437,0.065,0.482,0.165
"P07","2",0.037,0.103,0.029,0.048,0.032
"P07","3",0.037,0.09,0.027,0.065,0.01
"P07","4",0.046,0.067,0.011,0.061,0.037
"P07","5",0.177,0.138,0.114,0.191,0.298
"P07","6",0.07,0.025,0.023,0.024,0.107
"P07","7",0.147,0.058,0.136,0.018,0.111
"P07","8",0.102,0.029,0.145,0.017,0.084
"P07","9",0.261,0.053,0.45,0.094,0.156
"P08","1",0.275,0.695,0.167,0.811,0.43
"P08","2",0.042,0.045,0.025,0.017,0.027
"P08","3",0.063,0.04,0.045,0.053,0.028
"P08","4",0.032,0.015,0.017,0,0.028
"P08","5",0.149,0.079,0.187,0.034,0.138
"P08","6",0.049,0.005,0.053,0.008,0.01
"P08","7",0.05,0.017,0.086,0.005,0.062
"P08","8",0.06,0.017,0.059,0.017,0.031
