"var","categoria","A Leandro Santoro","A Matias Lammens","A Mariano Recalde"
"P05","Tengo trabajo estable",0.641,0.649,0.637
"P05","Realizo changas o trabajos de vez en cuando",0.08,0.147,0.139
"P05","No tengo trabajo",0.067,0.11,0.06
"P05","Soy jubilado o pensionado",0.212,0.094,0.164
"P06","1",0.127,0.201,0.115
"P06","2",0.043,0.106,0.043
"P06","3",0.026,0.006,0.003
"P06","4",0.049,0.039,0.025
"P06","5",0.136,0.137,0.188
"P06","6",0.088,0.115,0.081
"P06","7",0.205,0.185,0.185
"P06","8",0.118,0.069,0.123
"P06","9",0.208,0.142,0.237
"P07","1",0.475,0.387,0.505
"P07","2",0.089,0.055,0.126
"P07","3",0.111,0.111,0.091
"P07","4",0.068,0.095,0.04
"P07","5",0.119,0.112,0.119
"P07","6",0.02,0.053,0.015
"P07","7",0.039,0.045,0.009
"P07","8",0.021,0.015,0.018
"P07","9",0.058,0.127,0.077
"P08","1",0.729,0.709,0.777
"P08","2",0.042,0.028,0.051
"P08","3",0.039,0.004,0.014
"P08","4",0.014,0.006,0.01
"P08","5",0.055,0.082,0.043
"P08","6",0.007,0.013,0.003
"P08","7",0.01,0.018,0.003
"P08","8",0.004,0.018,0
"P08","9",0.1,0.122,0.099
"P11","A Alberto Fernández",0.104,0.297,0.094
"P11","A Sergio Massa",0.207,0.23,0.115
"P11","A algún candidato del peronismo",0.114,0.114,0.102
"P11","A algún candidato del kirchnerismo",0.575,0.359,0.689
"P12","A Alberto Fernández",0.064,0.244,0.046
"P12","A Sergio Massa",0.125,0.19,0.064
"P12","A algún candidato del peronismo",0.074,0.054,0.055
"P12","A Cristina Fernández de Kirchner",0.737,0.512,0.835
"P18","Lo votaría",0.102,0.059,0.034
"P18","Puede que lo vote",0.096,0.292,0.098
"P18","Nunca lo votaría",0.718,0.539,0.824
"P18","No sabe",0.084,0.11,0.044
"P19","Lo votaría",0.799,0.347,0.513
"P19","Puede que lo vote",0.076,0.31,0.299
"P19","Nunca lo votaría",0.089,0.235,0.147
"P19","No sabe",0.036,0.108,0.041
"P20","Lo votaría",0.066,0.112,0.068
"P20","Puede que lo vote",0.053,0.093,0.059
"P20","Nunca lo votaría",0.819,0.694,0.753
"P20","No sabe",0.062,0.101,0.12
"P21","Lo votaría",0.207,0.434,0.192
"P21","Puede que lo vote",0.475,0.276,0.497
"P21","Nunca lo votaría",0.239,0.149,0.241
"P21","No sabe",0.079,0.141,0.07
"P22","Lo votaría",0.046,0.059,0.061
"P22","Puede que lo vote",0.132,0.274,0.138
"P22","Nunca lo votaría",0.723,0.512,0.678
"P22","No sabe",0.099,0.155,0.123
"P23","Lo votaría",0.024,0.051,0.023
"P23","Puede que lo vote",0.032,0.085,0.027
"P23","Nunca lo votaría",0.925,0.821,0.91
"P23","No sabe",0.019,0.043,0.04
"P24","Lo votaría",0.017,0.059,0.016
"P24","Puede que lo vote",0.03,0.036,0.036
"P24","Nunca lo votaría",0.928,0.847,0.922
"P24","No sabe",0.025,0.058,0.026
"P25","Lo votaría",0.018,0.056,0
"P25","Puede que lo vote",0.035,0.06,0.029
"P25","Nunca lo votaría",0.918,0.82,0.93
"P25","No sabe",0.029,0.064,0.041
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.023,0.059,0
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.007,0.027,0.013
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.007,0.005,0.032
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.023,0.014,0.011
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.021,0.035,0.009
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.665,0.224,0.564
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.163,0.516,0.265
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0,0,0
"P26","A los candidatos de la izquierda",0.016,0.004,0.03
"P26","No sabe",0.075,0.116,0.076
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.01,0.045,0.007
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.005,0.029,0
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.014,0.005,0.016
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.02,0.006,0.029
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.017,0.018,0.004
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.625,0.149,0.453
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.143,0.51,0.314
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.007,0.009,0
"P27","A los candidatos de la izquierda",0.039,0.078,0.076
"P27","No sabe",0.12,0.151,0.101
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.017,0.11,0.003
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.004,0.014,0.013
"P28","A Martín Lousteau como Jefe de Gobierno",0.034,0.093,0.025
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.035,0.031,0.007
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.769,0.295,0.713
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.087,0.347,0.154
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.016,0.04,0.013
"P28","A los candidatos de izquierda",0.019,0.038,0.008
"P28","No sabe",0.019,0.032,0.064
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.014,0.068,0.008
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.021,0.056,0.017
"P29","A Martín Lousteau como Jefe de Gobierno",0.03,0.024,0.024
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.21,0.126,0.197
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.55,0.298,0.481
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.076,0.319,0.134
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.009,0.005,0.008
"P29","A los candidatos de izquierda",0.042,0.06,0.04
"P29","No sabe",0.048,0.044,0.091
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.013,0.072,0.009
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.01,0.056,0
"P30","A Martín Lousteau como Jefe de Gobierno",0.027,0.036,0.004
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.72,0.205,0.643
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.125,0.497,0.236
