"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P10","De la Izquierda",0,0.021,0.003,0.541,0.031
"P10","No sabe",0.036,0.038,0.065,0.119,0.231
"P11","A Alberto Fernández",0.155,0.109,0.111,0.101,0.16
"P11","A Sergio Massa",0.338,0.192,0.274,0.069,0.201
"P11","A algún candidato del peronismo",0.194,0.105,0.365,0.074,0.322
"P11","A algún candidato del kirchnerismo",0.313,0.594,0.25,0.756,0.317
"P12","A Alberto Fernández",0.082,0.05,0,0.101,0.107
"P12","A Sergio Massa",0.213,0.098,0.193,0.069,0.254
"P12","A algún candidato del peronismo",0.23,0.064,0.365,0.098,0.202
"P12","A Cristina Fernández de Kirchner",0.475,0.788,0.442,0.732,0.437
"P13","A Horacio Rodriguez Larreta",0.228,0.167,0.036,0.17,0.175
"P13","A Mauricio Macri",0.334,0.251,0.279,0.126,0.329
"P13","A Patricia Bullrich",0.392,0.35,0.623,0.303,0.393
"P13","A Facundo Manes",0.029,0.232,0.037,0.094,0.052
"P13","A Gerardo Morales",0.017,0,0.025,0.307,0.051
"P14","Del Frente de Todos y el peronismo",0.063,0.766,0.008,0.209,0.058
"P14","A Juntos por el Cambio",0.884,0.099,0.276,0.11,0.584
"P14","De los Liberales libertarios",0.035,0.032,0.652,0.03,0.085
"P14","De la Izquierda",0.004,0.075,0.005,0.557,0.029
"P14","No sabe",0.014,0.028,0.059,0.094,0.244
"P16","A Leandro Santoro",0.531,0.701,0.462,0.702,0.714
"P16","A Matias Lammens",0.294,0.126,0.538,0.106,0.228
"P16","A Mariano Recalde",0.175,0.173,0,0.192,0.058
"P17","A Soledad Acuña",0.045,0.038,0.051,0,0.046
"P17","A Jorge Macri",0.32,0.264,0.247,0.151,0.193
"P17","A Martín Lousteau",0.25,0.244,0.104,0.6,0.331
"P17","A Fernan Quirós",0.227,0.199,0.177,0.249,0.146
