"var","categoria","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P67","Ni buena ni mala",0.082,0.202,0.062,0.146,0.188
"P67","Mala",0.202,0.063,0.23,0.404,0.159
"P67","Muy mala",0.62,0.149,0.669,0.352,0.49
"P67","No sabe",0.007,0.004,0.009,0,0.042
"P68","Muy buena",0.571,0.082,0.447,0.08,0.364
"P68","Buena",0.203,0.073,0.256,0.04,0.16
"P68","Ni buena ni mala",0.082,0.041,0.115,0.032,0.138
"P68","Mala",0.039,0.062,0.053,0.124,0.112
"P68","Muy mala",0.099,0.739,0.121,0.724,0.193
"P68","No sabe",0.006,0.003,0.008,0,0.033
"P69","Muy buena",0.079,0.042,0.537,0.039,0.071
"P69","Buena",0.124,0.028,0.299,0,0.057
"P69","Ni buena ni mala",0.379,0.057,0.126,0.062,0.275
"P69","Mala",0.21,0.066,0.024,0.084,0.237
"P69","Muy mala",0.186,0.802,0.013,0.807,0.283
"P69","No sabe",0.022,0.005,0.001,0.008,0.077
"P70","Muy buena",0.071,0.052,0.086,0.03,0.133
"P70","Buena",0.174,0.1,0.105,0.069,0.18
"P70","Ni buena ni mala",0.392,0.35,0.36,0.185,0.286
"P70","Mala",0.2,0.166,0.182,0.137,0.154
"P70","Muy mala",0.137,0.304,0.222,0.499,0.148
"P70","No sabe",0.026,0.028,0.045,0.08,0.099
"P71","Siempre",0.341,0.294,0.307,0.316,0.261
"P71","Casi siempre",0.457,0.446,0.356,0.376,0.35
"P71","Casi nunca",0.149,0.173,0.222,0.136,0.281
"P71","Nunca, pero esta es una excepción",0.053,0.087,0.115,0.172,0.108
"P72","Si",0.598,0.531,0.625,0.621,0.52
"P72","No",0.402,0.469,0.375,0.379,0.48
