"var","categoria","María Eugenia Vidal por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","No sabe"
"P05","Tengo trabajo estable",0.549,0.703,0.648
"P05","Realizo changas o trabajos de vez en cuando",0.103,0.068,0.1
"P05","No tengo trabajo",0.064,0.063,0.092
"P05","Soy jubilado o pensionado",0.284,0.166,0.16
"P06","1",0.363,0.126,0.323
"P06","2",0.056,0.041,0.086
"P06","3",0.112,0.023,0.082
"P06","4",0.099,0.052,0.058
"P06","5",0.201,0.163,0.173
"P06","6",0.042,0.081,0.035
"P06","7",0.041,0.206,0.074
"P06","8",0.031,0.117,0.046
"P06","9",0.055,0.191,0.123
"P07","1",0.09,0.462,0.114
"P07","2",0.026,0.108,0.031
"P07","3",0.018,0.104,0.035
"P07","4",0.037,0.064,0.035
"P07","5",0.177,0.122,0.191
"P07","6",0.067,0.017,0.061
"P07","7",0.152,0.055,0.116
"P07","8",0.117,0.023,0.098
"P07","9",0.316,0.045,0.319
"P08","1",0.243,0.731,0.268
"P08","2",0.033,0.048,0.031
"P08","3",0.052,0.05,0.028
"P08","4",0.03,0.015,0.017
"P08","5",0.157,0.065,0.18
"P08","6",0.051,0.006,0.022
"P08","7",0.061,0.012,0.081
"P08","8",0.056,0.016,0.048
"P08","9",0.317,0.057,0.325
"P10","Del Frente de Todos y el peronismo",0.03,0.806,0.047
"P10","De Cambiemos",0.775,0.05,0.34
"P10","De los Liberales libertarios",0.159,0.036,0.429
"P10","De la Izquierda",0.001,0.044,0.08
"P10","No sabe",0.035,0.064,0.104
"P11","A Alberto Fernández",0.237,0.105,0.274
"P11","A Sergio Massa",0.407,0.201,0.309
"P11","A algún candidato del peronismo",0.356,0.096,0.321
"P11","A algún candidato del kirchnerismo",0,0.598,0.096
"P12","A Alberto Fernández",0.204,0.042,0.118
"P12","A Sergio Massa",0.346,0.101,0.266
"P12","A algún candidato del peronismo",0.45,0.065,0.477
"P12","A Cristina Fernández de Kirchner",0,0.792,0.139
"P13","A Horacio Rodriguez Larreta",0.204,0.291,0.146
"P13","A Mauricio Macri",0.343,0,0.252
