"var","categoria","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.509,0.691,0.692,0.718,0.553
"P05","Realizo changas o trabajos de vez en cuando",0.108,0.072,0.119,0.047,0.112
"P05","No tengo trabajo",0.067,0.06,0.054,0.127,0.098
"P05","Soy jubilado o pensionado",0.316,0.177,0.135,0.108,0.237
"P06","1",0.358,0.114,0.417,0.156,0.276
"P06","2",0.059,0.044,0.081,0.01,0.065
"P06","3",0.102,0.019,0.135,0.017,0.087
"P06","4",0.109,0.052,0.042,0.017,0.063
"P06","5",0.206,0.155,0.132,0.096,0.289
"P06","6",0.045,0.087,0.018,0.037,0.061
"P06","7",0.038,0.215,0.036,0.226,0.066
"P06","8",0.027,0.108,0.054,0.123,0.041
"P06","9",0.056,0.206,0.085,0.318,0.052
"P07","1",0.127,0.465,0.083,0.422,0.179
"P07","2",0.022,0.094,0.024,0.119,0.028
"P07","3",0.023,0.115,0.027,0.066,0.01
"P07","4",0.038,0.081,0.015,0.056,0.054
"P07","5",0.189,0.12,0.115,0.153,0.252
"P07","6",0.075,0.015,0.039,0.033,0.082
"P07","7",0.148,0.029,0.128,0.053,0.096
"P07","8",0.117,0.024,0.129,0.035,0.081
"P07","9",0.261,0.057,0.44,0.063,0.218
"P08","1",0.273,0.742,0.177,0.755,0.377
"P08","2",0.033,0.05,0.035,0.019,0.012
"P08","3",0.046,0.038,0.049,0.039,0.03
"P08","4",0.035,0.018,0.013,0,0.029
"P08","5",0.151,0.064,0.175,0.082,0.117
"P08","6",0.047,0,0.049,0.005,0.02
"P08","7",0.051,0.006,0.07,0.035,0.061
"P08","8",0.064,0.011,0.063,0.007,0.026
"P08","9",0.3,0.071,0.369,0.058,0.328
"P10","Del Frente de Todos y el peronismo",0.04,0.9,0.029,0.263,0.104
"P10","De Cambiemos",0.866,0.04,0.232,0.071,0.593
"P10","De los Liberales libertarios",0.05,0.012,0.665,0.064,0.087
"P10","De la Izquierda",0.004,0.013,0.002,0.505,0.028
"P10","No sabe",0.04,0.035,0.072,0.097,0.188
"P11","A Alberto Fernández",0.177,0.101,0.054,0.176,0.067
"P11","A Sergio Massa",0.343,0.191,0.328,0.062,0.45
"P11","A algún candidato del peronismo",0.404,0.122,0.268,0.015,0.103
"P11","A algún candidato del kirchnerismo",0.076,0.586,0.35,0.747,0.38
"P12","A Alberto Fernández",0.123,0.053,0.108,0,0.067
"P12","A Sergio Massa",0.255,0.095,0.286,0.062,0.344
"P12","A algún candidato del peronismo",0.546,0.072,0.238,0.015,0.103
"P12","A Cristina Fernández de Kirchner",0.076,0.78,0.368,0.923,0.486
"P13","A Horacio Rodriguez Larreta",0.219,0.274,0.063,0.048,0.179
"P13","A Mauricio Macri",0.349,0.122,0.288,0.092,0.276
"P13","A Patricia Bullrich",0.394,0.07,0.596,0.364,0.432
"P13","A Facundo Manes",0.019,0.534,0.032,0.156,0.071
"P13","A Gerardo Morales",0.019,0,0.021,0.34,0.042
"P14","Del Frente de Todos y el peronismo",0.029,0.835,0.024,0.226,0.076
"P14","A Juntos por el Cambio",0.899,0.048,0.309,0.08,0.608
"P14","De los Liberales libertarios",0.047,0.023,0.601,0.049,0.082
"P14","De la Izquierda",0.006,0.065,0.002,0.558,0.034
"P14","No sabe",0.019,0.029,0.064,0.087,0.2
"P16","A Leandro Santoro",0.38,0.699,0.697,0.685,0.722
"P16","A Matias Lammens",0.385,0.123,0.303,0.04,0.095
"P16","A Mariano Recalde",0.235,0.178,0,0.275,0.183
"P17","A Soledad Acuña",0.046,0.054,0.045,0,0.03
"P17","A Jorge Macri",0.317,0.17,0.311,0.106,0.216
"P17","A Martín Lousteau",0.229,0.292,0.143,0.431,0.377
"P17","A Fernan Quirós",0.228,0.326,0.172,0.463,0.133
"P17","A Ricardo López Murphy",0.18,0.158,0.329,0,0.244
"P18","Lo votaría",0.334,0.077,0.097,0.072,0.293
"P18","Puede que lo vote",0.36,0.091,0.203,0.131,0.234
"P18","Nunca lo votaría",0.235,0.754,0.609,0.745,0.304
"P18","No sabe",0.071,0.078,0.091,0.052,0.169
"P19","Lo votaría",0.043,0.732,0.034,0.213,0.11
"P19","Puede que lo vote",0.106,0.141,0.08,0.284,0.151
"P19","Nunca lo votaría",0.747,0.097,0.81,0.445,0.605
"P19","No sabe",0.104,0.03,0.076,0.058,0.134
"P20","Lo votaría",0.154,0.066,0.054,0.064,0.034
"P20","Puede que lo vote",0.413,0.055,0.219,0.102,0.182
"P20","Nunca lo votaría",0.313,0.806,0.598,0.768,0.616
"P20","No sabe",0.12,0.073,0.129,0.066,0.168
"P21","Lo votaría",0.024,0.299,0.009,0.067,0.061
"P21","Puede que lo vote",0.076,0.446,0.086,0.222,0.109
"P21","Nunca lo votaría",0.805,0.194,0.764,0.582,0.723
"P21","No sabe",0.095,0.061,0.141,0.129,0.107
"P22","Lo votaría",0.402,0.056,0.123,0.094,0.174
"P22","Puede que lo vote",0.364,0.163,0.276,0.141,0.301
"P22","Nunca lo votaría",0.16,0.704,0.494,0.662,0.378
"P22","No sabe",0.074,0.077,0.107,0.103,0.147
"P23","Lo votaría",0.504,0.017,0.239,0.067,0.261
"P23","Puede que lo vote",0.332,0.04,0.331,0.049,0.208
"P23","Nunca lo votaría",0.114,0.928,0.347,0.842,0.445
"P23","No sabe",0.05,0.015,0.083,0.042,0.086
"P24","Lo votaría",0.425,0.005,0.152,0.067,0.158
"P24","Puede que lo vote",0.362,0.03,0.213,0.061,0.255
"P24","Nunca lo votaría",0.178,0.956,0.562,0.831,0.523
"P24","No sabe",0.035,0.009,0.073,0.041,0.064
"P25","Lo votaría",0.396,0.009,0.369,0.087,0.217
"P25","Puede que lo vote",0.349,0.041,0.332,0.035,0.271
"P25","Nunca lo votaría",0.201,0.936,0.22,0.809,0.44
"P25","No sabe",0.054,0.014,0.079,0.069,0.072
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.314,0.01,0.169,0.039,0.265
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.267,0.001,0.245,0.029,0.202
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.056,0.01,0.021,0.01,0.028
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.132,0.018,0.04,0.029,0.05
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.195,0.02,0.029,0.039,0.231
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.019,0.684,0.008,0.193,0.1
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.011,0.247,0.007,0.058,0.07
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.004,0.002,0.481,0.084,0.044
"P26","A los candidatos de la izquierda",0.002,0.008,0,0.519,0.01
"P26","No sabe",0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.322,0.003,0.17,0.022,0.254
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.283,0.002,0.256,0.035,0.234
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.047,0.007,0.02,0.004,0.016
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.13,0.017,0.02,0.038,0.083
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.192,0.015,0.033,0.037,0.208
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.647,0.006,0.182,0.076
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.013,0.271,0.005,0.021,0.041
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.002,0,0.488,0.045,0.056
