"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.22,0.008,0.012,0.048,0.073
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.007,0.006,0.499,0.012,0.101
"P27","A los candidatos de la izquierda",0.042,0.003,0.013,0.626,0.069
"P27","No sabe",0.138,0.117,0.097,0.144,0.259
"P28","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.035,0.374,0.136,0.014,0.139
"P28","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.006,0.116,0.023,0.019,0.056
"P28","A Martín Lousteau como Jefe de Gobierno",0.043,0.242,0.092,0.085,0.269
"P28","A Ricardo López Murphy como Jefe de Gobierno",0.021,0.188,0.112,0.003,0.086
"P28","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.694,0.034,0.016,0.141,0.136
"P28","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.156,0.009,0.005,0.05,0.049
"P28","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.01,0.016,0.462,0.008,0.105
"P28","A los candidatos de izquierda",0.013,0.003,0.134,0.477,0.035
"P28","No sabe",0.022,0.018,0.02,0.203,0.125
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.031,0.365,0.141,0,0.149
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.021,0.162,0.039,0.073,0.153
"P29","A Martín Lousteau como Jefe de Gobierno",0.027,0.211,0.079,0.061,0.18
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.196,0.109,0.088,0.018,0.096
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.5,0.028,0.014,0.131,0.106
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.137,0.086,0.023,0.005,0.038
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.008,0.011,0.486,0.009,0.101
"P29","A los candidatos de izquierda",0.035,0.006,0.115,0.48,0.045
"P29","No sabe",0.045,0.022,0.015,0.223,0.132
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.025,0.209,0.044,0.02,0.093
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.022,0.469,0.194,0,0.188
"P30","A Martín Lousteau como Jefe de Gobierno",0.027,0.209,0.093,0.125,0.245
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.636,0.023,0.026,0.133,0.144
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.181,0.023,0.018,0.057,0.058
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.026,0.035,0.411,0.017,0.094
"P30","A los candidatos de la izquierda",0.029,0.004,0.074,0.535,0.104
"P30","No sabe",0.054,0.028,0.14,0.113,0.074
"P31","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.024,0.208,0.032,0.006,0.087
"P31","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.018,0.513,0.207,0.004,0.183
"P31","A Martín Lousteau como Jefe de Gobierno",0.03,0.19,0.07,0.11,0.21
"P31","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.64,0.02,0.019,0.116,0.133
"P31","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.19,0.018,0.024,0.067,0.08
"P31","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.02,0.017,0.455,0.011,0.113
"P31","A los candidatos de la izquierda",0.041,0.004,0.062,0.57,0.102
"P31","No sabe",0.037,0.03,0.131,0.116,0.092
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.053,0.839,0.238,0.073,0.281
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.851,0.034,0.022,0.184,0.271
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.02,0.032,0.654,0.025,0.155
"P32","A los candidatos de la izquierda",0.038,0.009,0.026,0.64,0.087
"P32","No sabe",0.038,0.086,0.06,0.078,0.206
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.057,0.84,0.206,0.027,0.295
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.823,0.031,0.02,0.111,0.23
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.023,0.72,0,0.124
"P33","A los candidatos de la izquierda",0.045,0.017,0.002,0.786,0.083
"P33","No sabe",0.048,0.089,0.052,0.076,0.268
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.048,0.738,0.101,0.034,0.216
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.882,0.026,0.016,0.181,0.236
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.088,0.804,0.015,0.201
"P34","A los candidatos de la izquierda",0.027,0.005,0.008,0.666,0.077
