"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P62","Buena",0.007,0.007,0.036,0.496,0.272,0.012,0.061,0.094
"P62","Ni buena ni mala",0.049,0.018,0.08,0.23,0.387,0.072,0.245,0.071
"P62","Mala",0.186,0.094,0.153,0.064,0.072,0.127,0.377,0.251
"P62","Muy mala",0.684,0.86,0.704,0.034,0.127,0.761,0.262,0.493
"P62","No sabe",0.03,0.017,0.021,0.016,0.039,0.018,0,0.076
"P63","Muy buena",0.054,0.002,0.011,0.126,0.14,0,0.041,0.015
"P63","Buena",0.007,0.005,0.02,0.463,0.264,0.003,0.118,0.065
"P63","Ni buena ni mala",0.044,0.009,0.061,0.285,0.34,0.022,0.209,0.062
"P63","Mala",0.184,0.08,0.168,0.084,0.129,0.182,0.295,0.248
"P63","Muy mala",0.711,0.903,0.734,0.036,0.117,0.779,0.337,0.583
"P63","No sabe",0,0.001,0.006,0.006,0.01,0.014,0,0.027
"P64","Muy buena",0.029,0.003,0.034,0.768,0.555,0.015,0.272,0.123
"P64","Buena",0,0.002,0.035,0.143,0.163,0.021,0.187,0.07
"P64","Ni buena ni mala",0.024,0.008,0.041,0.046,0.105,0.003,0.08,0.034
"P64","Mala",0.108,0.052,0.1,0.011,0.034,0.104,0.22,0.152
"P64","Muy mala",0.835,0.933,0.784,0.032,0.143,0.834,0.241,0.606
"P64","No sabe",0.004,0.002,0.006,0,0,0.023,0,0.015
"P65","Muy buena",0.469,0.487,0.159,0.085,0.103,0.051,0.047,0.117
"P65","Buena",0.233,0.275,0.249,0.016,0.058,0.179,0.09,0.29
"P65","Ni buena ni mala",0.104,0.115,0.277,0.015,0.046,0.248,0.053,0.087
"P65","Mala",0.061,0.051,0.143,0.062,0.138,0.213,0.155,0.156
"P65","Muy mala",0.133,0.071,0.172,0.82,0.655,0.303,0.655,0.335
"P65","No sabe",0,0.001,0,0.002,0,0.006,0,0.015
"P66","Muy buena",0.583,0.15,0.211,0.034,0.049,0.032,0.033,0.126
"P66","Buena",0.306,0.372,0.398,0.019,0.016,0.122,0.048,0.167
"P66","Ni buena ni mala",0.067,0.225,0.246,0.051,0.106,0.245,0.051,0.167
