"var","categoria","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Alberto Fernández presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.33,0.491,0.128,0.005,0.009,0.07,0.03,0.112
"P29","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.271,0.055,0.318,0.01,0.062,0.021,0.003,0.045
"P29","A Martín Lousteau como Jefe de Gobierno",0.179,0.135,0.456,0.022,0.034,0.03,0.051,0.052
"P29","A Ricardo López Murphy como Jefe de Gobierno",0.07,0.184,0.034,0.261,0.106,0.039,0,0.038
"P29","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.02,0.01,0.011,0.633,0.372,0.008,0.044,0.066
"P29","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.086,0.096,0.024,0.041,0.368,0.04,0.024,0.068
"P29","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.006,0.019,0.008,0,0.007,0.768,0.264,0.009
"P29","A los candidatos de izquierda",0.004,0.002,0.003,0.007,0.004,0.014,0.436,0.439
"P29","No sabe",0.034,0.008,0.018,0.021,0.038,0.01,0.148,0.171
"P30","Horacio Rodríguez Larreta presidente - Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.738,0.048,0.059,0.006,0.009,0.013,0,0.075
"P30","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.08,0.841,0.069,0.006,0.028,0.058,0.004,0.054
"P30","A Martín Lousteau como Jefe de Gobierno",0.085,0.051,0.798,0.016,0.07,0.021,0.014,0.051
"P30","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.013,0.03,0.877,0.2,0.006,0.086,0.086
"P30","Sergio Massa presidente – Matias Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.014,0.006,0.009,0.074,0.627,0.008,0.029,0.059
"P30","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.026,0.019,0.022,0.004,0.048,0.839,0.007,0.029
"P30","A los candidatos de la izquierda",0.015,0.003,0.006,0.009,0,0.038,0.719,0.021
"P30","No sabe",0.028,0.019,0.007,0.008,0.018,0.017,0.141,0.625
"P32","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.854,0.905,0.55,0.016,0.041,0.09,0.044,0.226
"P32","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.033,0.005,0.066,0.939,0.733,0.042,0.25,0.128
"P32","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.015,0.056,0.091,0.005,0.089,0.792,0.168,0.319
"P32","A los candidatos de la izquierda",0.029,0.001,0.026,0.02,0.029,0.025,0.513,0.145
"P32","No sabe",0.069,0.033,0.267,0.02,0.108,0.051,0.025,0.182
"P33","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Horacio Rodríguez Larreta, Mauricio Macri y la UCR",0.838,0.901,0.524,0.017,0.034,0.081,0.012,0.256
"P33","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.027,0.005,0.056,0.923,0.789,0.031,0.097,0.035
"P33","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.041,0.058,0.105,0.007,0.057,0.809,0.191,0.331
"P33","A los candidatos de la izquierda",0.014,0.004,0.045,0.016,0.024,0.034,0.656,0.134
"P33","No sabe",0.08,0.032,0.27,0.037,0.096,0.045,0.044,0.244
"P34","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.865,0.659,0.564,0.019,0.021,0.05,0.029,0.178
"P34","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.027,0.006,0.062,0.942,0.814,0.043,0.217,0.105
"P34","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.027,0.204,0.097,0.011,0.057,0.85,0.175,0.35
"P34","A los candidatos de la izquierda",0.004,0.004,0.017,0.006,0.018,0.006,0.566,0.106
"P34","No sabe",0.077,0.127,0.26,0.022,0.09,0.051,0.013,0.261
"P35","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.866,0.651,0.559,0.02,0.086,0.039,0.029,0.141
"P35","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.019,0.005,0.04,0.926,0.804,0.028,0.16,0.048
"P35","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.034,0.228,0.111,0.011,0.027,0.868,0.177,0.367
"P35","A los candidatos de la izquierda",0.026,0.008,0.026,0.017,0.012,0.023,0.625,0.137
"P35","No sabe",0.055,0.108,0.264,0.026,0.071,0.042,0.009,0.307
"P36","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.847,0.636,0.757,0.029,0.016,0.038,0.004,0.217
"P36","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.026,0.006,0.041,0.937,0.825,0.027,0.247,0.136
"P36","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.032,0.233,0.064,0.003,0.057,0.879,0.195,0.339
"P36","A los candidatos de la izquierda",0.021,0.001,0.012,0.011,0.017,0.03,0.54,0.109
"P36","No sabe",0.074,0.124,0.126,0.02,0.085,0.026,0.014,0.199
"P37","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.88,0.651,0.783,0.013,0.085,0.043,0.004,0.149
"P37","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.021,0.007,0.036,0.94,0.809,0.02,0.213,0.071
"P37","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.022,0.217,0.06,0.003,0.027,0.897,0.196,0.398
"P37","A los candidatos de la izquierda",0.003,0.003,0.011,0.016,0.006,0.003,0.576,0.108
"P37","No sabe",0.074,0.122,0.11,0.028,0.073,0.037,0.011,0.274
"P38","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.876,0.621,0.583,0.089,0.088,0.036,0.021,0.122
"P38","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.064,0.054,0.077,0.852,0.755,0.037,0.201,0.122
"P38","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.018,0.225,0.082,0.01,0.04,0.893,0.213,0.415
"P38","A los candidatos de la izquierda",0.002,0.002,0.041,0.021,0.016,0,0.551,0.13
"P38","No sabe",0.04,0.098,0.217,0.028,0.101,0.034,0.014,0.211
"P40","Horacio Rodríguez Larreta presidente – Jorge Macri Jefe de Gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.738,0.604,0.552,0.122,0.141,0.012,0.05,0.164
"P40","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.188,0.064,0.115,0.823,0.674,0.034,0.088,0.064
"P40","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.031,0.231,0.081,0,0.043,0.916,0.203,0.358
"P40","A los candidatos de la izquierda",0,0.005,0.032,0.023,0.01,0.004,0.63,0.111
"P40","No sabe",0.043,0.096,0.22,0.032,0.132,0.034,0.029,0.303
"P42","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.816,0.596,0.598,0.119,0.073,0.042,0.037,0.186
"P42","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.079,0.046,0.107,0.841,0.792,0.02,0.219,0.114
"P42","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.049,0.248,0.067,0,0.032,0.93,0.189,0.388
"P42","A los candidatos de la izquierda",0.006,0.003,0.007,0.008,0.01,0.008,0.555,0.094
"P42","No sabe",0.05,0.107,0.221,0.032,0.093,0,0,0.218
"P44","Horacio Rodríguez Larreta presidente – María Eugenia Vidal jefa de gobierno por Juntos por el Cambio con el apoyo de Patricia Bullrich, Mauricio Macri y la UCR",0.784,0.587,0.57,0.122,0.135,0.04,0.015,0.199
"P44","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.118,0.06,0.107,0.825,0.633,0.019,0.192,0.058
"P44","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.053,0.246,0.084,0.007,0.053,0.902,0.196,0.399
"P44","A los candidatos de la izquierda",0.003,0.002,0.03,0.026,0.03,0,0.581,0.085
"P44","No sabe",0.042,0.105,0.209,0.02,0.149,0.039,0.016,0.259
"P46","Jorge Macri por Juntos por el Cambio",0.889,0.912,0.632,0.011,0.086,0.504,0.126,0.49
"P46","Leandro Santoro por el Frente de Todos",0.043,0.017,0.072,0.974,0.777,0.033,0.507,0.259
"P46","No sabe",0.068,0.071,0.296,0.015,0.137,0.463,0.367,0.251
"P47","Soledad Acuña por Juntos por el Cambio",0.83,0.768,0.589,0.015,0.075,0.428,0.069,0.316
"P47","Leandro Santoro por el Frente de Todos",0.014,0.026,0.079,0.97,0.808,0.081,0.51,0.263
"P47","No sabe",0.156,0.206,0.332,0.015,0.117,0.491,0.421,0.421
"P48","Fernán Quirós por Juntos por el Cambio",0.909,0.839,0.749,0.038,0.069,0.415,0.019,0.475
"P48","Leandro Santoro por el Frente de Todos",0.031,0.027,0.065,0.947,0.776,0.042,0.508,0.231
"P48","No sabe",0.06,0.134,0.186,0.015,0.155,0.543,0.473,0.294
"P49","Martín Lousteau por Juntos por el Cambio",0.858,0.715,0.903,0.026,0.122,0.387,0.079,0.428
"P49","Leandro Santoro por el Frente de Todos",0.02,0.015,0.054,0.955,0.804,0.06,0.539,0.235
"P49","No sabe",0.122,0.27,0.043,0.019,0.074,0.553,0.382,0.337
"P50","María Eugenia Vidal por Juntos por el Cambio",0.866,0.778,0.697,0.011,0.094,0.392,0.099,0.333
