"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de la izquierda","No sabe"
"P05","Tengo trabajo estable",0.461,0.636,0.489,0.607,0.565,0.665,0.651,0.634,0.702,0.62
"P05","Realizo changas o trabajos de vez en cuando",0.108,0.065,0.182,0.1,0.11,0.102,0.142,0.152,0.092,0.156
"P05","No tengo trabajo",0.088,0.07,0.132,0.064,0.071,0.075,0.068,0.141,0.107,0.102
"P05","Soy jubilado o pensionado",0.343,0.229,0.197,0.229,0.254,0.158,0.139,0.073,0.099,0.122
"P06","1",0.437,0.33,0.462,0.3,0.242,0.118,0.155,0.414,0.118,0.278
"P06","2",0.078,0.065,0.056,0.038,0.095,0.039,0.056,0.112,0.021,0.073
"P06","3",0.103,0.126,0.055,0.06,0.079,0.017,0.019,0.119,0.003,0.05
"P06","4",0.056,0.154,0.046,0.083,0.088,0.039,0.044,0.041,0.01,0.098
"P06","5",0.185,0.186,0.19,0.251,0.283,0.138,0.152,0.123,0.097,0.223
"P06","6",0.031,0.029,0.028,0.046,0.087,0.09,0.111,0.016,0.043,0.065
"P06","7",0.035,0.031,0.053,0.09,0.061,0.221,0.169,0.03,0.193,0.058
"P06","8",0.025,0.046,0.037,0.012,0.006,0.115,0.087,0.05,0.107,0.063
"P06","9",0.05,0.033,0.073,0.12,0.059,0.223,0.207,0.095,0.408,0.092
"P07","1",0.164,0.069,0.21,0.126,0.181,0.437,0.447,0.132,0.399,0.272
"P07","2",0.028,0.024,0.088,0.015,0.034,0.104,0.092,0.036,0.077,0.055
"P07","3",0.023,0.028,0.043,0.013,0.009,0.119,0.084,0.025,0.093,0.056
"P07","4",0.023,0.046,0.038,0.058,0.037,0.069,0.083,0.026,0.037,0.044
"P07","5",0.162,0.145,0.113,0.261,0.291,0.119,0.152,0.119,0.219,0.205
"P07","6",0.05,0.078,0.054,0.054,0.106,0.024,0.031,0.046,0,0.069
"P07","7",0.104,0.166,0.079,0.127,0.084,0.035,0.026,0.128,0.078,0.065
"P07","8",0.101,0.161,0.05,0.097,0.064,0.029,0.013,0.1,0.013,0.073
"P07","9",0.345,0.283,0.325,0.249,0.194,0.064,0.072,0.388,0.084,0.161
"P08","1",0.249,0.202,0.329,0.339,0.453,0.746,0.715,0.196,0.792,0.444
"P08","2",0.023,0.045,0.03,0.033,0.034,0.048,0.03,0.032,0.035,0.064
"P08","3",0.045,0.046,0.003,0.048,0.035,0.041,0.029,0.051,0.047,0.031
"P08","4",0.021,0.04,0.022,0.057,0.039,0.01,0.006,0.028,0.003,0.061
"P08","5",0.128,0.159,0.093,0.067,0.15,0.063,0.073,0.19,0.075,0.09
"P08","6",0.037,0.059,0.009,0.044,0.032,0.005,0.009,0.029,0.004,0.018
"P08","7",0.053,0.065,0.059,0.05,0.034,0.012,0.006,0.048,0.016,0.036
"P08","8",0.047,0.08,0.033,0.033,0.024,0.009,0.008,0.041,0.003,0.034
"P08","9",0.397,0.304,0.422,0.329,0.199,0.066,0.124,0.385,0.025,0.222
