"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de izquierda","No sabe"
"P17","A Ricardo López Murphy",0.169,0.066,0.033,0.546,0.106,0.192,0.197,0.34,0.153
"P18","Lo votaría",0.188,0.303,0.67,0.142,0.061,0.067,0.044,0.047,0.102
"P18","Puede que lo vote",0.324,0.328,0.216,0.365,0.083,0.193,0.132,0.157,0.268
"P18","Nunca lo votaría",0.39,0.259,0.063,0.375,0.763,0.63,0.689,0.725,0.47
"P18","No sabe",0.098,0.11,0.051,0.118,0.093,0.11,0.135,0.071,0.16
"P19","Lo votaría",0.035,0.047,0.08,0.096,0.737,0.463,0.035,0.085,0.164
"P19","Puede que lo vote",0.09,0.111,0.161,0.083,0.128,0.271,0.065,0.214,0.221
"P19","Nunca lo votaría",0.801,0.637,0.651,0.726,0.095,0.196,0.781,0.658,0.444
"P19","No sabe",0.074,0.205,0.108,0.095,0.04,0.07,0.119,0.043,0.171
"P20","Lo votaría",0.108,0.292,0.083,0.097,0.072,0.11,0.045,0.017,0.043
"P20","Puede que lo vote",0.368,0.326,0.303,0.406,0.055,0.085,0.098,0.09,0.12
"P20","Nunca lo votaría",0.396,0.236,0.48,0.402,0.802,0.714,0.677,0.834,0.658
"P20","No sabe",0.128,0.146,0.134,0.095,0.071,0.091,0.18,0.059,0.179
"P21","Lo votaría",0.025,0.044,0.04,0.036,0.227,0.408,0.034,0.02,0.031
"P21","Puede que lo vote",0.066,0.082,0.132,0.097,0.473,0.316,0.074,0.116,0.208
"P21","Nunca lo votaría",0.832,0.754,0.727,0.769,0.224,0.187,0.711,0.707,0.57
"P21","No sabe",0.077,0.12,0.101,0.098,0.076,0.089,0.181,0.157,0.191
"P22","Lo votaría",0.307,0.528,0.276,0.298,0.058,0.06,0.099,0.018,0.189
"P22","Puede que lo vote",0.391,0.215,0.391,0.378,0.144,0.229,0.173,0.092,0.217
"P22","Nunca lo votaría",0.228,0.188,0.237,0.25,0.698,0.543,0.567,0.782,0.427
"P22","No sabe",0.074,0.069,0.096,0.074,0.1,0.168,0.161,0.108,0.167
"P23","Lo votaría",0.651,0.476,0.24,0.368,0.023,0.035,0.077,0.032,0.11
"P23","Puede que lo vote",0.25,0.3,0.342,0.413,0.028,0.072,0.245,0.111,0.135
"P23","Nunca lo votaría",0.074,0.145,0.347,0.182,0.925,0.835,0.578,0.741,0.629
"P23","No sabe",0.025,0.079,0.071,0.037,0.024,0.058,0.1,0.116,0.126
"P24","Lo votaría",0.371,0.485,0.317,0.262,0.014,0.045,0.087,0.034,0.111
"P24","Puede que lo vote",0.342,0.319,0.309,0.351,0.029,0.036,0.15,0.064,0.184
"P24","Nunca lo votaría",0.255,0.156,0.324,0.331,0.938,0.89,0.663,0.82,0.596
"P24","No sabe",0.032,0.04,0.05,0.056,0.019,0.029,0.1,0.082,0.109
"P25","Lo votaría",0.356,0.278,0.183,0.671,0.014,0.05,0.184,0.142,0.07
"P25","Puede que lo vote",0.371,0.332,0.367,0.232,0.028,0.041,0.354,0.13,0.14
"P25","Nunca lo votaría",0.219,0.304,0.363,0.088,0.926,0.862,0.345,0.667,0.637
"P25","No sabe",0.054,0.086,0.087,0.009,0.032,0.047,0.117,0.061,0.153
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.582,0.125,0.132,0.17,0.014,0.019,0.03,0,0.081
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.288,0.087,0.123,0.511,0.003,0.048,0.097,0.014,0.102
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.016,0.26,0.039,0.033,0.003,0.017,0.016,0,0.013
"P26","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.037,0.3,0.117,0.119,0.016,0.013,0.028,0.007,0.109
"P26","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.048,0.215,0.454,0.067,0.016,0.026,0.009,0.023,0.089
"P26","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.004,0,0.057,0.042,0.737,0.323,0.009,0.032,0.17
"P26","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández",0.016,0.002,0.045,0.009,0.208,0.531,0.04,0.031,0.044
"P26","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios",0.009,0.006,0.023,0.049,0.001,0.006,0.77,0.453,0.008
"P26","A los candidatos de la izquierda",0,0.005,0.01,0,0.002,0.017,0.001,0.44,0.384
"P26","No sabe",0,0,0,0,0,0,0,0,0
"P27","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.606,0.102,0.143,0.154,0.005,0.022,0.022,0,0.044
"P27","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.305,0.097,0.127,0.558,0.009,0.058,0.101,0.021,0.111
"P27","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.008,0.249,0.028,0.028,0.006,0.002,0.014,0.008,0.01
"P27","Horacio Rodríguez Larreta presidente– Fernán Quirós Jefe de Gobierno por Juntos por el Cambio",0.026,0.307,0.113,0.135,0.019,0.007,0.021,0,0.134
"P27","Horacio Rodríguez Larreta presidente – Martín Lousteau Jefe de Gobierno por Juntos por el Cambio",0.034,0.222,0.465,0.048,0.012,0.041,0.003,0.003,0.101
"P27","Alberto Fernández presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.008,0.003,0.046,0.042,0.689,0.267,0.003,0.034,0.144
"P27","Alberto Fernández presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Sergio Massa",0.009,0.011,0.045,0.009,0.203,0.518,0.036,0.003,0.058
"P27","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertario",0.004,0.002,0.024,0.024,0.007,0.002,0.799,0.446,0.004
"P27","A los candidatos de la izquierda",0,0.007,0.009,0.002,0.05,0.083,0.001,0.485,0.394
"P27","No sabe",0,0,0,0,0,0,0,0,0
"P29","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.749,0.233,0.089,0.093,0,0.006,0.039,0.004,0.069
