"var","categoria","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio","A Martín Lousteau como Jefe de Gobierno","A Ricardo López Murphy como Jefe de Gobierno","Sergio Massa presidente – Leandro Santoro Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Sergio Massa presidente – Matías Lammens Jefe de Gobierno por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernández","Javier Milei presidente – Ramiro Marra Jefe de Gobierno por los liberales libertarios","A los candidatos de izquierda","No sabe"
"P49","Leandro Santoro por el Frente de Todos",0.026,0.035,0.065,0.036,0.953,0.802,0.129,0.315,0.29
"P49","No sabe",0.248,0.214,0.023,0.297,0.027,0.075,0.508,0.486,0.328
"P50","María Eugenia Vidal por Juntos por el Cambio",0.799,0.851,0.676,0.735,0.007,0.11,0.384,0.144,0.293
"P50","Leandro Santoro por el Frente de Todos",0.023,0.029,0.101,0.065,0.973,0.797,0.114,0.338,0.314
"P50","No sabe",0.178,0.12,0.223,0.2,0.02,0.093,0.502,0.518,0.393
"P51","Muy buena",0.331,0.521,0.324,0.276,0.088,0.043,0.058,0.063,0.117
"P51","Buena",0.395,0.36,0.389,0.43,0.066,0.126,0.218,0.1,0.194
"P51","Ni buena ni mala",0.142,0.085,0.165,0.195,0.116,0.132,0.281,0.243,0.166
"P51","Mala",0.081,0,0.043,0.08,0.261,0.297,0.194,0.357,0.153
"P51","Muy mala",0.035,0.021,0.069,0.015,0.464,0.402,0.237,0.237,0.352
"P51","No sabe",0.016,0.013,0.01,0.004,0.005,0,0.012,0,0.018
"P52","Muy buena",0.564,0.332,0.186,0.263,0.03,0.04,0.063,0.069,0.027
"P52","Buena",0.299,0.314,0.333,0.339,0.013,0.062,0.153,0.06,0.15
"P52","Ni buena ni mala",0.118,0.211,0.308,0.261,0.124,0.164,0.383,0.227,0.249
"P52","Mala",0.009,0.026,0.085,0.073,0.25,0.273,0.189,0.328,0.227
"P52","Muy mala",0.003,0.074,0.044,0.04,0.563,0.429,0.165,0.303,0.328
"P52","No sabe",0.007,0.043,0.044,0.024,0.02,0.032,0.047,0.013,0.019
"P53","Muy buena",0.069,0.011,0.04,0.046,0.667,0.388,0.027,0.092,0.22
"P53","Buena",0.059,0.094,0.108,0.067,0.18,0.235,0.11,0.092,0.07
"P53","Ni buena ni mala",0.212,0.278,0.276,0.223,0.029,0.121,0.241,0.087,0.229
"P53","Mala",0.275,0.211,0.29,0.237,0.028,0.098,0.233,0.266,0.229
"P53","Muy mala",0.339,0.308,0.242,0.383,0.079,0.158,0.348,0.406,0.222
"P53","No sabe",0.046,0.098,0.044,0.044,0.017,0,0.041,0.057,0.03
"P54","Muy buena",0.312,0.481,0.309,0.255,0.074,0.095,0.06,0,0.105
"P54","Buena",0.37,0.241,0.251,0.324,0.013,0.082,0.137,0.109,0.125
"P54","Ni buena ni mala",0.134,0.164,0.206,0.256,0.025,0.013,0.299,0.122,0.116
"P54","Mala",0.108,0.051,0.137,0.108,0.127,0.097,0.176,0.193,0.276
"P54","Muy mala",0.075,0.063,0.097,0.057,0.749,0.666,0.322,0.563,0.378
"P54","No sabe",0.001,0,0,0,0.012,0.047,0.006,0.013,0
"P55","Muy buena",0.247,0.425,0.142,0.229,0.011,0.086,0.06,0.007,0.064
"P55","Buena",0.357,0.303,0.281,0.335,0.016,0.017,0.125,0.117,0.142
"P55","Ni buena ni mala",0.277,0.19,0.314,0.266,0.052,0.038,0.343,0.117,0.167
"P55","Mala",0.063,0.032,0.084,0.113,0.117,0.111,0.166,0.237,0.146
"P55","Muy mala",0.025,0,0.12,0.043,0.782,0.701,0.173,0.372,0.446
"P55","No sabe",0.031,0.05,0.059,0.014,0.022,0.047,0.133,0.15,0.035
"P56","Muy buena",0.16,0.227,0.614,0.123,0.017,0.041,0.057,0.042,0.098
"P56","Buena",0.269,0.274,0.227,0.315,0.039,0.06,0.114,0.107,0.258
"P56","Ni buena ni mala",0.313,0.315,0.076,0.26,0.125,0.176,0.263,0.17,0.175
"P56","Mala",0.168,0.076,0.024,0.195,0.326,0.295,0.235,0.32,0.201
"P56","Muy mala",0.081,0.083,0.05,0.104,0.481,0.414,0.286,0.309,0.268
"P56","No sabe",0.009,0.025,0.009,0.003,0.012,0.014,0.045,0.052,0
"P57","Muy buena",0.039,0.044,0.085,0.049,0.162,0.411,0.045,0.099,0.039
"P57","Buena",0.042,0.07,0.063,0.045,0.416,0.23,0.059,0.059,0.067
"P57","Ni buena ni mala",0.206,0.18,0.295,0.115,0.225,0.154,0.229,0.148,0.376
"P57","Mala",0.297,0.341,0.276,0.291,0.063,0.037,0.214,0.236,0.188
"P57","Muy mala",0.384,0.31,0.231,0.469,0.114,0.154,0.372,0.343,0.292
"P57","No sabe",0.032,0.055,0.05,0.031,0.02,0.014,0.081,0.115,0.038
"P58","Muy buena",0.477,0.289,0.246,0.744,0.015,0.082,0.21,0.123,0.068
"P58","Buena",0.251,0.321,0.272,0.13,0.037,0.078,0.307,0.038,0.152
"P58","Ni buena ni mala",0.212,0.259,0.282,0.011,0.056,0.139,0.266,0.255,0.221
"P58","Mala",0.029,0.048,0.077,0.05,0.133,0.074,0.078,0.096,0.111
"P58","Muy mala",0.025,0.06,0.092,0.06,0.747,0.613,0.106,0.475,0.448
"P58","No sabe",0.006,0.023,0.031,0.005,0.012,0.014,0.033,0.013,0
"P59","Muy buena",0.555,0.618,0.527,0.549,0.039,0.063,0.137,0.077,0.322
"P59","Buena",0.247,0.195,0.195,0.275,0.11,0.304,0.13,0.071,0.13
"P59","Ni buena ni mala",0.168,0.091,0.189,0.138,0.274,0.203,0.378,0.239,0.111
"P59","Mala",0.013,0.045,0.03,0.024,0.195,0.167,0.135,0.225,0.186
"P59","Muy mala",0.009,0,0.023,0.009,0.356,0.228,0.127,0.375,0.232
"P59","No sabe",0.008,0.051,0.036,0.005,0.026,0.035,0.093,0.013,0.019
"P60","Muy buena",0.05,0.041,0.056,0.053,0.358,0.294,0.038,0.049,0.157
"P60","Buena",0.037,0.04,0.027,0.022,0.349,0.234,0.04,0.048,0.187
"P60","Ni buena ni mala",0.129,0.225,0.185,0.096,0.14,0.162,0.192,0.331,0.126
"P60","Mala",0.227,0.245,0.285,0.242,0.022,0.136,0.204,0.145,0.143
"P60","Muy mala",0.507,0.404,0.354,0.569,0.087,0.082,0.397,0.241,0.352
"P60","No sabe",0.05,0.045,0.093,0.018,0.044,0.092,0.129,0.186,0.035
"P61","Muy buena",0.01,0,0.019,0.026,0.184,0.155,0.033,0.026,0.112
"P61","Buena",0.012,0.033,0.015,0.005,0.139,0.119,0.019,0.049,0.046
"P61","Ni buena ni mala",0.144,0.291,0.207,0.132,0.325,0.28,0.253,0.262,0.153
"P61","Mala",0.173,0.137,0.17,0.173,0.033,0.023,0.126,0.146,0.113
"P61","Muy mala",0.334,0.271,0.313,0.321,0.079,0.095,0.349,0.157,0.277
"P61","No sabe",0.327,0.268,0.276,0.343,0.24,0.328,0.22,0.36,0.299
"P62","Muy buena",0.012,0,0,0.027,0.159,0.121,0.027,0.013,0
"P62","Buena",0.007,0.013,0.041,0.006,0.447,0.419,0.02,0.031,0.129
"P62","Ni buena ni mala",0.029,0.079,0.057,0.034,0.28,0.22,0.087,0.1,0.15
"P62","Mala",0.1,0.142,0.174,0.124,0.073,0.089,0.116,0.419,0.125
"P62","Muy mala",0.836,0.722,0.698,0.794,0.023,0.113,0.745,0.411,0.542
"P62","No sabe",0.016,0.044,0.03,0.015,0.018,0.038,0.005,0.026,0.054
"P63","Muy buena",0.01,0.011,0.006,0.028,0.125,0.135,0.017,0.032,0.028
"P63","Buena",0.004,0.006,0.028,0.002,0.445,0.33,0.019,0.032,0.082
"P63","Ni buena ni mala",0.016,0.08,0.057,0.023,0.295,0.259,0.028,0.164,0.077
"P63","Mala",0.087,0.158,0.148,0.131,0.104,0.094,0.186,0.269,0.268
"P63","Muy mala",0.882,0.745,0.757,0.816,0.029,0.147,0.736,0.49,0.526
"P63","No sabe",0.001,0,0.004,0,0.002,0.035,0.014,0.013,0.019
"P64","Muy buena",0.001,0,0.024,0.031,0.77,0.589,0.045,0.112,0.188
"P64","Buena",0,0,0.028,0.004,0.16,0.109,0.034,0.136,0.141
"P64","Ni buena ni mala",0.007,0.053,0.017,0.029,0.039,0.155,0.019,0.058,0.011
"P64","Mala",0.051,0.081,0.121,0.092,0.014,0.022,0.068,0.28,0.09
"P64","Muy mala",0.936,0.866,0.803,0.844,0.017,0.125,0.816,0.401,0.57
"P64","No sabe",0.005,0,0.007,0,0,0,0.018,0.013,0
"P65","Muy buena",0.492,0.399,0.225,0.432,0.084,0.124,0.105,0.021,0.058
"P65","Buena",0.267,0.252,0.241,0.271,0.019,0.107,0.177,0.146,0.107
"P65","Ni buena ni mala",0.088,0.182,0.21,0.158,0.01,0.072,0.226,0.069,0.126
"P65","Mala",0.041,0.039,0.16,0.068,0.093,0,0.181,0.232,0.116
"P65","Muy mala",0.111,0.128,0.164,0.071,0.792,0.697,0.305,0.518,0.593
"P65","No sabe",0.001,0,0,0,0.002,0,0.006,0.014,0
"P66","Muy buena",0.187,0.55,0.272,0.192,0.031,0.044,0.045,0,0.071
"P66","Buena",0.381,0.303,0.364,0.294,0.023,0.024,0.13,0.045,0.245
"P66","Ni buena ni mala",0.206,0.079,0.206,0.251,0.063,0.106,0.203,0.055,0.073
"P66","Mala",0.107,0.006,0.075,0.165,0.159,0.244,0.239,0.289,0.111
"P66","Muy mala",0.118,0.062,0.079,0.098,0.724,0.582,0.377,0.597,0.5
"P66","No sabe",0.001,0,0.004,0,0,0,0.006,0.014,0
"P67","Muy buena",0.018,0.034,0.036,0.03,0.142,0.18,0.037,0,0.105
"P67","Buena",0.037,0.083,0.059,0.026,0.449,0.415,0.054,0.105,0.031
"P67","Ni buena ni mala",0.056,0.133,0.148,0.051,0.236,0.154,0.056,0.103,0.124
"P67","Mala",0.139,0.272,0.253,0.197,0.054,0.085,0.259,0.42,0.229
"P67","Muy mala",0.745,0.478,0.493,0.69,0.116,0.152,0.557,0.358,0.511
"P67","No sabe",0.005,0,0.011,0.006,0.003,0.014,0.037,0.014,0
"P68","Muy buena",0.75,0.395,0.407,0.582,0.024,0.104,0.211,0.129,0.109
"P68","Buena",0.135,0.257,0.213,0.254,0.057,0.044,0.335,0.194,0.066
"P68","Ni buena ni mala",0.007,0.213,0.174,0.051,0.043,0,0.192,0.04,0.121
"P68","Mala",0.003,0.033,0.064,0.052,0.078,0.099,0.085,0.126,0.135
"P68","Muy mala",0.103,0.088,0.136,0.059,0.794,0.753,0.14,0.497,0.569
"P68","No sabe",0.002,0.014,0.006,0.002,0.004,0,0.037,0.014,0
"P69","Muy buena",0.151,0.142,0.098,0.173,0.014,0.049,0.633,0.335,0.046
"P69","Buena",0.2,0.123,0.128,0.188,0.01,0.028,0.193,0.075,0.027
"P69","Ni buena ni mala",0.357,0.282,0.347,0.314,0.022,0.042,0.105,0.028,0.202
"P69","Mala",0.167,0.298,0.173,0.195,0.06,0.067,0.007,0.039,0.078
"P69","Muy mala",0.113,0.114,0.212,0.122,0.876,0.814,0.062,0.523,0.647
"P69","No sabe",0.012,0.041,0.042,0.008,0.018,0,0,0,0
"P70","Muy buena",0.039,0.092,0.158,0.07,0.035,0.043,0.115,0.054,0.093
"P70","Buena",0.14,0.154,0.231,0.151,0.102,0.052,0.078,0.044,0.177
"P70","Ni buena ni mala",0.413,0.407,0.375,0.298,0.341,0.456,0.292,0.264,0.194
"P70","Mala",0.22,0.155,0.102,0.226,0.176,0.203,0.178,0.204,0.065
"P70","Muy mala",0.166,0.095,0.111,0.251,0.314,0.214,0.242,0.277,0.471
"P70","No sabe",0.022,0.097,0.023,0.004,0.032,0.032,0.095,0.157,0
"P71","Siempre",0.38,0.289,0.308,0.317,0.303,0.186,0.288,0.187,0.41
"P71","Casi siempre",0.406,0.529,0.395,0.449,0.408,0.538,0.328,0.627,0.24
"P71","Casi nunca",0.146,0.101,0.222,0.176,0.203,0.146,0.26,0.073,0.182
"P71","Nunca, pero esta es una excepción",0.068,0.081,0.075,0.058,0.086,0.13,0.124,0.113,0.168
"P72","Si",0.635,0.664,0.52,0.561,0.541,0.566,0.573,0.69,0.528
"P72","No",0.365,0.336,0.48,0.439,0.459,0.434,0.427,0.31,0.472
