"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.049,0.051,0.047,0.105,0.017,0.045,0.049,0.051,0.054,0.037,0.05,0.034,0.054,0.071,0.028,0.045,0.048,0.085,6
"Buena",0.142,0.136,0.149,0.167,0.116,0.15,0.161,0.123,0.191,0.087,0.185,0.146,0.079,0.192,0.091,0.143,0.136,0.175,6
"Ni buena ni mala",0.276,0.318,0.233,0.276,0.238,0.238,0.441,0.362,0.253,0.201,0.364,0.208,0.233,0.288,0.283,0.29,0.252,0.311,6
"Mala",0.305,0.288,0.321,0.108,0.399,0.409,0.21,0.276,0.282,0.378,0.253,0.339,0.332,0.233,0.345,0.323,0.307,0.14,6
"Muy mala",0.208,0.202,0.215,0.311,0.22,0.148,0.094,0.176,0.197,0.269,0.125,0.258,0.287,0.198,0.235,0.185,0.229,0.266,6
"No sabe",0.02,0.005,0.035,0.033,0.01,0.01,0.045,0.012,0.023,0.028,0.023,0.015,0.015,0.018,0.018,0.014,0.028,0.023,6
"Positiva",0.191,0.187,0.196,0.272,0.133,0.195,0.21,0.174,0.245,0.124,0.235,0.18,0.133,0.263,0.119,0.188,0.184,0.26,4
"Neutra",0.276,0.318,0.233,0.276,0.238,0.238,0.441,0.362,0.253,0.201,0.364,0.208,0.233,0.288,0.283,0.29,0.252,0.311,4
"Negativa",0.513,0.49,0.536,0.419,0.619,0.557,0.304,0.452,0.479,0.647,0.378,0.597,0.619,0.431,0.58,0.508,0.536,0.406,4
"No sabe",0.02,0.005,0.035,0.033,0.01,0.01,0.045,0.012,0.023,0.028,0.023,0.015,0.015,0.018,0.018,0.014,0.028,0.023,4
