"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Aníbal Tortoriello","Muy buena",0.142,0.153,0.131,0.192,0.112,0.182,0.086,0.164,0.156,0.097,0.107,0.286,0.111,0.126,0.169,0.182,0.092,0.131
"Aníbal Tortoriello","Buena",0.169,0.18,0.158,0.209,0.145,0.151,0.204,0.172,0.18,0.15,0.127,0.371,0.055,0.102,0.247,0.178,0.173,0.052
"Aníbal Tortoriello","Ni buena ni mala",0.349,0.347,0.351,0.3,0.364,0.327,0.416,0.39,0.349,0.302,0.41,0.247,0.2,0.304,0.369,0.355,0.317,0.523
"Aníbal Tortoriello","Mala",0.156,0.135,0.177,0.139,0.16,0.175,0.138,0.125,0.142,0.211,0.184,0.055,0.219,0.232,0.085,0.147,0.167,0.16
"Aníbal Tortoriello","Muy mala",0.126,0.14,0.113,0.114,0.171,0.093,0.078,0.081,0.116,0.193,0.099,0.03,0.328,0.169,0.085,0.112,0.157,0.037
"Aníbal Tortoriello","No sabe",0.058,0.045,0.07,0.046,0.048,0.072,0.078,0.068,0.057,0.047,0.073,0.011,0.087,0.067,0.045,0.026,0.094,0.097
"Juan Schiaretti","Muy buena",0.086,0.089,0.083,0.12,0.07,0.099,0.061,0.097,0.077,0.087,0.072,0.112,0.086,0.064,0.114,0.106,0.058,0.099
"Juan Schiaretti","Buena",0.171,0.17,0.173,0.167,0.192,0.144,0.165,0.159,0.169,0.189,0.119,0.248,0.145,0.073,0.276,0.132,0.237,0.061
"Juan Schiaretti","Ni buena ni mala",0.412,0.448,0.375,0.351,0.41,0.434,0.47,0.499,0.412,0.317,0.488,0.434,0.309,0.396,0.424,0.444,0.371,0.415
"Juan Schiaretti","Mala",0.155,0.138,0.172,0.238,0.12,0.138,0.152,0.121,0.165,0.175,0.149,0.107,0.254,0.205,0.097,0.153,0.147,0.22
"Juan Schiaretti","Muy mala",0.142,0.142,0.142,0.091,0.181,0.151,0.099,0.093,0.138,0.202,0.137,0.076,0.195,0.237,0.062,0.13,0.166,0.087
"Juan Schiaretti","No sabe",0.034,0.013,0.055,0.033,0.027,0.034,0.053,0.031,0.039,0.03,0.035,0.023,0.011,0.025,0.027,0.035,0.021,0.118
"Alberto Weretilneck","Muy buena",0.139,0.119,0.158,0.13,0.13,0.135,0.179,0.211,0.135,0.059,0.238,0.07,0.072,0.207,0.078,0.135,0.144,0.134
"Alberto Weretilneck","Buena",0.236,0.243,0.229,0.25,0.223,0.227,0.268,0.204,0.26,0.238,0.328,0.186,0.235,0.304,0.15,0.214,0.252,0.325
"Alberto Weretilneck","Ni buena ni mala",0.282,0.296,0.269,0.229,0.261,0.342,0.326,0.336,0.232,0.297,0.274,0.202,0.263,0.278,0.286,0.297,0.254,0.346
"Alberto Weretilneck","Mala",0.205,0.211,0.199,0.23,0.214,0.192,0.165,0.155,0.218,0.244,0.099,0.361,0.222,0.131,0.293,0.225,0.2,0.07
"Alberto Weretilneck","Muy mala",0.114,0.117,0.112,0.108,0.155,0.093,0.046,0.068,0.122,0.157,0.027,0.18,0.168,0.062,0.173,0.111,0.123,0.082
"Alberto Weretilneck","No sabe",0.024,0.014,0.033,0.053,0.017,0.011,0.016,0.026,0.033,0.005,0.034,0.001,0.04,0.018,0.02,0.018,0.027,0.043
"María Emilia Soria","Muy buena",0.14,0.129,0.151,0.19,0.089,0.175,0.148,0.145,0.151,0.118,0.169,0.069,0.282,0.256,0.058,0.153,0.137,0.031
"María Emilia Soria","Buena",0.181,0.16,0.204,0.18,0.182,0.175,0.193,0.18,0.168,0.204,0.242,0.126,0.194,0.282,0.086,0.178,0.166,0.315
"María Emilia Soria","Ni buena ni mala",0.293,0.279,0.308,0.286,0.294,0.274,0.334,0.33,0.3,0.242,0.352,0.205,0.185,0.255,0.31,0.309,0.248,0.474
"María Emilia Soria","Mala",0.189,0.2,0.177,0.116,0.185,0.26,0.192,0.194,0.174,0.204,0.123,0.321,0.117,0.124,0.25,0.201,0.195,0.033
"María Emilia Soria","Muy mala",0.16,0.193,0.126,0.182,0.206,0.103,0.093,0.107,0.166,0.21,0.085,0.257,0.153,0.048,0.276,0.145,0.185,0.122
"María Emilia Soria","No sabe",0.037,0.039,0.034,0.046,0.044,0.013,0.04,0.044,0.041,0.022,0.029,0.022,0.069,0.035,0.02,0.014,0.069,0.025
"Victoria Villarruel","Muy buena",0.279,0.333,0.222,0.255,0.301,0.294,0.23,0.254,0.287,0.292,0.18,0.451,0.186,0.08,0.509,0.309,0.246,0.227
"Victoria Villarruel","Buena",0.146,0.15,0.141,0.176,0.13,0.136,0.16,0.186,0.14,0.109,0.123,0.24,0.066,0.043,0.227,0.126,0.182,0.075
"Victoria Villarruel","Ni buena ni mala",0.177,0.148,0.207,0.162,0.148,0.197,0.244,0.26,0.165,0.104,0.238,0.154,0.133,0.152,0.164,0.204,0.13,0.262
"Victoria Villarruel","Mala",0.133,0.128,0.139,0.209,0.119,0.111,0.098,0.124,0.16,0.104,0.147,0.109,0.117,0.202,0.065,0.134,0.13,0.157
"Victoria Villarruel","Muy mala",0.248,0.233,0.265,0.198,0.284,0.248,0.228,0.159,0.222,0.388,0.292,0.046,0.496,0.503,0.029,0.207,0.297,0.279
"Victoria Villarruel","No sabe",0.017,0.008,0.026,0,0.018,0.014,0.04,0.017,0.026,0.003,0.02,0,0.002,0.02,0.006,0.02,0.015,0
"Javier Milei","Muy buena",0.274,0.317,0.229,0.227,0.316,0.298,0.192,0.286,0.282,0.247,0.204,0.436,0.162,0.09,0.495,0.307,0.248,0.144
"Javier Milei","Buena",0.147,0.15,0.145,0.201,0.127,0.122,0.165,0.105,0.168,0.164,0.122,0.248,0.04,0.047,0.239,0.147,0.15,0.135
