"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.26,0.246,0.275,0.206,0.259,0.303,0.274,0.287,0.236,0.266,0.324,0.115,0.453,0.548,0.031,0.219,0.322,0.204,6
"Buena",0.101,0.101,0.1,0.166,0.061,0.091,0.126,0.065,0.111,0.125,0.099,0.081,0.162,0.162,0.064,0.078,0.108,0.264,6
"Ni buena ni mala",0.144,0.159,0.129,0.15,0.159,0.12,0.132,0.173,0.153,0.099,0.196,0.116,0.081,0.133,0.122,0.167,0.103,0.22,6
"Mala",0.164,0.157,0.17,0.124,0.153,0.188,0.214,0.217,0.134,0.148,0.161,0.185,0.105,0.069,0.207,0.189,0.139,0.103,6
"Muy mala",0.318,0.328,0.308,0.354,0.355,0.292,0.206,0.238,0.352,0.357,0.214,0.497,0.172,0.076,0.573,0.337,0.31,0.197,6
"No sabe",0.013,0.009,0.018,0,0.013,0.006,0.048,0.02,0.014,0.005,0.006,0.006,0.027,0.012,0.003,0.01,0.018,0.012,6
"Positiva",0.361,0.347,0.375,0.372,0.32,0.394,0.4,0.352,0.347,0.391,0.423,0.196,0.615,0.71,0.095,0.297,0.43,0.468,4
"Neutra",0.144,0.159,0.129,0.15,0.159,0.12,0.132,0.173,0.153,0.099,0.196,0.116,0.081,0.133,0.122,0.167,0.103,0.22,4
"Negativa",0.482,0.485,0.478,0.478,0.508,0.48,0.42,0.455,0.486,0.505,0.375,0.682,0.277,0.145,0.78,0.526,0.449,0.3,4
"No sabe",0.013,0.009,0.018,0,0.013,0.006,0.048,0.02,0.014,0.005,0.006,0.006,0.027,0.012,0.003,0.01,0.018,0.012,4
