"var","categoria","Inseguridad y narcotráfico","Altos impuestos y tarifas","Educación y estado de las escuelas","Inflación","Estado de la salud","Corrupción","Pobreza","Medio ambiente, incendios y contaminación","Falta de trabajo","No sabe"
"P10","Gran excedente habitual",0.021,0,0.004,0.01,0.013,0.003,0,0,0,0
"P10","Gran excedente excepcional",0.001,0,0.026,0.001,0,0,0,0,0,0
"P10","Pequeño excedente habitual",0.014,0,0.02,0.026,0.066,0.076,0.057,0.124,0,0
"P10","Pequeño excedente excepcional",0.057,0,0.021,0.034,0.024,0.02,0.061,0,0,0
"P10","Alcanza gastos familia",0.062,0,0.13,0.128,0.101,0.183,0.135,0.036,0,0.018
"P10","No alcanza gastos familia",0.111,0,0.116,0.089,0.163,0.197,0.016,0,0.455,0.116
"P10","Solo NBFamiliares",0.288,0,0.298,0.272,0.247,0.211,0.617,0.011,0.15,0.13
"P10","No alcanza NBFamiliares",0.445,0,0.381,0.417,0.386,0.295,0.114,0.538,0.395,0.56
"P10","No sabe",0.001,0,0.004,0.023,0,0.015,0,0.291,0,0.176
"P11","Muy buena",0.113,0,0.062,0.052,0.093,0.033,0,0.124,0.079,0
"P11","Buena",0.146,0,0.195,0.117,0.09,0.092,0.016,0.067,0.135,0.04
"P11","Ni buena ni mala",0.306,0,0.428,0.35,0.209,0.277,0.474,0.449,0.118,0.2
"P11","Mala",0.237,0,0.187,0.308,0.228,0.259,0.363,0.36,0.137,0.565
"P11","Muy mala",0.182,0,0.126,0.148,0.376,0.258,0.147,0,0.531,0.019
"P11","No sabe",0.016,0,0.002,0.025,0.004,0.081,0,0,0,0.176
"P12","Muy buena",0.276,0,0.275,0.244,0.219,0.325,0.532,0,0.247,0
"P12","Buena",0.062,0,0.175,0.114,0.139,0.182,0.02,0.036,0.05,0.132
"P12","Ni buena ni mala",0.158,0,0.251,0.166,0.023,0.19,0,0,0.034,0
"P12","Mala",0.162,0,0.115,0.118,0.206,0.107,0.017,0.135,0.079,0.563
"P12","Muy mala",0.339,0,0.178,0.309,0.413,0.16,0.431,0.829,0.59,0.129
"P12","No sabe",0.003,0,0.006,0.049,0,0.036,0,0,0,0.176
"P15","Muy buena",0.174,0,0.106,0.108,0.067,0.063,0,0.067,0.129,0
"P15","Buena",0.156,0,0.326,0.171,0.204,0.092,0.071,0.124,0.053,0.574
"P15","Ni buena ni mala",0.296,0,0.359,0.296,0.2,0.224,0.24,0.413,0.427,0.141
"P15","Mala",0.193,0,0.132,0.325,0.174,0.254,0.397,0.105,0.076,0.05
"P15","Muy mala",0.148,0,0.074,0.084,0.355,0.292,0.021,0.291,0.282,0
"P15","No sabe",0.033,0,0.003,0.016,0,0.075,0.271,0,0.033,0.235
"P16","Gobierno nacional",0.398,0,0.246,0.352,0.395,0.172,0.32,0.771,0.232,0.485
"P16","Gobierno provincial",0.427,0,0.509,0.435,0.565,0.685,0.667,0.069,0.625,0.17
"P16","No sabe",0.175,0,0.245,0.213,0.04,0.143,0.013,0.16,0.143,0.345
"P17","El anterior gobierno de Arabela Carreras",0.321,0,0.629,0.378,0.417,0.474,0.637,1,0.335,0.781
"P17","El actual gobierno de Alberto Weretilneck",0.526,0,0.287,0.486,0.535,0.514,0.328,0,0.665,0.099
"P17","No sabe",0.153,0,0.084,0.136,0.048,0.012,0.035,0,0,0.12
"P18","El anterior gobierno de Alberto Fernández",0.404,0,0.304,0.368,0.264,0.033,0.168,0,0.346,0
"P18","El actual gobierno de Javier Milei",0.559,0,0.658,0.618,0.716,0.418,0.832,1,0.654,0.953
"P18","No sabe",0.037,0,0.038,0.014,0.02,0.549,0,0,0,0.047
"P19","Muy buena",0.077,0,0.025,0.088,0.001,0.004,0.271,0,0.05,0.018
"P19","Buena",0.167,0,0.152,0.155,0.042,0.149,0.093,0.449,0.104,0.49
