"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna"
"Mucho",0.34,0.386,0.298,0.3,0.377,0.34,0.316,0.297,0.291,0.444,0.4,0.294,0.442,0.337,0.321
"Bastante",0.334,0.347,0.322,0.293,0.332,0.353,0.374,0.326,0.334,0.341,0.266,0.387,0.29,0.379,0.423
"Poco",0.198,0.156,0.237,0.215,0.184,0.221,0.177,0.199,0.237,0.147,0.196,0.199,0.179,0.205,0.144
"Nada",0.102,0.092,0.111,0.146,0.091,0.069,0.105,0.136,0.114,0.057,0.104,0.101,0.065,0.068,0.076
"No sabe",0.026,0.019,0.032,0.046,0.016,0.017,0.028,0.042,0.024,0.011,0.034,0.019,0.024,0.011,0.036
