"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.315,0.275,0.349,0.275,0.339,0.324,0.328,0.365,0.313,0.286,0.536,0.203,0.297
"A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.46,0.444,0.473,0.428,0.434,0.518,0.512,0.417,0.464,0.48,0.219,0.689,0.34
"A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.042,0.067,0.021,0.06,0.044,0.021,0.028,0.042,0.052,0.032,0.041,0.033,0.122
"A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.036,0.043,0.03,0.051,0.027,0.034,0.032,0.028,0.045,0.031,0.029,0.02,0.08
"A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.012,0.013,0.011,0.005,0.018,0.009,0.011,0.022,0.008,0.009,0.018,0.009,0.004
"A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.023,0.03,0.018,0.033,0.023,0.015,0.014,0.012,0.018,0.036,0.048,0.005,0.023
"A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.013,0.019,0.008,0.017,0.012,0.006,0.02,0.004,0.017,0.015,0.003,0.008,0.013
"A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.045,0.036,0.052,0.047,0.053,0.03,0.037,0.036,0.025,0.072,0.067,0.002,0.045
"A los candidatos de otros partidos políticos",0.054,0.073,0.038,0.084,0.05,0.043,0.018,0.074,0.058,0.039,0.039,0.031,0.076
