"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna"
"A Martín Llaryora gobernador y Myrian Prunotto vicegobernadora por Hacemos Unidos por Córdoba",0.362,0.33,0.392,0.393,0.364,0.378,0.292,0.347,0.417,0.308,0.381,0.347,0.525,0.257,0.391
"A Luis Juez gobernador y Marcos Carasso vicegobernador por Juntos por el Cambio",0.433,0.424,0.442,0.388,0.4,0.459,0.542,0.445,0.436,0.42,0.401,0.459,0.223,0.635,0.351
"A Agustín Spaccesi gobernador y Cristina Lagger vicegobernadora por La Libertad Avanza",0.064,0.09,0.04,0.093,0.064,0.044,0.047,0.079,0.047,0.071,0.056,0.07,0.045,0.053,0.14
"A Federico Alesandri gobernador y Gabriela Estévez vicegobernadora por Creo en Córdoba de Todos",0.053,0.053,0.052,0.053,0.055,0.055,0.044,0.036,0.031,0.095,0.056,0.05,0.139,0.008,0.042
"A Aurelio García Elorrio gobernador y María Rosa Marcone vicegobernadora por Encuentro Vecinal Córdoba",0.035,0.049,0.021,0.007,0.055,0.032,0.035,0.045,0.022,0.041,0.043,0.028,0.017,0.025,0.047
"A Rodolfo Eiben gobernador y Gabriel Bornoroni vicegobernador por el Frente Liberal Demócrata Desarrollista",0.008,0.008,0.009,0.015,0.004,0.008,0.007,0.012,0.007,0.006,0.006,0.01,0.004,0.002,0.017
"A Liliana Olivero gobernadora y Soledad Díaz vicegobernadora por el Frente de Izquierda y de Trabajadores-Unidad",0.023,0.018,0.027,0.018,0.029,0.015,0.024,0.012,0.015,0.041,0.028,0.018,0.029,0.005,0.01
"A los candidatos de otros partidos políticos",0.022,0.028,0.017,0.033,0.029,0.009,0.009,0.024,0.025,0.018,0.029,0.018,0.018,0.015,0.002
