"var","categoria","A Martín Llaryora gobernador y Myrian Prunotto vicegobernadora por Hacemos Unidos por Córdoba","A Luis Juez gobernador y Marcos Carasso vicegobernador por Juntos por el Cambio","A Agustín Spaccesi gobernador y Cristina Lagger vicegobernadora por La Libertad Avanza","A Federico Alesandri gobernador y Gabriela Estévez vicegobernadora por Creo en Córdoba de Todos","A Aurelio García Elorrio gobernador y María Rosa Marcone vicegobernadora por Encuentro Vecinal Córdoba","A Rodolfo Eiben gobernador y Gabriel Bornoroni vicegobernador por el Frente Liberal Demócrata Desarrollista","A Liliana Olivero gobernadora y Soledad Díaz vicegobernadora por el Frente de Izquierda y de Trabajadores-Unidad","A los candidatos de otros partidos políticos"
"P05","Mucho",0.343,0.31,0.373,0.684,0.347,0.648,0.284,0.316
"P05","Bastante",0.344,0.382,0.347,0.201,0.351,0.319,0.358,0.152
"P05","Poco",0.203,0.207,0.172,0.064,0.147,0.033,0.239,0.246
"P05","Nada",0.09,0.074,0.095,0.015,0.136,0,0.119,0.279
"P05","No sabe",0.02,0.027,0.013,0.036,0.019,0,0,0.007
"P06","Siempre",0.271,0.271,0.299,0.298,0.229,0.415,0.142,0.164
"P06","Casi siempre",0.347,0.358,0.302,0.402,0.399,0.125,0.407,0.234
"P06","Casi nunca",0.295,0.273,0.289,0.23,0.283,0.391,0.379,0.315
"P06","Nunca, pero esta es una excepción",0.087,0.098,0.11,0.07,0.089,0.069,0.072,0.287
"P12","Si",0.502,0.491,0.272,0.51,0.372,0.381,0.369,0.32
"P12","No",0.498,0.509,0.728,0.49,0.628,0.619,0.631,0.68
