"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.5,0.451,0.405
"P04","Realizo changas o trabajos de vez en cuando",0.153,0.166,0.218
"P04","No tengo trabajo",0.144,0.172,0.237
"P04","Soy jubilado o pensionado",0.203,0.211,0.14
"P05","1",0.222,0.374,0.318
"P05","2",0.045,0.081,0.08
"P05","3",0.031,0.085,0.08
"P05","4",0.05,0.106,0.073
"P05","5",0.139,0.208,0.19
"P05","6",0.067,0.036,0.033
"P05","7",0.143,0.031,0.041
"P05","8",0.082,0.02,0.041
"P05","9",0.221,0.059,0.144
"P06","1",0.441,0.149,0.228
"P06","2",0.069,0.032,0.052
"P06","3",0.055,0.026,0.032
"P06","4",0.05,0.039,0.039
"P06","5",0.155,0.223,0.182
"P06","6",0.037,0.058,0.047
"P06","7",0.036,0.092,0.061
"P06","8",0.034,0.088,0.076
"P06","9",0.123,0.293,0.283
"P07","1",0.593,0.234,0.293
"P07","2",0.04,0.03,0.043
"P07","3",0.033,0.03,0.02
"P07","4",0.019,0.025,0.019
"P07","5",0.071,0.144,0.118
"P07","6",0.014,0.026,0.029
"P07","7",0.017,0.056,0.033
"P07","8",0.015,0.067,0.045
"P07","9",0.198,0.388,0.4
"P09","Del Frente de Todos y el peronismo",0.814,0.061,0.199
"P09","De Cambiemos",0.049,0.619,0.172
"P09","De los Liberales libertarios",0.025,0.202,0.303
"P09","De la Izquierda",0.029,0.02,0.042
"P09","No sabe",0.083,0.098,0.284
"P10","A Alberto Fernández",0.137,0.14,0.213
"P10","A Sergio Massa",0.181,0.174,0.087
"P10","A algún candidato del peronismo",0.144,0.612,0.246
"P10","A algún candidato del kirchnerismo",0.538,0.074,0.454
"P11","A Alberto Fernández",0.062,0.131,0.14
"P11","A Sergio Massa",0.1,0.112,0.051
"P11","A algún candidato del peronismo",0.082,0.647,0.217
"P11","A Cristina Fernández de Kirchner",0.756,0.11,0.592
"P12","A Horacio Rodriguez Larreta",0.221,0.277,0.145
"P12","A Mauricio Macri",0.14,0.355,0.421
"P12","A Patricia Bullrich",0.093,0.254,0.342
"P12","A Facundo Manes",0.297,0.076,0.083
"P12","A Gerardo Morales",0.249,0.038,0.009
"P13","Seguro lo votaria",0.293,0.215,0.232
"P13","Quizás lo votaría",0.163,0.334,0.335
"P13","Nunca lo votaría",0.544,0.451,0.433
"P14","Lo votaría",0.03,0.439,0.16
"P14","Puede que lo vote",0.031,0.322,0.171
"P14","Nunca lo votaría",0.855,0.172,0.513
"P14","No sabe",0.084,0.067,0.156
"P15","Lo votaría",0.264,0.089,0.069
"P15","Puede que lo vote",0.421,0.093,0.132
"P15","Nunca lo votaría",0.229,0.78,0.661
"P15","No sabe",0.086,0.038,0.138
"P16","Lo votaría",0.257,0.014,0.079
"P16","Puede que lo vote",0.461,0.022,0.095
"P16","Nunca lo votaría",0.174,0.943,0.716
"P16","No sabe",0.108,0.021,0.11
"P17","La votaría",0.75,0.016,0.191
"P17","Puede que la vote",0.132,0.013,0.064
"P17","Nunca la votaría",0.089,0.957,0.686
"P17","No sabe",0.029,0.014,0.059
"P18","Lo votaría",0.115,0.306,0.046
"P18","Puede que lo vote",0.056,0.416,0.146
"P18","Nunca lo votaría",0.798,0.232,0.671
"P18","No sabe",0.031,0.046,0.137
"P19","Lo votaría",0.024,0.176,0.057
"P19","Puede que lo vote",0.137,0.385,0.153
"P19","Nunca lo votaría",0.728,0.337,0.602
"P19","No sabe",0.111,0.102,0.188
"P20","La votaría",0.025,0.456,0.168
"P20","Puede que la vote",0.049,0.344,0.219
"P20","Nunca la votaría",0.893,0.145,0.498
"P20","No sabe",0.033,0.055,0.115
"P21","Lo votaría",0.039,0.272,0.319
"P21","Puede que lo vote",0.039,0.32,0.17
"P21","Nunca lo votaría",0.874,0.356,0.401
"P21","No sabe",0.048,0.052,0.11
"P22","La votaría",0.03,0.259,0.07
"P22","Puede que la vote",0.038,0.374,0.163
"P22","Nunca la votaría",0.884,0.28,0.611
"P22","No sabe",0.048,0.087,0.156
"P23","Lo votaría",0.203,0.042,0.036
"P23","Puede que lo vote",0.419,0.069,0.141
"P23","Nunca lo votaría",0.302,0.86,0.71
"P23","No sabe",0.076,0.029,0.113
"P24","Lo votaría",0.044,0.107,0.017
"P24","Puede que lo vote",0.109,0.274,0.072
"P24","Nunca lo votaría",0.764,0.511,0.725
"P24","No sabe",0.083,0.108,0.186
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.013,0.423,0.136
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.01,0.287,0.025
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.065,0.011,0.037
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.81,0.01,0.192
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.023,0.199,0.368
"P25","Nicolás del Caño – Myriam Bregman",0.026,0.007,0.037
"P25","Otros candidatos",0.053,0.063,0.205
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.871,0.018,0.194
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.013,0.599,0.142
"P29","Javier Milei – José Luis Espert por los liberales",0.037,0.24,0.384
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.011,0.039
"P29","Otro candidato",0.056,0.132,0.241
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.094,0.526,0.066
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.605,0.088,0.14
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.041,0.265,0.41
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.049,0.011,0.057
"P31","Otro candidato",0.211,0.11,0.327
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.74,0.044,0.073
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.05,0.617,0.157
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.027,0.226,0.377
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.044,0.01,0.053
"P33","Otro candidato",0.139,0.103,0.34
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.718,0.072,0.07
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.093,0.554,0.066
"P35","Javier Milei – José Luis Espert por los liberales",0.023,0.279,0.412
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.044,0.012,0.054
"P35","Otro candidato",0.122,0.083,0.398
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.835,0.055,0.187
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.049,0.584,0.046
"P37","Javier Milei – José Luis Espert por los liberales",0.034,0.285,0.412
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.007,0.039
"P37","Otro candidato",0.061,0.069,0.316
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.798,0.021,0.077
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.025,0.619,0.121
"P38","Javier Milei – José Luis Espert por los liberales",0.029,0.249,0.396
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.047,0.013,0.049
"P38","Otro candidato",0.101,0.098,0.357
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.871,0.046,0.228
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.051,0.802,0.222
"P39","No sabe",0.078,0.152,0.55
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.799,0.017,0.139
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.029,0.894,0.104
"P40","No sabe",0.172,0.089,0.757
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.899,0.021,0.066
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.029,0.865,0.282
"P41","No sabe",0.072,0.114,0.652
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.927,0.013,0.183
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.026,0.924,0.09
"P42","No sabe",0.047,0.063,0.727
"P44","Mauricio Macri – María Eugenia Vidal",0.177,0.721,0.213
"P44","Sergio Massa – Wado de Pedro",0.758,0.189,0.061
"P44","No sabe",0.065,0.09,0.726
"P45","Sergio Massa – Wado de Pedro",0.8,0.126,0.086
"P45","Javier Milei – José Luis Espert",0.13,0.516,0.387
"P45","No sabe",0.07,0.358,0.527
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.191,0.544,0.046
"P46","Javier Milei – José Luis Espert",0.073,0.36,0.414
"P46","No sabe",0.736,0.096,0.54
"P47","Muy buena",0.152,0.086,0.054
"P47","Buena",0.331,0.056,0.107
"P47","Ni buena ni mala",0.382,0.024,0.184
"P47","Mala",0.094,0.106,0.114
"P47","Muy mala",0.036,0.727,0.514
"P47","No sabe",0.005,0.001,0.027
"P48","Muy buena",0.163,0.011,0.064
"P48","Buena",0.359,0.02,0.078
"P48","Ni buena ni mala",0.327,0.035,0.159
"P48","Mala",0.107,0.115,0.111
"P48","Muy mala",0.043,0.816,0.563
"P48","No sabe",0.001,0.003,0.025
"P49","Muy buena",0.661,0.01,0.16
"P49","Buena",0.164,0.013,0.043
"P49","Ni buena ni mala",0.1,0.02,0.108
"P49","Mala",0.043,0.058,0.069
"P49","Muy mala",0.028,0.897,0.598
"P49","No sabe",0.004,0.002,0.022
"P50","Muy buena",0.117,0.248,0.106
"P50","Buena",0.034,0.275,0.1
"P50","Ni buena ni mala",0.054,0.208,0.214
"P50","Mala",0.178,0.09,0.176
"P50","Muy mala",0.616,0.178,0.378
"P50","No sabe",0.001,0.001,0.026
"P51","Muy buena",0.024,0.277,0.049
"P51","Buena",0.024,0.413,0.09
"P51","Ni buena ni mala",0.115,0.23,0.295
"P51","Mala",0.195,0.05,0.181
"P51","Muy mala",0.624,0.026,0.327
"P51","No sabe",0.018,0.004,0.058
"P52","Muy buena",0.181,0.047,0.027
"P52","Buena",0.33,0.09,0.081
"P52","Ni buena ni mala",0.3,0.098,0.225
"P52","Mala",0.071,0.166,0.164
"P52","Muy mala",0.109,0.594,0.468
"P52","No sabe",0.009,0.005,0.035
"P53","Muy buena",0.044,0.407,0.184
"P53","Buena",0.06,0.282,0.139
"P53","Ni buena ni mala",0.094,0.14,0.236
"P53","Mala",0.129,0.056,0.137
"P53","Muy mala",0.667,0.112,0.268
"P53","No sabe",0.006,0.003,0.036
"P54","Muy buena",0.029,0.215,0.271
"P54","Buena",0.025,0.238,0.128
"P54","Ni buena ni mala",0.103,0.34,0.214
"P54","Mala",0.134,0.116,0.106
"P54","Muy mala",0.691,0.08,0.227
"P54","No sabe",0.018,0.011,0.054
"P55","Muy buena",0.016,0.318,0.111
"P55","Buena",0.024,0.345,0.126
"P55","Ni buena ni mala",0.074,0.215,0.234
"P55","Mala",0.169,0.07,0.16
"P55","Muy mala",0.707,0.048,0.324
"P55","No sabe",0.01,0.004,0.045
"P56","Muy buena",0.149,0.061,0.044
"P56","Buena",0.343,0.064,0.105
"P56","Ni buena ni mala",0.294,0.096,0.212
"P56","Mala",0.075,0.182,0.163
"P56","Muy mala",0.133,0.592,0.442
"P56","No sabe",0.006,0.005,0.034
"P57","Muy buena",0.051,0.145,0.063
"P57","Buena",0.129,0.206,0.098
"P57","Ni buena ni mala",0.376,0.338,0.314
"P57","Mala",0.178,0.112,0.154
"P57","Muy mala",0.189,0.157,0.262
"P57","No sabe",0.077,0.042,0.109
"P58","Muy buena",0.019,0.132,0.029
"P58","Buena",0.05,0.269,0.051
"P58","Ni buena ni mala",0.198,0.388,0.321
"P58","Mala",0.192,0.087,0.145
"P58","Muy mala",0.474,0.07,0.326
"P58","No sabe",0.067,0.054,0.128
"P59","Siempre",0.343,0.338,0.272
"P59","Casi siempre",0.358,0.398,0.343
"P59","Casi nunca",0.192,0.19,0.26
"P59","Nunca, pero esta es una excepción",0.107,0.074,0.125
"P60","Si",0.592,0.572,0.539
"P60","No",0.408,0.428,0.461
