"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.416,0.405,0.427,0.356,0.387,0.458,0.491,0.374,0.416,0.461,0.448,0.415,0.322,0.402,0.156,0.675,0.304
"Patricia Bullrich","Neutra",0.158,0.161,0.155,0.225,0.163,0.126,0.117,0.157,0.176,0.134,0.153,0.206,0.164,0.139,0.125,0.137,0.246
"Patricia Bullrich","Negativa",0.412,0.42,0.403,0.395,0.437,0.409,0.376,0.445,0.396,0.398,0.391,0.346,0.483,0.451,0.704,0.183,0.442
"Patricia Bullrich","No sabe",0.014,0.014,0.015,0.024,0.013,0.007,0.016,0.024,0.012,0.007,0.008,0.033,0.031,0.008,0.015,0.005,0.008
"Horacio Rodriguez Larreta","Positiva",0.343,0.296,0.387,0.219,0.315,0.394,0.471,0.334,0.337,0.359,0.359,0.33,0.273,0.344,0.117,0.607,0.312
"Horacio Rodriguez Larreta","Neutra",0.219,0.22,0.218,0.254,0.215,0.231,0.174,0.227,0.228,0.198,0.225,0.237,0.169,0.212,0.156,0.216,0.342
"Horacio Rodriguez Larreta","Negativa",0.413,0.463,0.366,0.489,0.446,0.358,0.331,0.402,0.414,0.426,0.401,0.385,0.472,0.43,0.695,0.166,0.336
"Horacio Rodriguez Larreta","No sabe",0.025,0.021,0.029,0.038,0.024,0.017,0.024,0.037,0.021,0.017,0.015,0.048,0.086,0.014,0.032,0.011,0.01
"Maria Eugenia Vidal","Positiva",0.362,0.349,0.374,0.273,0.333,0.405,0.463,0.362,0.348,0.378,0.374,0.384,0.288,0.35,0.105,0.619,0.295
"Maria Eugenia Vidal","Neutra",0.183,0.183,0.182,0.177,0.198,0.179,0.157,0.193,0.18,0.175,0.187,0.227,0.17,0.16,0.115,0.19,0.269
"Maria Eugenia Vidal","Negativa",0.436,0.451,0.423,0.513,0.451,0.409,0.363,0.414,0.452,0.443,0.427,0.345,0.5,0.48,0.76,0.184,0.42
"Maria Eugenia Vidal","No sabe",0.019,0.017,0.021,0.037,0.018,0.007,0.017,0.031,0.02,0.004,0.012,0.044,0.042,0.01,0.02,0.007,0.016
