"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Facundo Manes","Muy buena",0.094,0.09,0.098,0.071,0.093,0.107,0.104,0.088,0.091,0.104,0.097,0.1,0.091,0.089,0.056,0.117,0.227
"Facundo Manes","Buena",0.151,0.151,0.152,0.11,0.122,0.191,0.209,0.138,0.156,0.159,0.146,0.16,0.163,0.15,0.109,0.193,0.18
"Facundo Manes","Ni buena ni mala",0.341,0.332,0.35,0.279,0.345,0.357,0.375,0.34,0.346,0.334,0.338,0.331,0.259,0.359,0.388,0.318,0.34
"Facundo Manes","Mala",0.143,0.148,0.138,0.167,0.137,0.136,0.141,0.141,0.133,0.158,0.158,0.113,0.121,0.148,0.165,0.131,0.11
"Facundo Manes","Muy mala",0.198,0.22,0.177,0.266,0.225,0.166,0.109,0.194,0.198,0.204,0.2,0.172,0.225,0.206,0.184,0.193,0.117
"Facundo Manes","No sabe",0.073,0.059,0.085,0.107,0.078,0.043,0.062,0.099,0.076,0.041,0.061,0.124,0.141,0.048,0.098,0.048,0.026
"Gerardo Morales","Muy buena",0.069,0.072,0.067,0.056,0.067,0.072,0.086,0.093,0.054,0.065,0.067,0.122,0.046,0.051,0.024,0.111,0.106
"Gerardo Morales","Buena",0.142,0.139,0.145,0.072,0.105,0.195,0.23,0.145,0.139,0.142,0.138,0.135,0.131,0.15,0.06,0.223,0.17
"Gerardo Morales","Ni buena ni mala",0.316,0.3,0.331,0.291,0.334,0.312,0.307,0.311,0.343,0.284,0.308,0.346,0.279,0.313,0.251,0.361,0.374
"Gerardo Morales","Mala",0.134,0.148,0.12,0.119,0.134,0.143,0.137,0.138,0.12,0.148,0.153,0.122,0.114,0.126,0.157,0.113,0.1
"Gerardo Morales","Muy mala",0.258,0.282,0.236,0.344,0.268,0.23,0.181,0.204,0.264,0.308,0.263,0.163,0.312,0.291,0.41,0.136,0.179
"Gerardo Morales","No sabe",0.081,0.059,0.101,0.118,0.092,0.048,0.059,0.109,0.08,0.053,0.071,0.112,0.118,0.069,0.098,0.056,0.071
"Javier Milei","Muy buena",0.182,0.237,0.128,0.323,0.182,0.121,0.112,0.189,0.199,0.153,0.188,0.212,0.189,0.161,0.076,0.211,0.105
"Javier Milei","Buena",0.146,0.164,0.129,0.152,0.155,0.139,0.13,0.154,0.142,0.143,0.152,0.159,0.132,0.137,0.053,0.204,0.154
"Javier Milei","Ni buena ni mala",0.237,0.2,0.272,0.161,0.229,0.275,0.284,0.258,0.224,0.23,0.236,0.265,0.154,0.235,0.144,0.324,0.234
"Javier Milei","Mala",0.118,0.104,0.131,0.089,0.094,0.141,0.17,0.11,0.12,0.123,0.123,0.114,0.148,0.111,0.12,0.13,0.156
"Javier Milei","Muy mala",0.291,0.274,0.308,0.235,0.315,0.307,0.276,0.251,0.289,0.335,0.28,0.208,0.305,0.338,0.57,0.121,0.32
"Javier Milei","No sabe",0.026,0.021,0.032,0.04,0.025,0.017,0.028,0.038,0.026,0.016,0.021,0.042,0.072,0.018,0.037,0.01,0.031
"Patricia Bullrich","Muy buena",0.239,0.217,0.26,0.16,0.22,0.29,0.296,0.221,0.231,0.268,0.257,0.224,0.188,0.237,0.08,0.422,0.123
