"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.477,0.449,0.419
"P04","Realizo changas o trabajos de vez en cuando",0.171,0.163,0.214
"P04","No tengo trabajo",0.16,0.181,0.219
"P04","Soy jubilado o pensionado",0.192,0.207,0.148
"P05","1",0.234,0.381,0.318
"P05","2",0.052,0.082,0.077
"P05","3",0.03,0.081,0.095
"P05","4",0.048,0.108,0.074
"P05","5",0.124,0.208,0.214
"P05","6",0.06,0.036,0.034
"P05","7",0.129,0.031,0.039
"P05","8",0.083,0.017,0.034
"P05","9",0.24,0.056,0.115
"P06","1",0.464,0.151,0.175
"P06","2",0.069,0.034,0.047
"P06","3",0.052,0.026,0.03
"P06","4",0.046,0.041,0.039
"P06","5",0.135,0.222,0.208
"P06","6",0.034,0.059,0.051
"P06","7",0.032,0.093,0.066
"P06","8",0.036,0.086,0.082
"P06","9",0.132,0.288,0.302
"P07","1",0.598,0.226,0.249
"P07","2",0.038,0.033,0.039
"P07","3",0.028,0.031,0.023
"P07","4",0.017,0.025,0.02
"P07","5",0.059,0.145,0.139
"P07","6",0.011,0.028,0.031
"P07","7",0.015,0.058,0.032
"P07","8",0.017,0.065,0.05
"P07","9",0.217,0.389,0.417
"P09","Del Frente de Todos y el peronismo",0.817,0.056,0.107
"P09","De Cambiemos",0.039,0.625,0.186
"P09","De los Liberales libertarios",0.018,0.2,0.356
"P09","De la Izquierda",0.033,0.018,0.039
"P09","No sabe",0.093,0.101,0.312
"P10","A Alberto Fernández",0.164,0.132,0.14
"P10","A Sergio Massa",0.162,0.155,0.154
"P10","A algún candidato del peronismo",0.135,0.631,0.466
"P10","A algún candidato del kirchnerismo",0.539,0.082,0.24
"P11","A Alberto Fernández",0.088,0.106,0.102
"P11","A Sergio Massa",0.084,0.148,0.125
"P11","A algún candidato del peronismo",0.076,0.661,0.461
"P11","A Cristina Fernández de Kirchner",0.752,0.085,0.312
"P12","A Horacio Rodriguez Larreta",0.193,0.268,0.188
"P12","A Mauricio Macri",0.213,0.354,0.396
"P12","A Patricia Bullrich",0.058,0.271,0.283
"P12","A Facundo Manes",0.317,0.073,0.096
"P12","A Gerardo Morales",0.219,0.034,0.037
"P13","Seguro lo votaria",0.233,0.218,0.253
"P13","Quizás lo votaría",0.117,0.329,0.355
"P13","Nunca lo votaría",0.65,0.453,0.392
"P14","Lo votaría",0.028,0.449,0.165
"P14","Puede que lo vote",0.028,0.314,0.212
"P14","Nunca lo votaría",0.854,0.167,0.469
"P14","No sabe",0.09,0.07,0.154
"P15","Lo votaría",0.229,0.098,0.063
"P15","Puede que lo vote",0.408,0.092,0.103
"P15","Nunca lo votaría",0.26,0.772,0.709
"P15","No sabe",0.103,0.038,0.125
"P16","Lo votaría",0.282,0.01,0.041
"P16","Puede que lo vote",0.437,0.022,0.066
"P16","Nunca lo votaría",0.165,0.948,0.794
"P16","No sabe",0.116,0.02,0.099
"P17","La votaría",0.803,0.008,0.057
"P17","Puede que la vote",0.125,0.015,0.062
"P17","Nunca la votaría",0.048,0.965,0.81
"P17","No sabe",0.024,0.012,0.071
"P18","Lo votaría",0.109,0.297,0.054
"P18","Puede que lo vote",0.047,0.405,0.182
"P18","Nunca lo votaría",0.805,0.249,0.623
"P18","No sabe",0.039,0.049,0.141
"P19","Lo votaría",0.025,0.169,0.073
"P19","Puede que lo vote",0.124,0.382,0.169
"P19","Nunca lo votaría",0.724,0.35,0.571
"P19","No sabe",0.127,0.099,0.187
"P20","La votaría",0.022,0.463,0.178
"P20","Puede que la vote",0.041,0.343,0.254
"P20","Nunca la votaría",0.891,0.146,0.447
"P20","No sabe",0.046,0.048,0.121
"P21","Lo votaría",0.037,0.283,0.347
"P21","Puede que lo vote",0.045,0.313,0.192
"P21","Nunca lo votaría",0.855,0.352,0.359
"P21","No sabe",0.063,0.052,0.102
"P22","La votaría",0.023,0.26,0.081
"P22","Puede que la vote",0.035,0.374,0.187
"P22","Nunca la votaría",0.869,0.28,0.584
"P22","No sabe",0.073,0.086,0.148
"P23","Lo votaría",0.189,0.039,0.027
"P23","Puede que lo vote",0.418,0.077,0.09
"P23","Nunca lo votaría",0.298,0.854,0.787
"P23","No sabe",0.095,0.03,0.096
"P24","Lo votaría",0.036,0.104,0.022
"P24","Puede que lo vote",0.103,0.267,0.087
"P24","Nunca lo votaría",0.748,0.521,0.726
"P24","No sabe",0.113,0.108,0.165
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.007,0.433,0.142
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.009,0.269,0.051
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.074,0.011,0.028
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.833,0.011,0.065
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.018,0.203,0.423
"P25","Nicolás del Caño – Myriam Bregman",0.028,0.006,0.041
"P25","Otros candidatos",0.031,0.067,0.25
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.903,0.013,0.061
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.006,0.601,0.154
"P29","Javier Milei – José Luis Espert por los liberales",0.028,0.246,0.446
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.028,0.011,0.037
"P29","Otro candidato",0.035,0.129,0.302
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.078,0.52,0.078
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.607,0.087,0.071
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.034,0.274,0.471
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.061,0.011,0.043
"P31","Otro candidato",0.22,0.108,0.337
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.658,0.044,0.065
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.04,0.615,0.179
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.026,0.233,0.426
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.057,0.009,0.038
"P33","Otro candidato",0.219,0.099,0.292
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.622,0.076,0.069
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.08,0.55,0.077
"P35","Javier Milei – José Luis Espert por los liberales",0.026,0.28,0.468
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.06,0.01,0.039
"P35","Otro candidato",0.212,0.084,0.347
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.849,0.05,0.07
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.041,0.566,0.073
"P37","Javier Milei – José Luis Espert por los liberales",0.024,0.295,0.472
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.03,0.008,0.033
"P37","Otro candidato",0.056,0.081,0.352
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.712,0.019,0.063
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.021,0.61,0.149
"P38","Javier Milei – José Luis Espert por los liberales",0.024,0.255,0.449
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.056,0.012,0.043
"P38","Otro candidato",0.187,0.104,0.296
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.914,0.044,0.082
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.036,0.805,0.248
"P39","No sabe",0.05,0.151,0.67
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.776,0.013,0.072
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.016,0.902,0.111
"P40","No sabe",0.208,0.085,0.817
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.798,0.02,0.049
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.019,0.891,0.282
"P41","No sabe",0.183,0.089,0.669
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.803,0.017,0.048
