"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.484,0.417,0.469,0.475,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.143,0.163,0.219,0.19,0.217
"P04","No tengo trabajo",0.158,0.16,0.216,0.251,0.193
"P04","Soy jubilado o pensionado",0.215,0.26,0.096,0.084,0.179
"P05","1",0.26,0.371,0.373,0.12,0.274
"P05","2",0.045,0.071,0.088,0.062,0.084
"P05","3",0.044,0.067,0.105,0.026,0.043
"P05","4",0.059,0.117,0.076,0.036,0.07
"P05","5",0.145,0.206,0.194,0.146,0.218
"P05","6",0.059,0.041,0.02,0.043,0.057
"P05","7",0.117,0.036,0.037,0.109,0.054
"P05","8",0.07,0.02,0.025,0.132,0.046
"P05","9",0.201,0.071,0.082,0.326,0.154
"P06","1",0.42,0.2,0.134,0.404,0.3
"P06","2",0.066,0.034,0.033,0.069,0.061
"P06","3",0.055,0.032,0.032,0.044,0.022
"P06","4",0.052,0.046,0.032,0.044,0.053
"P06","5",0.166,0.212,0.159,0.176,0.232
"P06","6",0.039,0.064,0.048,0.015,0.051
"P06","7",0.033,0.088,0.082,0.035,0.048
"P06","8",0.035,0.066,0.106,0.048,0.053
"P06","9",0.134,0.258,0.374,0.165,0.18
"P07","1",0.551,0.271,0.195,0.703,0.356
"P07","2",0.045,0.036,0.02,0.025,0.04
"P07","3",0.029,0.04,0.025,0.017,0.016
"P07","4",0.019,0.026,0.022,0.021,0.025
"P07","5",0.083,0.126,0.128,0.042,0.127
"P07","6",0.014,0.024,0.035,0.006,0.019
"P07","7",0.021,0.047,0.052,0.006,0.03
"P07","8",0.02,0.052,0.067,0.006,0.033
"P07","9",0.218,0.378,0.456,0.174,0.354
"P09","Del Frente de Todos y el peronismo",0.739,0.125,0.052,0.325,0.334
"P09","De Cambiemos",0.129,0.676,0.182,0.064,0.24
"P09","De los Liberales libertarios",0.023,0.057,0.604,0.049,0.051
"P09","De la Izquierda",0.015,0.019,0.013,0.396,0.022
"P09","No sabe",0.094,0.123,0.149,0.166,0.353
"P10","A Alberto Fernández",0.159,0.214,0.174,0.167,0.207
"P10","A Sergio Massa",0.19,0.194,0.045,0.054,0.102
"P10","A algún candidato del peronismo",0.146,0.286,0.534,0.109,0.249
"P10","A algún candidato del kirchnerismo",0.505,0.306,0.247,0.67,0.442
"P11","A Alberto Fernández",0.083,0.145,0.117,0.08,0.139
"P11","A Sergio Massa",0.114,0.111,0.042,0.016,0.062
"P11","A algún candidato del peronismo",0.08,0.306,0.518,0.096,0.194
"P11","A Cristina Fernández de Kirchner",0.723,0.438,0.323,0.808,0.605
"P12","A Horacio Rodriguez Larreta",0.357,0.296,0.162,0.137,0.196
"P12","A Mauricio Macri",0.241,0.331,0.439,0.472,0.34
"P12","A Patricia Bullrich",0.229,0.247,0.369,0.133,0.251
"P12","A Facundo Manes",0.089,0.083,0.016,0.173,0.173
"P12","A Gerardo Morales",0.084,0.043,0.014,0.085,0.04
"P13","Seguro lo votaria",0.334,0.195,0.378,0.129,0.17
"P13","Quizás lo votaría",0.251,0.303,0.434,0.062,0.318
"P13","Nunca lo votaría",0.415,0.502,0.188,0.809,0.512
"P14","Lo votaría",0.103,0.458,0.197,0.052,0.154
"P14","Puede que lo vote",0.049,0.261,0.326,0.05,0.138
"P14","Nunca lo votaría",0.78,0.205,0.379,0.727,0.54
"P14","No sabe",0.068,0.076,0.098,0.171,0.168
"P15","Lo votaría",0.302,0.097,0.059,0.088,0.056
"P15","Puede que lo vote",0.396,0.115,0.087,0.17,0.201
"P15","Nunca lo votaría",0.209,0.737,0.797,0.607,0.578
"P15","No sabe",0.093,0.051,0.057,0.135,0.165
"P16","Lo votaría",0.266,0.035,0.014,0.115,0.124
"P16","Puede que lo vote",0.391,0.07,0.035,0.267,0.169
"P16","Nunca lo votaría",0.24,0.855,0.922,0.523,0.565
"P16","No sabe",0.103,0.04,0.029,0.095,0.142
"P17","La votaría",0.678,0.07,0.033,0.409,0.332
"P17","Puede que la vote",0.103,0.042,0.026,0.163,0.067
"P17","Nunca la votaría",0.182,0.874,0.927,0.339,0.522
"P17","No sabe",0.037,0.014,0.014,0.089,0.079
"P18","Lo votaría",0.113,0.394,0.074,0.074,0.088
"P18","Puede que lo vote",0.085,0.384,0.277,0.079,0.17
"P18","Nunca lo votaría",0.756,0.178,0.577,0.701,0.597
"P18","No sabe",0.046,0.044,0.072,0.146,0.145
"P19","Lo votaría",0.052,0.19,0.069,0.065,0.081
"P19","Puede que lo vote",0.171,0.374,0.238,0.13,0.168
"P19","Nunca lo votaría",0.663,0.328,0.564,0.643,0.536
"P19","No sabe",0.114,0.108,0.129,0.162,0.215
"P20","La votaría",0.077,0.433,0.286,0.059,0.159
"P20","Puede que la vote",0.068,0.303,0.335,0.071,0.137
"P20","Nunca la votaría",0.809,0.209,0.315,0.802,0.569
"P20","No sabe",0.046,0.055,0.064,0.068,0.135
"P21","Lo votaría",0.063,0.132,0.633,0.06,0.052
"P21","Puede que lo vote",0.077,0.29,0.261,0.048,0.128
"P21","Nunca lo votaría",0.797,0.518,0.073,0.796,0.671
"P21","No sabe",0.063,0.06,0.033,0.096,0.149
"P22","La votaría",0.047,0.271,0.159,0.025,0.059
"P22","Puede que la vote",0.091,0.342,0.246,0.069,0.169
"P22","Nunca la votaría",0.787,0.305,0.5,0.775,0.608
"P22","No sabe",0.075,0.082,0.095,0.131,0.164
"P23","Lo votaría",0.193,0.059,0.024,0.095,0.049
"P23","Puede que lo vote",0.409,0.094,0.071,0.255,0.179
"P23","Nunca lo votaría",0.313,0.809,0.867,0.543,0.634
"P23","No sabe",0.085,0.038,0.038,0.107,0.138
"P24","Lo votaría",0.038,0.133,0.033,0.013,0.027
"P24","Puede que lo vote",0.121,0.301,0.114,0.07,0.109
"P24","Nunca lo votaría",0.731,0.463,0.735,0.78,0.659
"P24","No sabe",0.11,0.103,0.118,0.137,0.205
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.077,0.459,0.148,0.079,0.156
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.049,0.355,0.041,0.024,0.059
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.068,0.019,0.008,0.036,0.066
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.723,0.08,0.031,0.403,0.324
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.025,0.023,0.726,0.023,0.04
"P25","Nicolás del Caño – Myriam Bregman",0.01,0.008,0.009,0.393,0.011
"P25","Otros candidatos",0.048,0.056,0.037,0.042,0.344
