"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P04","Tengo trabajo estable",0.473,0.444,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.18,0.157,0.22
"P04","No tengo trabajo",0.154,0.186,0.215
"P04","Soy jubilado o pensionado",0.193,0.213,0.137
"P05","1",0.236,0.393,0.296
"P05","2",0.056,0.083,0.072
"P05","3",0.042,0.086,0.07
"P05","4",0.049,0.104,0.082
"P05","5",0.129,0.185,0.253
"P05","6",0.06,0.037,0.035
"P05","7",0.119,0.031,0.04
"P05","8",0.078,0.018,0.035
"P05","9",0.231,0.063,0.117
"P06","1",0.465,0.156,0.16
"P06","2",0.072,0.037,0.043
"P06","3",0.052,0.027,0.027
"P06","4",0.044,0.039,0.051
"P06","5",0.139,0.197,0.243
"P06","6",0.035,0.052,0.063
"P06","7",0.032,0.095,0.06
"P06","8",0.041,0.089,0.063
"P06","9",0.12,0.308,0.29
"P07","1",0.583,0.209,0.267
"P07","2",0.039,0.036,0.035
"P07","3",0.028,0.031,0.023
"P07","4",0.018,0.027,0.017
"P07","5",0.065,0.141,0.138
"P07","6",0.012,0.029,0.028
"P07","7",0.018,0.056,0.033
"P07","8",0.02,0.063,0.046
"P07","9",0.217,0.408,0.413
"P09","Del Frente de Todos y el peronismo",0.776,0.08,0.096
"P09","De Cambiemos",0.076,0.617,0.159
"P09","De los Liberales libertarios",0.02,0.204,0.348
"P09","De la Izquierda",0.032,0.014,0.047
"P09","No sabe",0.096,0.085,0.35
"P10","A Alberto Fernández",0.175,0.153,0.157
"P10","A Sergio Massa",0.151,0.14,0.254
"P10","A algún candidato del peronismo",0.139,0.527,0.448
"P10","A algún candidato del kirchnerismo",0.535,0.18,0.141
"P11","A Alberto Fernández",0.099,0.125,0.115
"P11","A Sergio Massa",0.079,0.125,0.21
"P11","A algún candidato del peronismo",0.075,0.488,0.481
"P11","A Cristina Fernández de Kirchner",0.747,0.262,0.194
"P12","A Horacio Rodriguez Larreta",0.283,0.255,0.277
"P12","A Mauricio Macri",0.302,0.387,0.176
"P12","A Patricia Bullrich",0.116,0.265,0.323
"P12","A Facundo Manes",0.209,0.063,0.147
"P12","A Gerardo Morales",0.09,0.03,0.077
"P13","Seguro lo votaria",0.243,0.208,0.352
"P13","Quizás lo votaría",0.232,0.355,0.182
