"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.376,0.264,0.284,0.267
"P05","2",0.045,0.213,0.045,0.037
"P05","3",0.044,0.028,0.162,0.031
"P05","4",0.05,0.037,0.048,0.213
"P05","5",0.19,0.188,0.185,0.172
"P05","6",0.049,0.027,0.029,0.042
"P05","7",0.072,0.042,0.041,0.049
"P05","8",0.05,0.033,0.026,0.04
"P05","9",0.124,0.168,0.18,0.149
"P06","1",0.253,0.28,0.322,0.286
"P06","2",0.048,0.084,0.044,0.049
"P06","3",0.044,0.035,0.031,0.027
"P06","4",0.046,0.04,0.041,0.053
"P06","5",0.193,0.197,0.173,0.181
"P06","6",0.051,0.035,0.031,0.053
"P06","7",0.074,0.038,0.036,0.061
"P06","8",0.074,0.042,0.043,0.056
"P06","9",0.217,0.249,0.279,0.234
"P07","1",0.387,0.318,0.35,0.341
"P07","2",0.04,0.038,0.032,0.027
"P07","3",0.033,0.013,0.022,0.025
"P07","4",0.025,0.018,0.016,0.023
"P07","5",0.118,0.11,0.085,0.118
"P07","6",0.021,0.015,0.019,0.028
"P07","7",0.041,0.028,0.028,0.033
"P07","8",0.043,0.042,0.034,0.038
"P07","9",0.292,0.418,0.414,0.367
"P09","Del Frente de Todos y el peronismo",0.33,0.292,0.28,0.348
"P09","De Cambiemos",0.298,0.255,0.253,0.388
"P09","De los Liberales libertarios",0.182,0.173,0.174,0.086
"P09","De la Izquierda",0.031,0.044,0.037,0.018
"P09","No sabe",0.159,0.236,0.256,0.16
"P10","A Alberto Fernández",0.134,0.328,0.286,0.193
"P10","A Sergio Massa",0.176,0.191,0.121,0.187
"P10","A algún candidato del peronismo",0.198,0.178,0.235,0.185
"P10","A algún candidato del kirchnerismo",0.492,0.303,0.358,0.435
"P11","A Alberto Fernández",0.083,0.256,0.252,0.105
"P11","A Sergio Massa",0.101,0.128,0.108,0.1
"P11","A algún candidato del peronismo",0.144,0.133,0.157,0.135
"P11","A Cristina Fernández de Kirchner",0.672,0.483,0.483,0.66
"P12","A Horacio Rodriguez Larreta",0.294,0.297,0.264,0.205
"P12","A Mauricio Macri",0.332,0.335,0.347,0.377
"P12","A Patricia Bullrich",0.233,0.257,0.252,0.295
"P12","A Facundo Manes",0.102,0.062,0.104,0.09
