"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.508,0.449,0.399
"P04","Realizo changas o trabajos de vez en cuando",0.155,0.161,0.226
"P04","No tengo trabajo",0.138,0.185,0.226
"P04","Soy jubilado o pensionado",0.199,0.205,0.149
"P05","1",0.219,0.385,0.297
"P05","2",0.047,0.082,0.073
"P05","3",0.027,0.091,0.072
"P05","4",0.05,0.103,0.073
"P05","5",0.139,0.195,0.211
"P05","6",0.069,0.036,0.035
"P05","7",0.138,0.03,0.043
"P05","8",0.079,0.019,0.045
"P05","9",0.232,0.059,0.151
"P06","1",0.437,0.148,0.257
"P06","2",0.068,0.033,0.055
"P06","3",0.059,0.028,0.025
"P06","4",0.05,0.039,0.045
"P06","5",0.152,0.205,0.205
"P06","6",0.035,0.058,0.05
"P06","7",0.035,0.093,0.051
"P06","8",0.034,0.092,0.063
"P06","9",0.13,0.304,0.249
"P07","1",0.607,0.208,0.325
"P07","2",0.041,0.033,0.036
"P07","3",0.034,0.029,0.022
"P07","4",0.018,0.024,0.021
"P07","5",0.065,0.142,0.121
"P07","6",0.012,0.026,0.03
"P07","7",0.015,0.058,0.029
"P07","8",0.02,0.066,0.037
"P07","9",0.188,0.414,0.379
"P09","Del Frente de Todos y el peronismo",0.809,0.056,0.244
"P09","De Cambiemos",0.044,0.589,0.155
"P09","De los Liberales libertarios",0.022,0.245,0.238
"P09","De la Izquierda",0.034,0.014,0.048
"P09","No sabe",0.091,0.096,0.315
"P10","A Alberto Fernández",0.157,0.161,0.206
"P10","A Sergio Massa",0.177,0.121,0.105
"P10","A algún candidato del peronismo",0.137,0.598,0.281
"P10","A algún candidato del kirchnerismo",0.529,0.12,0.408
"P11","A Alberto Fernández",0.078,0.137,0.155
"P11","A Sergio Massa",0.098,0.111,0.059
"P11","A algún candidato del peronismo",0.079,0.631,0.217
"P11","A Cristina Fernández de Kirchner",0.745,0.121,0.569
"P12","A Horacio Rodriguez Larreta",0.178,0.249,0.309
"P12","A Mauricio Macri",0.214,0.37,0.296
"P12","A Patricia Bullrich",0.058,0.29,0.163
"P12","A Facundo Manes",0.324,0.063,0.156
"P12","A Gerardo Morales",0.226,0.028,0.076
"P13","Seguro lo votaria",0.195,0.213,0.306
"P13","Quizás lo votaría",0.203,0.342,0.248
"P13","Nunca lo votaría",0.602,0.445,0.446
"P14","Lo votaría",0.03,0.449,0.098
"P14","Puede que lo vote",0.032,0.324,0.147
"P14","Nunca lo votaría",0.854,0.16,0.586
"P14","No sabe",0.084,0.067,0.169
"P15","Lo votaría",0.267,0.088,0.062
"P15","Puede que lo vote",0.429,0.08,0.156
"P15","Nunca lo votaría",0.213,0.794,0.636
"P15","No sabe",0.091,0.038,0.146
"P16","Lo votaría",0.265,0.015,0.095
"P16","Puede que lo vote",0.465,0.024,0.108
"P16","Nunca lo votaría",0.162,0.944,0.672
"P16","No sabe",0.108,0.017,0.125
"P17","La votaría",0.75,0.014,0.234
"P17","Puede que la vote",0.136,0.013,0.07
"P17","Nunca la votaría",0.086,0.963,0.625
"P17","No sabe",0.028,0.01,0.071
"P18","Lo votaría",0.115,0.264,0.084
"P18","Puede que lo vote",0.059,0.375,0.166
"P18","Nunca lo votaría",0.787,0.311,0.614
"P18","No sabe",0.039,0.05,0.136
"P19","Lo votaría",0.029,0.154,0.078
"P19","Puede que lo vote",0.142,0.337,0.178
