"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P04","Tengo trabajo estable",0.443,0.504,0.406
"P04","Realizo changas o trabajos de vez en cuando",0.169,0.156,0.217
"P04","No tengo trabajo",0.177,0.149,0.23
"P04","Soy jubilado o pensionado",0.211,0.191,0.147
"P05","1",0.386,0.238,0.297
"P05","2",0.076,0.064,0.068
"P05","3",0.086,0.039,0.074
"P05","4",0.092,0.06,0.088
"P05","5",0.195,0.145,0.212
"P05","6",0.031,0.067,0.037
"P05","7",0.037,0.12,0.044
"P05","8",0.025,0.069,0.044
"P05","9",0.072,0.198,0.136
"P06","1",0.161,0.394,0.233
"P06","2",0.03,0.071,0.055
"P06","3",0.032,0.051,0.026
"P06","4",0.034,0.049,0.046
"P06","5",0.19,0.179,0.207
"P06","6",0.048,0.045,0.056
"P06","7",0.094,0.043,0.053
"P06","8",0.094,0.041,0.067
"P06","9",0.317,0.127,0.257
"P07","1",0.247,0.527,0.305
"P07","2",0.03,0.044,0.037
"P07","3",0.032,0.031,0.019
"P07","4",0.027,0.013,0.023
"P07","5",0.133,0.091,0.125
"P07","6",0.022,0.017,0.034
"P07","7",0.05,0.025,0.036
"P07","8",0.062,0.032,0.037
"P07","9",0.397,0.22,0.384
"P09","Del Frente de Todos y el peronismo",0.121,0.658,0.214
"P09","De Cambiemos",0.551,0.176,0.145
"P09","De los Liberales libertarios",0.22,0.053,0.283
"P09","De la Izquierda",0.018,0.025,0.05
"P09","No sabe",0.09,0.088,0.308
"P10","A Alberto Fernández",0.149,0.123,0.259
"P10","A Sergio Massa",0.258,0.161,0.09
"P10","A algún candidato del peronismo",0.274,0.166,0.247
"P10","A algún candidato del kirchnerismo",0.319,0.55,0.404
"P11","A Alberto Fernández",0.084,0.055,0.179
"P11","A Sergio Massa",0.131,0.091,0.069
"P11","A algún candidato del peronismo",0.261,0.1,0.231
"P11","A Cristina Fernández de Kirchner",0.524,0.754,0.521
"P12","A Horacio Rodriguez Larreta",0.235,0.326,0.249
"P12","A Mauricio Macri",0.38,0.313,0.286
"P12","A Patricia Bullrich",0.276,0.19,0.271
"P12","A Facundo Manes",0.071,0.123,0.134
"P12","A Gerardo Morales",0.038,0.048,0.06
"P13","Seguro lo votaria",0.198,0.246,0.296
"P13","Quizás lo votaría",0.346,0.333,0.222
"P13","Nunca lo votaría",0.456,0.421,0.482
"P14","Lo votaría",0.443,0.105,0.089
"P14","Puede que lo vote",0.307,0.096,0.138
"P14","Nunca lo votaría",0.173,0.746,0.593
"P14","No sabe",0.077,0.053,0.18
"P15","Lo votaría",0.083,0.259,0.066
"P15","Puede que lo vote",0.087,0.384,0.148
"P15","Nunca lo votaría",0.789,0.283,0.637
"P15","No sabe",0.041,0.074,0.149
"P16","Lo votaría",0.039,0.198,0.09
"P16","Puede que lo vote",0.06,0.369,0.103
"P16","Nunca lo votaría",0.873,0.345,0.69
"P16","No sabe",0.028,0.088,0.117
"P17","La votaría",0.076,0.59,0.213
"P17","Puede que la vote",0.027,0.106,0.065
"P17","Nunca la votaría",0.883,0.282,0.654
"P17","No sabe",0.014,0.022,0.068
"P18","Lo votaría",0.258,0.138,0.081
"P18","Puede que lo vote",0.363,0.121,0.161
"P18","Nunca lo votaría",0.328,0.714,0.614
"P18","No sabe",0.051,0.027,0.144
"P19","Lo votaría",0.129,0.074,0.076
"P19","Puede que lo vote",0.328,0.198,0.175
"P19","Nunca lo votaría",0.451,0.618,0.545
"P19","No sabe",0.092,0.11,0.204
"P20","La votaría",0.433,0.114,0.122
"P20","Puede que la vote",0.33,0.108,0.2
"P20","Nunca la votaría",0.192,0.743,0.546
"P20","No sabe",0.045,0.035,0.132
"P21","Lo votaría",0.259,0.103,0.3
"P21","Puede que lo vote",0.298,0.109,0.14
"P21","Nunca lo votaría",0.398,0.746,0.427
"P21","No sabe",0.045,0.042,0.133
"P22","La votaría",0.229,0.079,0.066
"P22","Puede que la vote",0.342,0.12,0.137
"P22","Nunca la votaría",0.337,0.755,0.64
"P22","No sabe",0.092,0.046,0.157
"P23","Lo votaría",0.046,0.178,0.042
"P23","Puede que lo vote",0.083,0.38,0.134
"P23","Nunca lo votaría",0.838,0.374,0.709
"P23","No sabe",0.033,0.068,0.115
"P24","Lo votaría",0.093,0.045,0.032
"P24","Puede que lo vote",0.241,0.133,0.091
"P24","Nunca lo votaría",0.567,0.727,0.685
"P24","No sabe",0.099,0.095,0.192
