"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P04","Tengo trabajo estable",0.428,0.457,0.456,0.286
"P04","Realizo changas o trabajos de vez en cuando",0.203,0.163,0.201,0.259
"P04","No tengo trabajo",0.19,0.172,0.186,0.235
"P04","Soy jubilado o pensionado",0.179,0.208,0.157,0.22
"P05","1",0.389,0.339,0.283,0.324
"P05","2",0.073,0.071,0.071,0.085
"P05","3",0.09,0.074,0.057,0.063
"P05","4",0.083,0.108,0.06,0.081
"P05","5",0.195,0.223,0.175,0.225
"P05","6",0.027,0.043,0.045,0.039
"P05","7",0.033,0.036,0.079,0.035
"P05","8",0.024,0.018,0.055,0.035
"P05","9",0.086,0.088,0.175,0.113
"P06","1",0.225,0.147,0.322,0.272
"P06","2",0.032,0.05,0.059,0.039
"P06","3",0.025,0.026,0.046,0.026
"P06","4",0.031,0.047,0.042,0.074
"P06","5",0.219,0.21,0.177,0.196
"P06","6",0.056,0.067,0.036,0.058
"P06","7",0.074,0.098,0.046,0.05
"P06","8",0.064,0.083,0.053,0.065
"P06","9",0.274,0.272,0.219,0.22
"P07","1",0.238,0.217,0.438,0.312
"P07","2",0.024,0.034,0.04,0.025
"P07","3",0.015,0.037,0.028,0.009
"P07","4",0.02,0.032,0.02,0.018
"P07","5",0.135,0.146,0.093,0.118
"P07","6",0.031,0.027,0.019,0.019
"P07","7",0.055,0.051,0.023,0.041
"P07","8",0.056,0.054,0.031,0.04
"P07","9",0.426,0.402,0.308,0.418
"P09","Del Frente de Todos y el peronismo",0.083,0.09,0.46,0.203
"P09","De Cambiemos",0.561,0.537,0.168,0.184
"P09","De los Liberales libertarios",0.216,0.203,0.161,0.146
"P09","De la Izquierda",0.026,0.013,0.044,0.025
"P09","No sabe",0.114,0.157,0.167,0.442
"P10","A Alberto Fernández",0.212,0.252,0.179,0.353
"P10","A Sergio Massa",0.247,0.2,0.155,0.153
"P10","A algún candidato del peronismo",0.337,0.478,0.175,0.212
"P10","A algún candidato del kirchnerismo",0.204,0.07,0.491,0.282
"P11","A Alberto Fernández",0.213,0.203,0.11,0.259
"P11","A Sergio Massa",0.178,0.207,0.087,0.169
"P11","A algún candidato del peronismo",0.344,0.455,0.118,0.14
"P11","A Cristina Fernández de Kirchner",0.265,0.135,0.685,0.432
"P12","A Horacio Rodriguez Larreta",0.288,0.268,0.279,0.277
"P12","A Mauricio Macri",0.345,0.358,0.311,0.363
"P12","A Patricia Bullrich",0.268,0.269,0.232,0.254
"P12","A Facundo Manes",0.057,0.079,0.123,0.092
"P12","A Gerardo Morales",0.042,0.026,0.055,0.014
"P13","Seguro lo votaria",0.277,0.189,0.25,0.299
"P13","Quizás lo votaría",0.3,0.398,0.266,0.342
"P13","Nunca lo votaría",0.423,0.413,0.484,0.359
"P14","Lo votaría",0.498,0.38,0.115,0.159
"P14","Puede que lo vote",0.257,0.346,0.12,0.161
"P14","Nunca lo votaría",0.17,0.208,0.685,0.31
"P14","No sabe",0.075,0.066,0.08,0.37
"P15","Lo votaría",0.128,0.099,0.142,0.086
