"var","categoria","Si","Puede ser","No"
"P11","A Tolosa Paz por el Frente de todos",0.302,0.315,0.246
"P11","A Santilli y Manes por Juntos",0.536,0.17,0.184
"P11","A Del Caño por el Frente de Izquierda",0.035,0.134,0
"P11","A Espert por Avanza libertad",0.047,0.087,0.044
"P11","A Randazo por “Vamos con vos""",0.011,0.034,0
"P11","A Hotton por “+Valores”",0.014,0.069,0
"P11","Votaría en blanco o anularía",0.055,0.191,0.526
