"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.33,0.336,0.324,0.318,0.338,0.332,0.323,0.292,0.323,0.38,0.395,0.29,0.295,0.326,0.343,0.292,0.331,0.387,0.465,0.303,0.386,0.383
"Desempleo",0.083,0.069,0.097,0.092,0.093,0.072,0.065,0.102,0.088,0.057,0.099,0.047,0.143,0.091,0.105,0.068,0.069,0.113,0.031,0.036,0.083,0.064
"Corrupción",0.32,0.337,0.304,0.34,0.304,0.309,0.34,0.276,0.354,0.319,0.168,0.461,0.298,0.32,0.302,0.414,0.314,0.113,0.123,0.452,0.319,0.328
"Inseguridad",0.113,0.116,0.11,0.109,0.105,0.121,0.128,0.172,0.098,0.069,0.129,0.102,0.148,0.111,0.107,0.058,0.125,0.155,0.082,0.12,0.072,0.124
"Precio del dólar",0.029,0.025,0.033,0.026,0.027,0.041,0.024,0.033,0.033,0.02,0.044,0.015,0.024,0.023,0.025,0.028,0.037,0.069,0.02,0.002,0.006,0.032
"Pobreza",0.047,0.037,0.056,0.048,0.059,0.039,0.029,0.04,0.036,0.069,0.067,0.03,0.032,0.06,0.034,0.012,0.047,0.071,0.139,0.02,0.1,0.021
"Narcotráfico",0.013,0.01,0.015,0.001,0.011,0.014,0.031,0.024,0.007,0.008,0.017,0.007,0.009,0.01,0.01,0.018,0.015,0.004,0,0.009,0,0
"Tarifas",0.005,0.005,0.005,0,0.004,0.013,0.005,0.007,0.004,0.006,0.009,0.004,0.001,0.002,0.012,0.008,0.005,0.004,0.003,0.008,0,0.004
"Otro",0.041,0.041,0.041,0.046,0.039,0.043,0.035,0.022,0.042,0.061,0.053,0.029,0.019,0.037,0.031,0.076,0.045,0.064,0.127,0.044,0.015,0.034
"No sabe",0.019,0.024,0.015,0.02,0.02,0.016,0.02,0.032,0.015,0.011,0.019,0.015,0.031,0.02,0.031,0.026,0.012,0.02,0.01,0.006,0.019,0.01
