"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Totalmente seguro",0.694,0.718,0.673,0.665,0.68,0.713,0.753,0.664,0.698,0.727,0.749,0.735,0.558,0.657,0.65,0.739,0.743,0.715,0.735,0.755,0.642,0.7
"Bastante seguro",0.12,0.125,0.115,0.137,0.122,0.116,0.09,0.12,0.123,0.113,0.104,0.108,0.193,0.137,0.15,0.094,0.093,0.152,0.115,0.124,0.13,0.171
"Algo seguro",0.093,0.087,0.098,0.106,0.101,0.071,0.079,0.095,0.092,0.09,0.072,0.088,0.161,0.102,0.126,0.07,0.071,0.095,0.09,0.087,0.11,0.097
"Para nada seguro",0.093,0.07,0.114,0.092,0.097,0.1,0.078,0.121,0.087,0.07,0.075,0.069,0.088,0.104,0.074,0.097,0.093,0.038,0.06,0.034,0.118,0.032
