"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.764,0.688,0.722,0.599,0.477,0.44,0.331
"P26","Bastante seguro",0.1,0.139,0.125,0.111,0.197,0.07,0.084
"P26","Algo seguro",0.072,0.087,0.108,0.143,0.118,0.15,0.102
"P26","Para nada seguro",0.064,0.086,0.045,0.147,0.208,0.34,0.483
"P27","Tiene Decidido que va a ir a votar",0.92,0.911,0.927,0.881,0.882,0.755,0.607
"P27","Tiene dudas sobre si va a ir a  votar",0.066,0.068,0.056,0.056,0.056,0.17,0.267
"P27","Tiene Decidido que no va a ir a votar",0.014,0.021,0.017,0.063,0.062,0.075,0.126
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.829,0.188,0.122,0.356,0.2,0.201,0.339
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.081,0.705,0.314,0.13,0.249,0.181,0.047
"P28","En blanco",0.038,0.038,0.351,0.223,0.287,0.152,0.349
"P28","No sabe",0.052,0.069,0.213,0.291,0.264,0.466,0.265
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.226,0.683,0.122,0.25,0.237,0.189,0.149
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.089,0.153,0.744,0.182,0.264,0.253,0.141
"P29","En blanco",0.437,0.074,0.072,0.377,0.274,0.216,0.441
"P29","No sabe",0.248,0.09,0.062,0.191,0.225,0.342,0.269
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.826,0.248,0.1,0.451,0.337,0.233,0.301
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.27,0.796,0.208,0.234,0.362,0.178
"P30","En blanco",0.064,0.275,0.064,0.218,0.249,0.108,0.393
"P30","No sabe",0.051,0.207,0.04,0.123,0.18,0.297,0.128
"P38","Inflación",0.388,0.301,0.314,0.29,0.336,0.162,0.206
"P38","Desempleo",0.105,0.064,0.068,0.07,0.054,0.162,0.15
"P38","Corrupción",0.141,0.424,0.438,0.306,0.365,0.38,0.244
"P38","Inseguridad",0.131,0.11,0.086,0.112,0.127,0.147,0.119
"P38","Precio del dólar",0.048,0.018,0.011,0.055,0.024,0.056,0.036
"P38","Pobreza",0.071,0.028,0.029,0.104,0.05,0.027,0.051
"P38","Narcotráfico",0.023,0.006,0.002,0.013,0.004,0.027,0.046
"P38","Tarifas",0.006,0.008,0.003,0.003,0,0,0.004
"P38","Otro",0.061,0.027,0.035,0.046,0.024,0.035,0.007
"P38","No sabe",0.026,0.014,0.014,0.001,0.016,0.004,0.137
