"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P10","Unión por la Patria",0.687,0.125,0.108,0.117,0.069,0.077,0.085
"P10","Juntos por el Cambio",0.157,0.751,0.109,0.062,0.112,0.189,0.114
"P10","De los liberales libertarios",0.081,0.084,0.676,0.06,0.152,0.049,0.042
"P10","De la Izquierda",0.013,0.008,0.014,0.646,0.042,0.046,0.037
"P10","Hacemos por nuestro país",0.01,0.007,0.019,0.017,0.404,0.037,0.024
"P10","Otro",0.014,0.008,0.023,0.076,0.104,0.271,0.125
"P10","En blanco",0.018,0.006,0.012,0.013,0.019,0.286,0.158
"P10","No sabe",0.02,0.011,0.039,0.009,0.098,0.045,0.415
"P26","Totalmente seguro",0.758,0.748,0.727,0.589,0.394,0.506,0.103
"P26","Bastante seguro",0.108,0.121,0.127,0.099,0.149,0.132,0.134
"P26","Algo seguro",0.078,0.082,0.095,0.152,0.206,0.086,0.104
"P26","Para nada seguro",0.056,0.049,0.051,0.16,0.251,0.276,0.659
"P27","Tiene Decidido que va a ir a votar",0.937,0.931,0.925,0.886,0.755,0.627,0.611
"P27","Tiene dudas sobre si va a ir a  votar",0.05,0.055,0.058,0.067,0.177,0.212,0.283
"P27","Tiene Decidido que no va a ir a votar",0.013,0.014,0.017,0.047,0.068,0.161,0.106
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.886,0.117,0.099,0.294,0.205,0.144,0.125
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.812,0.327,0.199,0.198,0.092,0.143
"P28","En blanco",0.027,0.026,0.358,0.193,0.295,0.402,0.095
"P28","No sabe",0.027,0.045,0.216,0.314,0.302,0.362,0.637
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.215,0.805,0.105,0.29,0.212,0.11,0.174
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.131,0.796,0.153,0.263,0.146,0.057
"P29","En blanco",0.46,0.03,0.061,0.34,0.26,0.448,0.136
"P29","No sabe",0.255,0.034,0.038,0.217,0.265,0.296,0.633
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.844,0.219,0.082,0.396,0.301,0.138,0.2
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.039,0.252,0.86,0.186,0.269,0.22,0.166
"P30","En blanco",0.084,0.308,0.031,0.263,0.223,0.332,0.13
"P30","No sabe",0.033,0.221,0.027,0.155,0.207,0.31,0.504
"P38","Inflación",0.389,0.293,0.32,0.222,0.26,0.292,0.221
"P38","Desempleo",0.111,0.049,0.067,0.064,0.108,0.139,0.124
"P38","Corrupción",0.134,0.458,0.443,0.383,0.34,0.315,0.272
"P38","Inseguridad",0.14,0.106,0.089,0.106,0.077,0.042,0.154
"P38","Precio del dólar",0.047,0.013,0.006,0.031,0.085,0.079,0.033
"P38","Pobreza",0.072,0.022,0.028,0.104,0.042,0.029,0.073
"P38","Narcotráfico",0.021,0.008,0,0.009,0.028,0,0.032
"P38","Tarifas",0.005,0.003,0.002,0.003,0.02,0.016,0.022
"P38","Otro",0.054,0.031,0.029,0.078,0.029,0.045,0.062
"P38","No sabe",0.027,0.017,0.016,0,0.011,0.043,0.007
