"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.397,0.425,0.143,0.395,0.525,0.486,0.585,0.399,0.507,0.421
"P10","Juntos por el Cambio",0.267,0.219,0.383,0.267,0.147,0.159,0.147,0.319,0.183,0.208
"P10","De los liberales libertarios",0.234,0.203,0.33,0.186,0.092,0.155,0.03,0.142,0.18,0.169
"P10","De la Izquierda",0.027,0.025,0.029,0.031,0.058,0.069,0.031,0.017,0.035,0.001
"P10","Hacemos por nuestro país",0.031,0.015,0.032,0.034,0.011,0.033,0.01,0,0.018,0.026
"P10","Otro",0.012,0.058,0.032,0.039,0.057,0.017,0,0,0.025,0.006
"P10","En blanco",0.01,0.029,0.012,0.017,0.02,0.017,0.058,0.012,0.003,0.113
"P10","No sabe",0.022,0.026,0.039,0.031,0.09,0.064,0.139,0.111,0.049,0.056
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.435,0.491,0.154,0.454,0.593,0.569,0.622,0.348,0.481,0.5
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.231,0.153,0.373,0.243,0.115,0.121,0.17,0.166,0.193,0.224
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.244,0.202,0.348,0.198,0.05,0.148,0.01,0.118,0.176,0.202
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.019,0.022,0.034,0.027,0.03,0.063,0.019,0.017,0.054,0
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.06,0.049,0.032,0.134,0.042,0.104,0.177,0.033,0.026
"P13","En blanco",0.015,0.028,0.017,0.006,0.045,0.011,0,0.051,0.019,0.038
"P13","No sabe",0.019,0.044,0.025,0.04,0.033,0.046,0.075,0.123,0.044,0.01
"P26","Totalmente seguro",0.749,0.613,0.717,0.68,0.713,0.7,0.823,0.565,0.819,0.563
"P26","Bastante seguro",0.118,0.127,0.117,0.12,0.011,0.131,0.045,0.132,0.08,0.1
"P26","Algo seguro",0.09,0.146,0.093,0.105,0.115,0.083,0.037,0.015,0.062,0.171
"P26","Para nada seguro",0.043,0.114,0.073,0.095,0.161,0.086,0.095,0.288,0.039,0.166
"P27","Tiene Decidido que va a ir a votar",0.927,0.904,0.929,0.907,0.93,0.978,0.91,0.94,0.944,0.77
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.072,0.052,0.082,0.046,0.017,0.071,0.06,0.036,0.132
"P27","Tiene Decidido que no va a ir a votar",0.025,0.024,0.019,0.011,0.024,0.005,0.019,0,0.02,0.098
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.451,0.514,0.179,0.486,0.575,0.638,0.62,0.687,0.538,0.448
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.309,0.235,0.504,0.3,0.21,0.143,0.188,0.215,0.23,0.29
"P28","En blanco",0.14,0.136,0.178,0.086,0.071,0.121,0.041,0.069,0.081,0.061
"P28","No sabe",0.1,0.115,0.139,0.128,0.144,0.098,0.151,0.029,0.151,0.201
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.308,0.29,0.421,0.317,0.226,0.309,0.257,0.143,0.242,0.214
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.291,0.223,0.365,0.212,0.174,0.111,0.098,0.35,0.173,0.271
"P29","En blanco",0.259,0.249,0.116,0.262,0.372,0.376,0.313,0.256,0.435,0.222
"P29","No sabe",0.142,0.238,0.098,0.209,0.228,0.204,0.332,0.251,0.15,0.293
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.479,0.538,0.191,0.501,0.719,0.65,0.686,0.527,0.538,0.612
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.321,0.251,0.471,0.235,0.104,0.139,0.043,0.363,0.248,0.13
"P30","En blanco",0.115,0.106,0.205,0.135,0.063,0.127,0.082,0.03,0.137,0.143
"P30","No sabe",0.085,0.105,0.133,0.129,0.114,0.084,0.189,0.08,0.077,0.115
"P10_imputada","Unión por la Patria",0.409,0.437,0.153,0.404,0.564,0.531,0.638,0.399,0.515,0.465
"P10_imputada","Juntos por el Cambio",0.271,0.227,0.393,0.287,0.184,0.178,0.148,0.43,0.193,0.212
"P10_imputada","De los liberales libertarios",0.237,0.203,0.341,0.188,0.092,0.155,0.051,0.142,0.211,0.177
"P10_imputada","De la Izquierda",0.027,0.026,0.03,0.031,0.059,0.069,0.031,0.017,0.035,0.001
"P10_imputada","Hacemos por nuestro país",0.031,0.02,0.035,0.034,0.024,0.033,0.01,0,0.018,0.026
"P10_imputada","Otro",0.015,0.058,0.036,0.039,0.057,0.017,0.064,0,0.025,0.006
"P10_imputada","En blanco",0.01,0.029,0.012,0.017,0.02,0.017,0.058,0.012,0.003,0.113
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.44,0.511,0.157,0.468,0.598,0.6,0.675,0.459,0.497,0.51
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.234,0.16,0.383,0.255,0.123,0.121,0.178,0.178,0.202,0.224
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.252,0.215,0.355,0.199,0.05,0.149,0.024,0.118,0.19,0.202
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.019,0.022,0.034,0.027,0.03,0.072,0.019,0.017,0.054,0
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.037,0.064,0.054,0.032,0.134,0.042,0.104,0.177,0.038,0.026
"P13_imputada","En blanco",0.018,0.028,0.017,0.019,0.065,0.016,0,0.051,0.019,0.038
