"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.632,0.648,0.618,0.64,0.686,0.531,0.633,0.629,0.676,0.578,0.592,0.662,0.346,0.693,0.723,0.598,0.662,0.779,0.576,0.189
"A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.266,0.257,0.274,0.245,0.223,0.349,0.29,0.249,0.217,0.349,0.295,0.245,0.351,0.246,0.219,0.257,0.292,0.151,0.347,0.367
"No sabe",0.102,0.095,0.108,0.115,0.091,0.12,0.077,0.122,0.107,0.073,0.113,0.093,0.303,0.061,0.058,0.145,0.046,0.07,0.077,0.444
