"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","Otros","No sabe"
"P11","A Juntos por el Cambio",0.099,0.62,0.257,0.028,0.031,0.1
"P11","Al Frente de Todos",0.355,0.087,0.021,0.1,0.053,0.051
"P11","A Hacemos por Córdoba",0.375,0.16,0.212,0.066,0.275,0.166
"P11","A los liberales libertarios de Milei",0.062,0.041,0.418,0.228,0.096,0.073
"P11","A Encuentro Vecinal Córdoba",0.014,0.016,0.029,0.102,0.219,0.007
"P11","Al Frente de Izquierda",0.036,0.007,0,0.389,0.08,0.165
"P11","No sabe",0.059,0.069,0.063,0.087,0.246,0.438
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.068,0.571,0.317,0.061,0.108,0.102
"P13","A Martín Llaryora por Hacemos por Córdoba",0.534,0.243,0.18,0.195,0.341,0.347
"P13","Al candidato del Frente de Todos",0.292,0.009,0.008,0.095,0.049,0.009
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.013,0.032,0.403,0.113,0.12,0.045
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.009,0.028,0.047,0.058,0.179,0.05
"P13","Al candidato del Frente de Izquierda",0.032,0.012,0.001,0.366,0.023,0.008
"P13","Votaría en blanco",0.014,0.03,0.014,0.042,0.04,0.078
"P13","No sabe",0.038,0.075,0.03,0.07,0.14,0.361
"P15","A Luis Juez por Juntos por el Cambio",0.121,0.541,0.273,0.059,0.229,0.177
"P15","A Martín Llaryora por Hacemos por Córdoba",0.51,0.306,0.22,0.213,0.347,0.348
"P15","Al candidato del Frente de Todos",0.274,0.008,0.001,0.084,0.026,0.013
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.013,0.028,0.419,0.116,0.065,0.038
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.008,0.036,0.044,0.075,0.17,0.024
"P15","Al candidato del Frente de Izquierda",0.031,0.011,0.011,0.383,0.023,0.012
"P15","Votaría en blanco",0.015,0.013,0.01,0.03,0.024,0.052
"P15","No sabe",0.028,0.057,0.022,0.04,0.116,0.336
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.097,0.623,0.336,0.187,0.206,0.191
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.467,0.228,0.142,0.09,0.279,0.305
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.31,0.007,0.006,0.111,0.036,0.018
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.01,0.043,0.392,0.068,0.115,0.062
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.033,0.032,0.073,0.168,0.013
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.034,0.002,0.008,0.421,0.038,0.01
"P17","Votaría en blanco",0.026,0.014,0.037,0.005,0.061,0.059
"P17","No sabe",0.043,0.05,0.047,0.045,0.097,0.342
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.049,0.624,0.305,0.121,0.215,0.187
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.514,0.192,0.141,0.174,0.295,0.252
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.312,0.01,0.007,0.127,0.023,0.015
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.016,0.032,0.434,0.072,0.114,0.091
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.013,0.033,0.04,0.064,0.157,0.016
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.031,0.004,0.007,0.367,0.014,0.015
"P18","Votaría en blanco",0.019,0.033,0.016,0.006,0.02,0.097
"P18","No sabe",0.046,0.072,0.05,0.069,0.162,0.327
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.064,0.641,0.33,0.157,0.175,0.219
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.541,0.188,0.136,0.142,0.335,0.266
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.284,0.009,0.005,0.04,0.004,0.014
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.016,0.041,0.43,0.1,0.096,0.061
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.009,0.038,0.03,0.082,0.181,0.011
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.024,0.004,0,0.44,0.033,0.012
"P19","Votaría en blanco",0.026,0.024,0.028,0.007,0.034,0.063
"P19","No sabe",0.036,0.055,0.041,0.032,0.142,0.354
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.079,0.602,0.292,0.122,0.224,0.197
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.559,0.189,0.143,0.156,0.297,0.286
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.27,0.011,0.008,0.013,0.01,0.016
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.008,0.032,0.46,0.1,0.087,0.083
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.012,0.037,0.034,0.092,0.111,0.012
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.023,0.003,0,0.457,0.012,0.015
"P20","Votaría en blanco",0.02,0.05,0.016,0.007,0.085,0.055
"P20","No sabe",0.029,0.076,0.047,0.053,0.174,0.336
"P21","Lo votaría",0.115,0.496,0.259,0.099,0.162,0.171
"P21","Puede que lo vote",0.095,0.301,0.326,0.19,0.279,0.242
"P21","Nunca lo votaría",0.781,0.174,0.372,0.676,0.519,0.482
"P21","No sabe",0.009,0.029,0.043,0.035,0.04,0.105
"P22","Lo votaría",0.535,0.244,0.164,0.129,0.268,0.209
"P22","Puede que lo vote",0.226,0.134,0.239,0.171,0.29,0.331
"P22","Nunca lo votaría",0.23,0.604,0.587,0.675,0.415,0.366
"P22","No sabe",0.009,0.018,0.01,0.025,0.027,0.094
"P23","Lo votaría",0.149,0.458,0.239,0.105,0.177,0.252
"P23","Puede que lo vote",0.085,0.247,0.263,0.026,0.148,0.168
"P23","Nunca lo votaría",0.753,0.275,0.45,0.844,0.641,0.485
"P23","No sabe",0.013,0.02,0.048,0.025,0.034,0.095
"P24","Lo votaría",0.289,0.056,0.037,0.049,0.057,0.034
"P24","Puede que lo vote",0.26,0.125,0.066,0.167,0.173,0.122
"P24","Nunca lo votaría",0.451,0.807,0.888,0.76,0.76,0.806
"P24","No sabe",0,0.012,0.009,0.024,0.01,0.038
"P25","Muy buena",0.055,0.421,0.273,0.028,0.116,0.193
"P25","Buena",0.107,0.253,0.134,0.135,0.285,0.094
"P25","Ni buena ni mala",0.271,0.244,0.34,0.413,0.426,0.438
"P25","Mala",0.21,0.061,0.097,0.157,0.086,0.075
"P25","Muy mala",0.311,0.014,0.121,0.233,0.07,0.076
"P25","No sabe",0.046,0.007,0.035,0.034,0.017,0.124
"P26","Muy buena",0.063,0.352,0.209,0.117,0.123,0.154
"P26","Buena",0.056,0.307,0.196,0.117,0.123,0.166
"P26","Ni buena ni mala",0.132,0.132,0.264,0.073,0.313,0.264
"P26","Mala",0.213,0.144,0.158,0.241,0.202,0.19
"P26","Muy mala",0.503,0.057,0.168,0.443,0.234,0.141
"P26","No sabe",0.033,0.008,0.005,0.009,0.005,0.085
"P27","Muy buena",0.367,0.19,0.153,0.151,0.221,0.158
"P27","Buena",0.292,0.165,0.149,0.109,0.192,0.216
"P27","Ni buena ni mala",0.146,0.304,0.197,0.143,0.344,0.233
"P27","Mala",0.096,0.224,0.262,0.208,0.096,0.226
"P27","Muy mala",0.074,0.109,0.228,0.379,0.135,0.089
"P27","No sabe",0.025,0.008,0.011,0.01,0.012,0.078
"P28","Muy buena",0.067,0.178,0.144,0.111,0.225,0.075
"P28","Buena",0.091,0.162,0.119,0.117,0.225,0.163
"P28","Ni buena ni mala",0.39,0.422,0.259,0.175,0.349,0.334
"P28","Mala",0.136,0.075,0.17,0.127,0.077,0.049
"P28","Muy mala",0.215,0.059,0.2,0.399,0.04,0.138
"P28","No sabe",0.101,0.104,0.108,0.071,0.084,0.241
"P29","Muy buena",0.096,0.027,0.016,0.049,0.072,0.007
"P29","Buena",0.332,0.029,0.016,0.103,0.141,0.047
"P29","Ni buena ni mala",0.26,0.098,0.059,0.205,0.272,0.172
"P29","Mala",0.174,0.178,0.119,0.104,0.177,0.288
"P29","Muy mala",0.127,0.635,0.727,0.53,0.33,0.406
"P29","No sabe",0.011,0.033,0.063,0.009,0.008,0.08
"P30","Muy buena",0.564,0.02,0.005,0.138,0.027,0.03
"P30","Buena",0.199,0.011,0.002,0.026,0.136,0.039
"P30","Ni buena ni mala",0.093,0.049,0.012,0.163,0.171,0.121
"P30","Mala",0.037,0.16,0.101,0.09,0.149,0.271
"P30","Muy mala",0.097,0.753,0.874,0.574,0.512,0.504
"P30","No sabe",0.01,0.007,0.006,0.009,0.005,0.035
"P31","Muy buena",0.073,0.358,0.143,0.019,0.042,0.028
"P31","Buena",0.05,0.299,0.246,0.074,0.13,0.162
"P31","Ni buena ni mala",0.076,0.158,0.153,0.113,0.239,0.268
"P31","Mala",0.153,0.073,0.201,0.153,0.228,0.229
"P31","Muy mala",0.634,0.108,0.249,0.631,0.343,0.265
"P31","No sabe",0.014,0.004,0.008,0.01,0.018,0.048
"P32","Muy buena",0.022,0.192,0.055,0.015,0.09,0.046
"P32","Buena",0.07,0.329,0.199,0.061,0.207,0.16
"P32","Ni buena ni mala",0.137,0.293,0.299,0.181,0.315,0.438
"P32","Mala",0.204,0.103,0.158,0.159,0.146,0.123
"P32","Muy mala",0.533,0.068,0.25,0.54,0.206,0.148
"P32","No sabe",0.034,0.015,0.039,0.044,0.036,0.085
"P33","Muy buena",0.116,0.045,0.008,0.041,0.021,0.024
"P33","Buena",0.347,0.065,0.03,0.069,0.196,0.035
"P33","Ni buena ni mala",0.285,0.102,0.098,0.207,0.276,0.247
"P33","Mala",0.129,0.209,0.167,0.129,0.196,0.291
"P33","Muy mala",0.106,0.568,0.661,0.544,0.252,0.26
