"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.468,0.421,0.381,0.298,0.334,0.222
"P05","Bastante",0.394,0.375,0.388,0.408,0.326,0.282
"P05","Poco",0.105,0.153,0.119,0.207,0.146,0.269
"P05","Nada",0.016,0.038,0.097,0.074,0.11,0.119
"P05","No sabe",0.017,0.013,0.015,0.013,0.084,0.108
"P06","Siempre",0.33,0.327,0.243,0.346,0.206,0.28
"P06","Casi siempre",0.453,0.458,0.354,0.425,0.379,0.377
"P06","Casi nunca",0.15,0.161,0.296,0.181,0.254,0.233
"P06","Nunca, pero esta es una excepción",0.067,0.054,0.107,0.048,0.161,0.11
"P07","Del Frente de Todos y el peronismo",0.844,0.051,0.051,0.119,0.184,0.269
"P07","De Juntos por el Cambio",0.059,0.804,0.123,0.247,0.37,0.252
"P07","De los Liberales libertarios",0.04,0.08,0.74,0.012,0.079,0.019
"P07","De la Izquierda",0.013,0.008,0.023,0.548,0.062,0.027
"P07","No sabe",0.044,0.057,0.063,0.074,0.305,0.433
"P08","A Sergio Massa",0.291,0.278,0.236,0.162,0.589,0.307
"P08","A Daniel Scioli",0.077,0.23,0.334,0,0.115,0.223
"P08","A algún candidato del peronismo",0.086,0.352,0.33,0.26,0.279,0.201
"P08","A algún candidato del kirchnerismo",0.546,0.14,0.1,0.578,0.017,0.269
"P09","A Horacio Rodríguez Larreta",0.297,0.103,0.121,0.509,0.328,0.36
"P09","A Patricia Bullrich",0.124,0.831,0.727,0.322,0.261,0.411
"P09","A Facundo Manes",0.361,0.03,0.049,0.04,0.263,0.141
"P09","A Gerardo Morales",0.218,0.036,0.103,0.129,0.148,0.088
"P10","Sergio Massa por el Frente de Todos",0.445,0.063,0.015,0.144,0.118,0.207
"P10","Patricia Bullrich por Juntos por el Cambio",0.033,0.524,0.046,0.04,0.042,0.103
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.076,0.017,0.045,0.155,0.066
"P10","Juan Schiaretti por Juntos por el Cambio",0.017,0.015,0.319,0.044,0.068,0.084
"P10","Jose Luis Espert por Juntos por el Cambio",0.239,0.025,0.025,0.018,0.053,0.034
"P10","Javier Milei por la Libertad Avanza",0.02,0.277,0.559,0.035,0.132,0.093
"P10","Al candidato del Frente de Izquierda",0.043,0.001,0.001,0.562,0.016,0.014
"P10","En blanco",0.03,0.002,0.006,0.009,0.255,0.022
"P10","No sabe",0.159,0.017,0.012,0.103,0.161,0.377
"P13","Wado de Pedro por el Frente de Todos",0.536,0.098,0.027,0.274,0.139,0.124
"P13","Patricia Bullrich por Juntos por el Cambio",0.027,0.481,0.048,0.042,0.054,0.098
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.103,0.03,0.096,0.145,0.101
"P13","Juan Schiaretti por Juntos por el Cambio",0.015,0.017,0.296,0.049,0.106,0.091
"P13","Jose Luis Espert por Juntos por el Cambio",0.249,0.019,0.068,0.025,0.082,0.072
"P13","Javier Milei por la Libertad Avanza",0.05,0.263,0.52,0.009,0.084,0.075
"P13","Al candidato del Frente de Izquierda",0.019,0.002,0,0.437,0.013,0.011
"P13","En blanco",0.023,0.002,0.003,0.009,0.277,0.026
"P13","No sabe",0.07,0.015,0.008,0.059,0.1,0.402
"P16","Sergio Massa por el Frente de Todos",0.249,0.026,0.028,0.101,0.137,0.123
"P16","Wado de Pedro por el Frente de Todos",0.559,0.024,0.018,0.144,0.067,0.123
"P16","Daniel Scioli por el Frente de Todos",0.088,0.019,0.024,0.084,0.072,0.073
"P16","Patricia Bullrich por Juntos por el Cambio",0.022,0.735,0.11,0.037,0.112,0.141
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.124,0.058,0.136,0.236,0.133
"P16","Javier Milei por la Libertad Avanza",0.022,0.06,0.739,0.033,0.027,0.026
"P16","Al candidato del Frente de Izquierda",0.007,0.002,0.002,0.383,0.013,0.01
"P16","En blanco",0.007,0.001,0.008,0.007,0.237,0.008
"P16","No sabe",0.03,0.009,0.013,0.075,0.099,0.363
"P19","Sergio Massa por el Frente de Todos",0.23,0.032,0.028,0.085,0.125,0.169
"P19","Wado de Pedro por el Frente de Todos",0.61,0.029,0.03,0.167,0.087,0.151
"P19","Patricia Bullrich por Juntos por el Cambio",0.035,0.722,0.091,0.038,0.109,0.106
