"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.386,0.471,0.417,0.369,0.332,0.379,0.299,0.226
"P05","Bastante",0.324,0.38,0.354,0.347,0.347,0.316,0.215,0.232
"P05","Poco",0.166,0.105,0.162,0.182,0.158,0.233,0.238,0.229
"P05","Nada",0.086,0.026,0.055,0.084,0.125,0.058,0.235,0.184
"P05","No sabe",0.038,0.018,0.012,0.018,0.038,0.014,0.013,0.129
"P06","Siempre",0.344,0.288,0.305,0.276,0.225,0.206,0.203,0.188
"P06","Casi siempre",0.397,0.447,0.417,0.431,0.347,0.373,0.3,0.297
"P06","Casi nunca",0.175,0.178,0.213,0.213,0.287,0.328,0.292,0.279
"P06","Nunca, pero esta es una excepción",0.084,0.087,0.065,0.08,0.141,0.093,0.205,0.236
"P07","Del Frente de Todos y el peronismo",0.666,0.811,0.062,0.136,0.055,0.131,0.155,0.176
"P07","De Juntos por el Cambio",0.117,0.065,0.77,0.641,0.099,0.162,0.114,0.078
"P07","De los Liberales libertarios",0.073,0.038,0.1,0.087,0.711,0.232,0.088,0.052
"P07","De la Izquierda",0.024,0.032,0.011,0.013,0.028,0.37,0.189,0.028
"P07","No sabe",0.12,0.054,0.057,0.123,0.107,0.105,0.454,0.666
"P08","A Sergio Massa",0.618,0.163,0.265,0.26,0.216,0.402,0.086,0.156
"P08","A Daniel Scioli",0.109,0.068,0.188,0.215,0.193,0.126,0.086,0.191
"P08","A algún candidato del peronismo",0.093,0.112,0.229,0.186,0.314,0.188,0.35,0.3
"P08","A algún candidato del kirchnerismo",0.18,0.657,0.318,0.339,0.277,0.284,0.478,0.353
"P09","A Horacio Rodríguez Larreta",0.285,0.126,0.032,0.616,0.111,0.336,0.018,0.274
"P09","A Patricia Bullrich",0.511,0.435,0.922,0.213,0.622,0.264,0.369,0.342
"P09","A Facundo Manes",0.172,0.264,0.028,0.081,0.136,0.307,0.333,0.157
"P09","A Gerardo Morales",0.032,0.175,0.018,0.09,0.131,0.093,0.28,0.227
"P10","Sergio Massa por el Frente de Todos",0.474,0.405,0.035,0.311,0.015,0.058,0.032,0.045
"P10","Patricia Bullrich por Juntos por el Cambio",0.072,0.034,0.548,0.113,0.04,0.019,0.033,0.036
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.017,0.015,0.333,0.014,0.04,0.025,0.028
"P10","Juan Schiaretti por Juntos por el Cambio",0.047,0.027,0.015,0.036,0.296,0.122,0.068,0.08
"P10","Jose Luis Espert por Juntos por el Cambio",0.221,0.173,0.017,0.055,0.025,0.053,0.04,0.043
"P10","Javier Milei por la Libertad Avanza",0.086,0.037,0.338,0.065,0.571,0.254,0.047,0.041
"P10","Al candidato del Frente de Izquierda",0.011,0.057,0.006,0.021,0.003,0.322,0.169,0.009
"P10","En blanco",0.018,0.032,0.007,0.005,0.006,0.05,0.421,0.102
"P10","No sabe",0.053,0.218,0.019,0.061,0.03,0.082,0.165,0.616
"P13","Wado de Pedro por el Frente de Todos",0.371,0.558,0.063,0.254,0.033,0.025,0.039,0.044
"P13","Patricia Bullrich por Juntos por el Cambio",0.077,0.035,0.529,0.12,0.044,0.039,0.016,0.051
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.013,0.031,0.411,0.017,0.042,0.051,0.025
"P13","Juan Schiaretti por Juntos por el Cambio",0.056,0.019,0.011,0.048,0.298,0.064,0.072,0.065
"P13","Jose Luis Espert por Juntos por el Cambio",0.181,0.257,0.015,0.05,0.047,0.132,0.04,0.037
"P13","Javier Milei por la Libertad Avanza",0.073,0.044,0.322,0.059,0.541,0.272,0.033,0.032
"P13","Al candidato del Frente de Izquierda",0.022,0.021,0.006,0.002,0.001,0.356,0.167,0.007
"P13","En blanco",0.031,0.009,0.005,0.007,0.003,0.051,0.395,0.131
"P13","No sabe",0.14,0.044,0.018,0.049,0.016,0.019,0.187,0.608
"P16","Sergio Massa por el Frente de Todos",0.606,0.091,0.027,0.088,0.028,0.031,0.042,0.026
"P16","Wado de Pedro por el Frente de Todos",0.085,0.726,0.03,0.068,0.03,0.011,0.036,0.038
"P16","Daniel Scioli por el Frente de Todos",0.075,0.047,0.023,0.039,0.021,0.167,0.094,0.075
"P16","Patricia Bullrich por Juntos por el Cambio",0.08,0.04,0.789,0.113,0.105,0.019,0.049,0.031
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.028,0.029,0.605,0.03,0.114,0.027,0.016
"P16","Javier Milei por la Libertad Avanza",0.066,0.041,0.081,0.053,0.764,0.214,0.007,0.032
"P16","Al candidato del Frente de Izquierda",0.006,0.005,0.002,0.001,0,0.355,0.201,0.006
"P16","En blanco",0.004,0.007,0.003,0.011,0.009,0.02,0.439,0.11
"P16","No sabe",0.037,0.015,0.016,0.022,0.013,0.069,0.105,0.666
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.702,0.726,0.058,0.077,0.063,0.056,0.162,0.119
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.09,0.057,0.785,0.234,0.091,0.029,0.03,0.043
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.055,0.049,0.046,0.471,0.029,0.076,0.11,0.1
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.018,0.016,0.021,0.073,0.029,0.034,0.048,0.018
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.093,0.033,0.064,0.067,0.762,0.246,0.019,0.027
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.006,0.023,0.001,0.006,0.016,0.52,0.051,0.017
"P22","En blanco",0.008,0.026,0.008,0.011,0.004,0.01,0.446,0.045
"P22","No sabe",0.028,0.07,0.017,0.061,0.006,0.029,0.134,0.631
"P25","Sergio Massa por el Frente de Todos",0.629,0.452,0.06,0.086,0.049,0.089,0.018,0.058
"P25","Daniel Scioli por el Frente de Todos",0.113,0.196,0.039,0.081,0.038,0.06,0.105,0.087
"P25","Patricia Bullrich por Juntos por el Cambio",0.1,0.058,0.797,0.14,0.068,0.06,0.021,0.032
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.037,0.036,0.573,0.028,0.055,0.065,0.029
"P25","Javier Milei por la Libertad Avanza",0.035,0.043,0.048,0.055,0.777,0.149,0.057,0.023
"P25","Al candidato del Frente de Izquierda",0.01,0.053,0.001,0.011,0.008,0.515,0.074,0.02
"P25","En blanco",0.008,0.045,0.005,0.003,0.007,0.057,0.511,0.067
"P25","No sabe",0.037,0.116,0.014,0.051,0.025,0.015,0.149,0.684
"P26","Wado de Pedro por el Frente de Todos",0.437,0.768,0.033,0.062,0.031,0.075,0.042,0.072
"P26","Daniel Scioli por el Frente de Todos",0.228,0.096,0.02,0.052,0.023,0.082,0.107,0.094
"P26","Patricia Bullrich por Juntos por el Cambio",0.083,0.043,0.86,0.143,0.072,0.023,0.023,0.022
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.027,0.022,0.643,0.01,0.035,0.043,0.017
"P26","Javier Milei por la Libertad Avanza",0.073,0.026,0.042,0.054,0.833,0.248,0.061,0.041
"P26","Al candidato del Frente de Izquierda",0.02,0.01,0,0.005,0.002,0.469,0.076,0.006
"P26","En blanco",0.022,0.012,0.006,0.005,0.002,0.058,0.556,0.057
"P26","No sabe",0.1,0.018,0.017,0.036,0.027,0.01,0.092,0.691
"P27","Sergio Massa por el Frente de Todos",0.698,0.661,0.038,0.089,0.039,0.024,0.03,0.072
"P27","Patricia Bullrich por Juntos por el Cambio",0.081,0.043,0.817,0.135,0.087,0.061,0.043,0.031
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.026,0.077,0.633,0.017,0.056,0.014,0.014
"P27","Javier Milei por la Libertad Avanza",0.076,0.033,0.045,0.072,0.786,0.234,0.068,0.051
"P27","Al candidato del Frente de Izquierda",0.035,0.058,0.007,0.025,0.049,0.468,0.075,0.011
"P27","En blanco",0.012,0.043,0.004,0.007,0.005,0.133,0.488,0.068
"P27","No sabe",0.039,0.136,0.012,0.039,0.017,0.024,0.282,0.753
"P28","Wado de Pedro por el Frente de Todos",0.535,0.862,0.035,0.089,0.036,0.113,0.046,0.092
"P28","Patricia Bullrich por Juntos por el Cambio",0.117,0.038,0.863,0.124,0.095,0.026,0.018,0.037
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.061,0.018,0.03,0.623,0.007,0.044,0.042,0.022
"P28","Javier Milei por la Libertad Avanza",0.08,0.028,0.047,0.057,0.812,0.283,0.024,0.044
"P28","Al candidato del Frente de Izquierda",0.025,0.024,0.004,0.019,0.018,0.319,0.096,0.005
"P28","En blanco",0.047,0.004,0.005,0.009,0.013,0.201,0.525,0.1
"P28","No sabe",0.135,0.026,0.016,0.079,0.019,0.014,0.249,0.7
"P29","Axel Kicillof por el Frente de Todos",0.585,0.826,0.04,0.093,0.041,0.118,0.083,0.153
"P29","Patricia Bullrich por Juntos por el Cambio",0.092,0.041,0.878,0.151,0.077,0.016,0.036,0.038
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.023,0.028,0.667,0.011,0.064,0.023,0.039
"P29","Javier Milei por la Libertad Avanza",0.094,0.034,0.033,0.035,0.843,0.351,0.067,0.049
"P29","Al candidato del Frente de Izquierda",0.018,0.021,0.006,0.011,0.009,0.31,0.071,0.008
"P29","En blanco",0.026,0.007,0.005,0.016,0.008,0.101,0.546,0.102
"P29","No sabe",0.129,0.048,0.01,0.027,0.011,0.04,0.174,0.611
"P30","Sergio Massa  por el Frente de Todos",0.768,0.698,0.044,0.084,0.042,0.074,0.05,0.144
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.063,0.04,0.34,0.735,0.045,0.068,0.037,0.04
"P30","Javier Milei por la Libertad Avanza",0.079,0.037,0.256,0.072,0.859,0.366,0.059,0.055
"P30","Al candidato del Frente de Izquierda",0.015,0.069,0.011,0.007,0.014,0.394,0.119,0.008
"P30","En blanco",0.037,0.044,0.095,0.027,0.005,0.045,0.551,0.092
"P30","No sabe",0.038,0.112,0.254,0.075,0.035,0.053,0.184,0.661
"P31","Sergio Massa  por el Frente de Todos",0.794,0.704,0.039,0.11,0.04,0.085,0.05,0.122
"P31","Patricia Bullrich por Juntos por el Cambio",0.065,0.041,0.828,0.544,0.087,0.069,0.052,0.052
"P31","Javier Milei por la Libertad Avanza",0.062,0.034,0.074,0.084,0.823,0.378,0.033,0.041
"P31","Al candidato del Frente de Izquierda",0.005,0.073,0.004,0.017,0.011,0.381,0.084,0.004
"P31","En blanco",0.032,0.044,0.014,0.095,0.011,0.018,0.64,0.117
"P31","No sabe",0.042,0.104,0.041,0.15,0.028,0.069,0.141,0.664
"P32","Wado de Pedro por el Frente de Todos",0.555,0.886,0.028,0.094,0.03,0.071,0.076,0.124
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.042,0.4,0.749,0.046,0.052,0.04,0.043
"P32","Javier Milei por la Libertad Avanza",0.114,0.023,0.27,0.055,0.877,0.476,0.035,0.046
"P32","Al candidato del Frente de Izquierda",0.017,0.01,0.003,0.023,0.005,0.339,0.085,0.003
"P32","En blanco",0.076,0.009,0.102,0.03,0.012,0.056,0.616,0.153
"P32","No sabe",0.131,0.03,0.197,0.049,0.03,0.006,0.148,0.631
"P33","Wado de Pedro por el Frente de Todos",0.595,0.888,0.027,0.093,0.03,0.116,0.078,0.143
"P33","Patricia Bullrich por Juntos por el Cambio",0.106,0.041,0.864,0.541,0.089,0.054,0.058,0.039
"P33","Javier Milei por la Libertad Avanza",0.1,0.018,0.065,0.073,0.831,0.442,0.042,0.06
"P33","Al candidato del Frente de Izquierda",0.007,0.021,0.001,0.031,0.005,0.324,0.086,0.006
"P33","En blanco",0.063,0.007,0.017,0.119,0.018,0.047,0.63,0.118
"P33","No sabe",0.129,0.025,0.026,0.143,0.027,0.017,0.106,0.634
"P34","Daniel Scioli por el Frente de Todos",0.567,0.622,0.033,0.107,0.044,0.124,0.145,0.214
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.088,0.049,0.413,0.753,0.042,0.053,0.04,0.051
"P34","Javier Milei por la Libertad Avanza",0.099,0.036,0.271,0.027,0.863,0.44,0.041,0.077
"P34","Al candidato del Frente de Izquierda",0.024,0.072,0.007,0.032,0.01,0.344,0.089,0.013
"P34","En blanco",0.084,0.076,0.097,0.026,0.014,0.023,0.622,0.109
"P34","No sabe",0.138,0.145,0.179,0.055,0.027,0.016,0.063,0.536
"P35","Daniel Scioli por el Frente de Todos",0.593,0.615,0.034,0.097,0.047,0.165,0.203,0.193
"P35","Patricia Bullrich por Juntos por el Cambio",0.095,0.048,0.846,0.577,0.087,0.071,0.064,0.043
"P35","Javier Milei por la Libertad Avanza",0.061,0.032,0.076,0.069,0.826,0.38,0.033,0.078
"P35","Al candidato del Frente de Izquierda",0.043,0.083,0.003,0.028,0.005,0.33,0.116,0.012
"P35","En blanco",0.064,0.08,0.022,0.084,0.009,0.021,0.536,0.097
"P35","No sabe",0.144,0.142,0.019,0.145,0.026,0.033,0.048,0.577
"P36","Axel Kicillof por el Frente de Todos",0.611,0.817,0.035,0.073,0.046,0.131,0.118,0.208
