"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P13","Jose Luis Espert por Juntos por el Cambio",0.263,0.019,0.049,0.071,0.064,0.036
"P13","Javier Milei por la Libertad Avanza",0.048,0.189,0.485,0.026,0.204,0.134
"P13","Al candidato del Frente de Izquierda",0.02,0.003,0,0.512,0.024,0.016
"P13","En blanco",0.014,0.004,0.004,0.005,0.23,0.027
"P13","No sabe",0.054,0.019,0.013,0.062,0.094,0.299
"P16","Sergio Massa por el Frente de Todos",0.247,0.041,0.024,0.179,0.13,0.075
"P16","Wado de Pedro por el Frente de Todos",0.601,0.028,0.017,0.067,0.032,0.043
"P16","Daniel Scioli por el Frente de Todos",0.067,0.027,0.027,0.099,0.075,0.049
"P16","Patricia Bullrich por Juntos por el Cambio",0.019,0.554,0.248,0.095,0.43,0.471
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.277,0.044,0.008,0.015,0.032
"P16","Javier Milei por la Libertad Avanza",0.022,0.046,0.621,0.025,0.022,0.04
"P16","Al candidato del Frente de Izquierda",0.008,0.001,0.003,0.468,0.022,0.01
"P16","En blanco",0.007,0.003,0.004,0.017,0.173,0.015
"P16","No sabe",0.017,0.023,0.012,0.042,0.101,0.265
"P19","Sergio Massa por el Frente de Todos",0.215,0.053,0.039,0.093,0.122,0.111
"P19","Wado de Pedro por el Frente de Todos",0.665,0.04,0.015,0.108,0.027,0.049
"P19","Patricia Bullrich por Juntos por el Cambio",0.029,0.535,0.253,0.045,0.439,0.452
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.303,0.016,0.105,0.039,0.034
"P19","Javier Milei por la Libertad Avanza",0.023,0.047,0.622,0.053,0.038,0.053
"P19","Al candidato del Frente de Izquierda",0.007,0.007,0.045,0.5,0.024,0.001
"P19","En blanco",0.006,0.004,0.002,0.087,0.185,0.023
"P19","No sabe",0.025,0.011,0.008,0.009,0.126,0.277
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.809,0.063,0.031,0.241,0.122,0.147
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.033,0.573,0.265,0.092,0.43,0.448
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.025,0.251,0.035,0.06,0.064,0.078
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.011,0.043,0.021,0.045,0.046,0.03
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.024,0.04,0.616,0,0.022,0.035
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.025,0.001,0.021,0.522,0.024,0.004
"P22","En blanco",0.017,0.014,0.002,0.011,0.173,0.01
"P22","No sabe",0.056,0.015,0.009,0.029,0.119,0.248
"P25","Sergio Massa por el Frente de Todos",0.558,0.073,0.044,0.093,0.107,0.123
"P25","Daniel Scioli por el Frente de Todos",0.165,0.062,0.036,0.225,0.113,0.061
"P25","Patricia Bullrich por Juntos por el Cambio",0.053,0.534,0.243,0.044,0.402,0.444
