"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Juan Schiaretti por Juntos por el Cambio","Jose Luis Espert por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.465,0.393,0.35,0.317,0.443,0.358,0.409,0.299,0.24
"P05","Bastante",0.367,0.38,0.339,0.327,0.356,0.315,0.296,0.221,0.237
"P05","Poco",0.123,0.16,0.205,0.182,0.117,0.178,0.186,0.193,0.227
"P05","Nada",0.033,0.051,0.09,0.129,0.066,0.109,0.094,0.25,0.181
"P05","No sabe",0.012,0.016,0.016,0.045,0.018,0.04,0.015,0.037,0.115
"P06","Siempre",0.321,0.303,0.235,0.221,0.27,0.238,0.258,0.195,0.193
"P06","Casi siempre",0.426,0.403,0.425,0.357,0.443,0.354,0.366,0.315,0.305
"P06","Casi nunca",0.173,0.229,0.266,0.304,0.187,0.263,0.275,0.278,0.272
"P06","Nunca, pero esta es una excepción",0.08,0.065,0.074,0.118,0.1,0.145,0.101,0.212,0.23
"P07","Del Frente de Todos y el peronismo",0.719,0.065,0.083,0.089,0.669,0.079,0.237,0.267,0.259
"P07","De Juntos por el Cambio",0.163,0.762,0.669,0.077,0.095,0.335,0.042,0.128,0.075
"P07","De los Liberales libertarios",0.042,0.078,0.094,0.619,0.123,0.465,0.011,0.038,0.046
"P07","De la Izquierda",0.021,0.01,0.021,0.026,0.026,0.032,0.61,0.024,0.038
"P07","No sabe",0.055,0.085,0.133,0.189,0.087,0.089,0.1,0.543,0.582
"P08","A Sergio Massa",0.255,0.284,0.427,0.414,0.294,0.314,0.336,0.392,0.319
"P08","A Daniel Scioli",0.087,0.248,0.145,0.062,0.072,0.213,0.159,0.211,0.134
"P08","A algún candidato del peronismo",0.105,0.239,0.353,0.333,0.131,0.274,0.108,0.21,0.171
"P08","A algún candidato del kirchnerismo",0.553,0.229,0.075,0.191,0.503,0.199,0.397,0.187,0.376
"P09","A Horacio Rodríguez Larreta",0.374,0.034,0.614,0.196,0.239,0.039,0,0.137,0.267
"P09","A Patricia Bullrich",0.448,0.913,0.211,0.398,0.368,0.888,0.199,0.328,0.229
"P09","A Facundo Manes",0.13,0.03,0.08,0.113,0.248,0.039,0.522,0.339,0.329
