"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P27","En blanco",0.012,0.013,0.042,0.044
"P27","No sabe",0.006,0.025,0.11,0.184
"P28","Wado de Pedro por el Frente de Todos",0.016,0.062,0.519,0.211
"P28","Patricia Bullrich por Juntos por el Cambio",0.237,0.714,0.215,0.397
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.084,0.075,0.124
"P28","Javier Milei por la Libertad Avanza",0.667,0.082,0.038,0.02
"P28","Al candidato del Frente de Izquierda",0.014,0.008,0.037,0.023
"P28","En blanco",0.014,0.016,0.042,0.042
"P28","No sabe",0.003,0.034,0.074,0.183
"P29","Axel Kicillof por el Frente de Todos",0.03,0.05,0.536,0.192
"P29","Patricia Bullrich por Juntos por el Cambio",0.229,0.719,0.213,0.405
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.083,0.082,0.115
"P29","Javier Milei por la Libertad Avanza",0.67,0.098,0.036,0.02
"P29","Al candidato del Frente de Izquierda",0.007,0.009,0.033,0.002
"P29","En blanco",0.007,0.017,0.032,0.048
"P29","No sabe",0.008,0.024,0.068,0.218
"P30","Sergio Massa  por el Frente de Todos",0.029,0.072,0.481,0.212
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.112,0.334,0.169,0.22
"P30","Javier Milei por la Libertad Avanza",0.795,0.334,0.051,0.052
"P30","Al candidato del Frente de Izquierda",0.008,0.011,0.062,0.002
"P30","En blanco",0.01,0.053,0.083,0.064
"P30","No sabe",0.046,0.196,0.154,0.45
"P31","Sergio Massa  por el Frente de Todos",0.036,0.078,0.499,0.202
"P31","Patricia Bullrich por Juntos por el Cambio",0.231,0.718,0.234,0.425
"P31","Javier Milei por la Libertad Avanza",0.704,0.108,0.042,0.024
"P31","Al candidato del Frente de Izquierda",0.002,0.006,0.062,0.023
"P31","En blanco",0.005,0.027,0.063,0.019
"P31","No sabe",0.022,0.063,0.1,0.307
"P32","Wado de Pedro por el Frente de Todos",0.017,0.052,0.532,0.194
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.14,0.373,0.189,0.216
"P32","Javier Milei por la Libertad Avanza",0.793,0.374,0.054,0.028
