"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.372,0.359,0.384,0.366,0.321,0.402,0.437,0.35,0.366,0.398,0.379,0.382,0.344,0.363,0.372,0.389,0.347
"Daniel Scioli por el Frente de Todos",0.278,0.263,0.292,0.229,0.292,0.311,0.254,0.28,0.27,0.286,0.251,0.251,0.34,0.308,0.289,0.298,0.255
"En blanco",0.199,0.252,0.149,0.267,0.237,0.164,0.106,0.182,0.214,0.197,0.204,0.213,0.2,0.188,0.197,0.192,0.194
"No sabe",0.151,0.126,0.175,0.138,0.15,0.123,0.203,0.188,0.15,0.119,0.166,0.154,0.116,0.141,0.142,0.121,0.204
