"var","categoria","Axel Kicillof por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.463,0.413,0.391,0.349,0.368,0.292
"P05","Bastante",0.394,0.386,0.377,0.381,0.322,0.32
"P05","Poco",0.11,0.142,0.131,0.147,0.16,0.233
"P05","Nada",0.01,0.046,0.08,0.117,0.114,0.083
"P05","No sabe",0.023,0.013,0.021,0.006,0.036,0.072
"P06","Siempre",0.344,0.317,0.251,0.338,0.273,0.308
"P06","Casi siempre",0.449,0.459,0.373,0.422,0.415,0.379
"P06","Casi nunca",0.142,0.171,0.278,0.173,0.198,0.205
"P06","Nunca, pero esta es una excepción",0.065,0.053,0.098,0.067,0.114,0.108
"P07","Del Frente de Todos y el peronismo",0.85,0.078,0.04,0.154,0.172,0.197
"P07","De Juntos por el Cambio",0.051,0.8,0.254,0.299,0.495,0.438
"P07","De los Liberales libertarios",0.034,0.045,0.622,0.043,0.062,0.037
"P07","De la Izquierda",0.018,0.014,0.018,0.457,0.045,0.022
"P07","No sabe",0.047,0.063,0.066,0.047,0.226,0.306
"P08","A Sergio Massa",0.294,0.217,0.21,0.128,0.527,0.414
"P08","A Daniel Scioli",0.073,0.246,0.32,0.119,0.14,0.195
"P08","A algún candidato del peronismo",0.087,0.423,0.339,0.222,0.178,0.173
"P08","A algún candidato del kirchnerismo",0.546,0.114,0.131,0.531,0.155,0.218
"P09","A Horacio Rodríguez Larreta",0.331,0.23,0.03,0.057,0.042,0.021
"P09","A Patricia Bullrich",0.142,0.648,0.916,0.535,0.812,0.912
"P09","A Facundo Manes",0.418,0.06,0.024,0.058,0.106,0.015
"P09","A Gerardo Morales",0.109,0.062,0.03,0.35,0.04,0.052
"P10","Sergio Massa por el Frente de Todos",0.446,0.126,0.013,0.143,0.078,0.109
"P10","Patricia Bullrich por Juntos por el Cambio",0.029,0.41,0.168,0.062,0.321,0.327
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.165,0.01,0.012,0.039,0.014
"P10","Juan Schiaretti por Juntos por el Cambio",0.014,0.021,0.253,0.04,0.036,0.046
"P10","Jose Luis Espert por Juntos por el Cambio",0.246,0.037,0.016,0.083,0.017,0.035
"P10","Javier Milei por la Libertad Avanza",0.017,0.202,0.524,0.062,0.219,0.18
"P10","Al candidato del Frente de Izquierda",0.044,0.006,0.001,0.515,0.014,0.015
"P10","En blanco",0.032,0.005,0.004,0.003,0.165,0.028
"P10","No sabe",0.166,0.028,0.011,0.08,0.111,0.246
"P13","Wado de Pedro por el Frente de Todos",0.535,0.146,0.033,0.19,0.094,0.12
"P13","Patricia Bullrich por Juntos por el Cambio",0.03,0.376,0.145,0.058,0.265,0.335
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.212,0.024,0.003,0.017,0.02
"P13","Juan Schiaretti por Juntos por el Cambio",0.013,0.022,0.239,0.05,0.041,0.057
"P13","Jose Luis Espert por Juntos por el Cambio",0.253,0.03,0.05,0.148,0.038,0.037
"P13","Javier Milei por la Libertad Avanza",0.049,0.193,0.498,0.058,0.215,0.123
"P13","Al candidato del Frente de Izquierda",0.022,0.003,0,0.451,0.024,0.007
"P13","En blanco",0.022,0.002,0.002,0.008,0.209,0.021
"P13","No sabe",0.066,0.016,0.009,0.034,0.097,0.28
"P16","Sergio Massa por el Frente de Todos",0.254,0.039,0.021,0.151,0.101,0.093
"P16","Wado de Pedro por el Frente de Todos",0.564,0.029,0.018,0.126,0.077,0.095
"P16","Daniel Scioli por el Frente de Todos",0.09,0.023,0.02,0.058,0.084,0.043
"P16","Patricia Bullrich por Juntos por el Cambio",0.02,0.559,0.274,0.121,0.457,0.456
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.278,0.035,0.013,0.029,0.014
"P16","Javier Milei por la Libertad Avanza",0.023,0.048,0.613,0.04,0.025,0.016
"P16","Al candidato del Frente de Izquierda",0.006,0,0.002,0.429,0.008,0.007
"P16","En blanco",0.008,0.002,0.005,0.007,0.17,0.007
"P16","No sabe",0.019,0.022,0.012,0.055,0.049,0.269
"P19","Sergio Massa por el Frente de Todos",0.23,0.044,0.03,0.082,0.092,0.123
"P19","Wado de Pedro por el Frente de Todos",0.614,0.042,0.025,0.204,0.088,0.099
"P19","Patricia Bullrich por Juntos por el Cambio",0.037,0.547,0.26,0.044,0.459,0.434
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.306,0.014,0.059,0.045,0.033
"P19","Javier Milei por la Libertad Avanza",0.037,0.037,0.616,0.082,0.041,0.044
"P19","Al candidato del Frente de Izquierda",0.014,0.009,0.039,0.42,0.013,0.005
"P19","En blanco",0.008,0.003,0.002,0.088,0.182,0.018
"P19","No sabe",0.037,0.012,0.014,0.021,0.08,0.244
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.784,0.05,0.037,0.222,0.163,0.177
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.05,0.575,0.281,0.214,0.413,0.427
