"var","categoria","Sergio Massa por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.088,0.204,0.756,0.217,0.072,0.014,0.037,0.045
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.028,0.052,0.056,0.468,0.044,0.016,0.076,0.102
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.005,0.046,0.026,0.058,0.03,0.015,0.063,0.015
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.07,0.07,0.063,0.122,0.774,0.054,0.052,0.037
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.005,0.017,0.001,0.005,0.013,0.649,0.012,0.002
"P22","En blanco",0.004,0.022,0.005,0.025,0.005,0.02,0.428,0.023
"P22","No sabe",0.019,0.061,0.013,0.03,0.003,0.035,0.174,0.573
"P26","Wado de Pedro por el Frente de Todos",0.711,0.319,0.028,0.052,0.03,0.306,0.228,0.258
"P26","Daniel Scioli por el Frente de Todos",0.097,0.461,0.008,0.024,0.012,0.013,0.016,0.027
"P26","Patricia Bullrich por Juntos por el Cambio",0.05,0.103,0.889,0.127,0.043,0.011,0.018,0.03
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.016,0.027,0.673,0.014,0.003,0.008,0.012
"P26","Javier Milei por la Libertad Avanza",0.051,0.065,0.035,0.085,0.878,0.047,0.061,0.048
"P26","Al candidato del Frente de Izquierda",0.007,0.004,0.001,0.005,0.002,0.539,0.012,0.005
"P26","En blanco",0.013,0.002,0.004,0.002,0.001,0.04,0.589,0.028
"P26","No sabe",0.054,0.03,0.008,0.032,0.02,0.041,0.068,0.592
"P27","Sergio Massa por el Frente de Todos",0.817,0.475,0.04,0.046,0.029,0.09,0.044,0.084
"P27","Patricia Bullrich por Juntos por el Cambio",0.064,0.186,0.816,0.126,0.047,0.033,0.044,0.036
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.058,0.084,0.617,0.019,0.032,0.003,0.01
"P27","Javier Milei por la Libertad Avanza",0.032,0.065,0.042,0.093,0.847,0.045,0.064,0.059
"P27","Al candidato del Frente de Izquierda",0.025,0.057,0.003,0.067,0.042,0.581,0.031,0.025
"P27","En blanco",0.004,0.051,0.005,0.013,0.005,0.154,0.512,0.038
"P27","No sabe",0.029,0.108,0.01,0.038,0.011,0.065,0.302,0.748
"P28","Wado de Pedro por el Frente de Todos",0.735,0.528,0.043,0.075,0.035,0.315,0.303,0.287
"P28","Patricia Bullrich por Juntos por el Cambio",0.083,0.175,0.851,0.141,0.052,0.03,0.034,0.044
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.028,0.043,0.618,0.019,0.007,0.006,0.015
"P28","Javier Milei por la Libertad Avanza",0.053,0.082,0.045,0.089,0.849,0.04,0.025,0.053
"P28","Al candidato del Frente de Izquierda",0.009,0.031,0.004,0.023,0.022,0.4,0.014,0.013
"P28","En blanco",0.026,0.066,0.004,0.011,0.005,0.188,0.403,0.037
"P28","No sabe",0.072,0.09,0.01,0.043,0.018,0.02,0.215,0.551
"P29","Axel Kicillof por el Frente de Todos",0.747,0.601,0.039,0.065,0.037,0.357,0.29,0.286
