"var","categoria","Patricia Bullrich por Juntos por el Cambio","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.42,0.449,0.408,0.309
"P05","Bastante",0.383,0.38,0.364,0.376
"P05","Poco",0.133,0.125,0.123,0.163
"P05","Nada",0.048,0.027,0.084,0.093
"P05","No sabe",0.016,0.019,0.021,0.059
"P06","Siempre",0.305,0.327,0.299,0.271
"P06","Casi siempre",0.441,0.454,0.356,0.375
"P06","Casi nunca",0.201,0.158,0.214,0.223
"P06","Nunca, pero esta es una excepción",0.053,0.061,0.131,0.131
"P07","Del Frente de Todos y el peronismo",0.044,0.776,0.283,0.344
"P07","De Juntos por el Cambio",0.61,0.071,0.098,0.139
"P07","De los Liberales libertarios",0.289,0.064,0.344,0.166
"P07","De la Izquierda",0.009,0.029,0.113,0.052
"P07","No sabe",0.048,0.06,0.162,0.299
"P08","A Sergio Massa",0.181,0.286,0.353,0.348
"P08","A Daniel Scioli",0.244,0.109,0.065,0.006
"P08","A algún candidato del peronismo",0.395,0.094,0.136,0.141
"P08","A algún candidato del kirchnerismo",0.18,0.511,0.446,0.505
"P09","A Horacio Rodríguez Larreta",0.113,0.259,0.368,0.465
"P09","A Patricia Bullrich",0.814,0.111,0.187,0.362
"P09","A Facundo Manes",0.035,0.359,0.251,0.133
"P09","A Gerardo Morales",0.038,0.271,0.194,0.04
"P10","Sergio Massa por el Frente de Todos",0.043,0.432,0.121,0.189
"P10","Patricia Bullrich por Juntos por el Cambio",0.375,0.028,0.023,0.018
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.062,0.012,0.062,0.051
"P10","Juan Schiaretti por Juntos por el Cambio",0.105,0.031,0.151,0.153
"P10","Jose Luis Espert por Juntos por el Cambio",0.023,0.234,0.043,0.077
"P10","Javier Milei por la Libertad Avanza",0.37,0.038,0.273,0.152
"P10","Al candidato del Frente de Izquierda",0.003,0.047,0.126,0.022
"P10","En blanco",0.004,0.031,0.097,0.025
"P10","No sabe",0.015,0.147,0.104,0.313
"P13","Wado de Pedro por el Frente de Todos",0.081,0.492,0.174,0.227
"P13","Patricia Bullrich por Juntos por el Cambio",0.343,0.031,0.024,0.039
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.08,0.018,0.051,0.064
"P13","Juan Schiaretti por Juntos por el Cambio",0.107,0.024,0.146,0.16
"P13","Jose Luis Espert por Juntos por el Cambio",0.036,0.232,0.097,0.102
