"var","categoria","Javier Milei por los liberales libertarios","Wado de Pedro  por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.402,0.466,0.454,0.311
"P05","Bastante",0.39,0.404,0.348,0.334
"P05","Poco",0.128,0.098,0.123,0.22
"P05","Nada",0.064,0.017,0.056,0.069
"P05","No sabe",0.016,0.015,0.019,0.066
"P06","Siempre",0.27,0.332,0.317,0.337
"P06","Casi siempre",0.405,0.476,0.449,0.413
"P06","Casi nunca",0.244,0.145,0.175,0.151
"P06","Nunca, pero esta es una excepción",0.081,0.047,0.059,0.099
"P07","Del Frente de Todos y el peronismo",0.051,0.8,0.093,0.117
"P07","De Juntos por el Cambio",0.402,0.076,0.668,0.593
"P07","De los Liberales libertarios",0.481,0.037,0.036,0.051
"P07","De la Izquierda",0.014,0.038,0.077,0.01
"P07","No sabe",0.052,0.049,0.126,0.229
"P08","A Sergio Massa",0.242,0.297,0.243,0.223
"P08","A Daniel Scioli",0.26,0.085,0.11,0.152
"P08","A algún candidato del peronismo",0.337,0.094,0.447,0.248
"P08","A algún candidato del kirchnerismo",0.161,0.524,0.2,0.377
"P09","A Horacio Rodríguez Larreta",0.096,0.315,0.153,0.12
"P09","A Patricia Bullrich",0.837,0.204,0.694,0.773
"P09","A Facundo Manes",0.024,0.342,0.087,0.065
"P09","A Gerardo Morales",0.043,0.139,0.066,0.042
"P10","Sergio Massa por el Frente de Todos",0.018,0.438,0.095,0.107
"P10","Patricia Bullrich por Juntos por el Cambio",0.257,0.019,0.353,0.32
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.012,0.103,0.093
"P10","Juan Schiaretti por Juntos por el Cambio",0.191,0.022,0.047,0.026
"P10","Jose Luis Espert por Juntos por el Cambio",0.017,0.22,0.039,0.056
"P10","Javier Milei por la Libertad Avanza",0.455,0.021,0.166,0.211
"P10","Al candidato del Frente de Izquierda",0.005,0.07,0.053,0.002
"P10","En blanco",0.007,0.028,0.079,0.027
"P10","No sabe",0.016,0.17,0.065,0.158
"P13","Wado de Pedro por el Frente de Todos",0.063,0.532,0.079,0.141
"P13","Patricia Bullrich por Juntos por el Cambio",0.216,0.021,0.308,0.364
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.017,0.13,0.108
"P13","Juan Schiaretti por Juntos por el Cambio",0.186,0.021,0.044,0.026
"P13","Jose Luis Espert por Juntos por el Cambio",0.038,0.251,0.02,0.019
"P13","Javier Milei por la Libertad Avanza",0.428,0.051,0.199,0.135
"P13","Al candidato del Frente de Izquierda",0.001,0.039,0.055,0.002
"P13","En blanco",0.005,0.017,0.102,0.012
"P13","No sabe",0.013,0.051,0.063,0.193
"P16","Sergio Massa por el Frente de Todos",0.021,0.242,0.059,0.056
"P16","Wado de Pedro por el Frente de Todos",0.014,0.563,0.033,0.028
"P16","Daniel Scioli por el Frente de Todos",0.025,0.065,0.063,0.049
"P16","Patricia Bullrich por Juntos por el Cambio",0.387,0.032,0.469,0.509
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.083,0.024,0.185,0.123
"P16","Javier Milei por la Libertad Avanza",0.451,0.024,0.025,0.028
"P16","Al candidato del Frente de Izquierda",0.003,0.021,0.048,0.003
"P16","En blanco",0.008,0.006,0.08,0.011
"P16","No sabe",0.008,0.023,0.038,0.193
"P19","Sergio Massa por el Frente de Todos",0.024,0.223,0.067,0.088
