"var","categoria","Javier Milei por los liberales libertarios","Sergio Massa por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.406,0.462,0.441,0.333
"P05","Bastante",0.402,0.373,0.365,0.346
"P05","Poco",0.124,0.11,0.11,0.219
"P05","Nada",0.059,0.029,0.055,0.056
"P05","No sabe",0.009,0.026,0.029,0.046
"P06","Siempre",0.27,0.316,0.321,0.377
"P06","Casi siempre",0.408,0.473,0.424,0.43
"P06","Casi nunca",0.24,0.153,0.191,0.129
"P06","Nunca, pero esta es una excepción",0.082,0.058,0.064,0.064
"P07","Del Frente de Todos y el peronismo",0.052,0.718,0.218,0.159
"P07","De Juntos por el Cambio",0.428,0.102,0.512,0.584
"P07","De los Liberales libertarios",0.457,0.091,0.062,0.034
"P07","De la Izquierda",0.015,0.026,0.09,0.009
"P07","No sabe",0.048,0.063,0.118,0.214
"P08","A Sergio Massa",0.192,0.307,0.295,0.151
"P08","A Daniel Scioli",0.249,0.091,0.079,0.103
"P08","A algún candidato del peronismo",0.334,0.09,0.214,0.279
"P08","A algún candidato del kirchnerismo",0.225,0.512,0.412,0.467
"P09","A Horacio Rodríguez Larreta",0.091,0.313,0.137,0.136
"P09","A Patricia Bullrich",0.85,0.267,0.701,0.758
"P09","A Facundo Manes",0.028,0.22,0.105,0.062
"P09","A Gerardo Morales",0.031,0.2,0.057,0.044
"P10","Sergio Massa por el Frente de Todos",0.019,0.409,0.141,0.106
"P10","Patricia Bullrich por Juntos por el Cambio",0.275,0.029,0.271,0.322
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.018,0.094,0.083
"P10","Juan Schiaretti por Juntos por el Cambio",0.178,0.046,0.039,0.036
"P10","Jose Luis Espert por Juntos por el Cambio",0.027,0.216,0.046,0.018
"P10","Javier Milei por la Libertad Avanza",0.443,0.077,0.138,0.192
"P10","Al candidato del Frente de Izquierda",0.005,0.052,0.074,0.011
"P10","En blanco",0.007,0.019,0.091,0.017
"P10","No sabe",0.011,0.134,0.106,0.215
"P13","Wado de Pedro por el Frente de Todos",0.062,0.467,0.178,0.189
"P13","Patricia Bullrich por Juntos por el Cambio",0.239,0.031,0.236,0.34
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.052,0.023,0.116,0.09
"P13","Juan Schiaretti por Juntos por el Cambio",0.177,0.051,0.03,0.026
"P13","Jose Luis Espert por Juntos por el Cambio",0.037,0.218,0.077,0.034
