"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","En blanco","No sabe"
"P05","Mucho",0.437,0.364,0.481,0.328
"P05","Bastante",0.374,0.395,0.378,0.385
"P05","Poco",0.141,0.119,0.107,0.169
"P05","Nada",0.034,0.102,0.019,0.051
"P05","No sabe",0.014,0.02,0.015,0.067
"P06","Siempre",0.335,0.232,0.33,0.32
"P06","Casi siempre",0.446,0.398,0.459,0.42
"P06","Casi nunca",0.162,0.284,0.156,0.153
"P06","Nunca, pero esta es una excepción",0.057,0.086,0.055,0.107
"P07","Del Frente de Todos y el peronismo",0.071,0.085,0.716,0.587
"P07","De Juntos por el Cambio",0.77,0.131,0.085,0.123
"P07","De los Liberales libertarios",0.09,0.709,0.039,0.048
"P07","De la Izquierda",0.01,0.014,0.075,0.019
"P07","No sabe",0.059,0.061,0.085,0.223
"P08","A Sergio Massa",0.245,0.462,0.281,0.258
"P08","A Daniel Scioli",0.177,0.111,0.087,0.11
"P08","A algún candidato del peronismo",0.379,0.183,0.092,0.134
"P08","A algún candidato del kirchnerismo",0.199,0.244,0.54,0.498
"P09","A Horacio Rodríguez Larreta",0.121,0.135,0.245,0.184
"P09","A Patricia Bullrich",0.803,0.647,0.198,0.682
"P09","A Facundo Manes",0.042,0.062,0.39,0.086
"P09","A Gerardo Morales",0.034,0.156,0.167,0.048
"P10","Sergio Massa por el Frente de Todos",0.062,0.038,0.413,0.277
"P10","Patricia Bullrich por Juntos por el Cambio",0.473,0.052,0.02,0.063
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.079,0.019,0.028,0.03
"P10","Juan Schiaretti por Juntos por el Cambio",0.028,0.289,0.028,0.054
"P10","Jose Luis Espert por Juntos por el Cambio",0.031,0.036,0.191,0.168
"P10","Javier Milei por la Libertad Avanza",0.282,0.529,0.023,0.038
"P10","Al candidato del Frente de Izquierda",0.005,0.011,0.087,0.034
"P10","En blanco",0.009,0.006,0.064,0.026
"P10","No sabe",0.031,0.02,0.146,0.31
"P13","Wado de Pedro por el Frente de Todos",0.104,0.067,0.478,0.381
"P13","Patricia Bullrich por Juntos por el Cambio",0.438,0.038,0.019,0.06
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.107,0.023,0.032,0.032
"P13","Juan Schiaretti por Juntos por el Cambio",0.021,0.303,0.021,0.049
"P13","Jose Luis Espert por Juntos por el Cambio",0.031,0.072,0.222,0.122
"P13","Javier Milei por la Libertad Avanza",0.261,0.479,0.056,0.069
"P13","Al candidato del Frente de Izquierda",0.003,0.004,0.057,0.034
"P13","En blanco",0.008,0.004,0.063,0.013
"P13","No sabe",0.027,0.01,0.052,0.24
"P16","Sergio Massa por el Frente de Todos",0.031,0.042,0.222,0.184
"P16","Wado de Pedro por el Frente de Todos",0.038,0.04,0.493,0.344
"P16","Daniel Scioli por el Frente de Todos",0.024,0.03,0.074,0.083
"P16","Patricia Bullrich por Juntos por el Cambio",0.665,0.127,0.028,0.1
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.146,0.051,0.042,0.05
"P16","Javier Milei por la Libertad Avanza",0.071,0.687,0.022,0.017
"P16","Al candidato del Frente de Izquierda",0.002,0.005,0.045,0.011
"P16","En blanco",0.005,0.009,0.042,0.016
"P16","No sabe",0.018,0.009,0.032,0.195
"P19","Sergio Massa por el Frente de Todos",0.041,0.056,0.199,0.167
"P19","Wado de Pedro por el Frente de Todos",0.035,0.046,0.562,0.398
"P19","Patricia Bullrich por Juntos por el Cambio",0.678,0.096,0.024,0.057
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.152,0.025,0.041,0.076
"P19","Javier Milei por la Libertad Avanza",0.058,0.714,0.031,0.047
"P19","Al candidato del Frente de Izquierda",0.012,0.046,0.05,0.008
"P19","En blanco",0.005,0.005,0.057,0.016
"P19","No sabe",0.019,0.012,0.036,0.231
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.054,0.095,0.684,0.51
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.693,0.109,0.031,0.102
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.132,0.041,0.067,0.071
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.035,0.032,0.009,0.024
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.057,0.693,0.021,0.043
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.003,0.012,0.064,0.016
"P22","En blanco",0.009,0.006,0.057,0.013
"P22","No sabe",0.017,0.012,0.067,0.221
"P25","Sergio Massa por el Frente de Todos",0.056,0.082,0.463,0.326
"P25","Daniel Scioli por el Frente de Todos",0.05,0.056,0.17,0.151
"P25","Patricia Bullrich por Juntos por el Cambio",0.67,0.096,0.064,0.09
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.143,0.028,0.041,0.053
"P25","Javier Milei por la Libertad Avanza",0.045,0.694,0.031,0.047
"P25","Al candidato del Frente de Izquierda",0.006,0.012,0.082,0.021
"P25","En blanco",0.009,0.007,0.072,0.04
"P25","No sabe",0.021,0.025,0.077,0.272
"P26","Wado de Pedro por el Frente de Todos",0.039,0.044,0.654,0.441
"P26","Daniel Scioli por el Frente de Todos",0.024,0.041,0.134,0.13
"P26","Patricia Bullrich por Juntos por el Cambio",0.73,0.105,0.02,0.076
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.135,0.02,0.04,0.045
"P26","Javier Milei por la Libertad Avanza",0.04,0.755,0.018,0.046
"P26","Al candidato del Frente de Izquierda",0.004,0.012,0.048,0.013
"P26","En blanco",0.01,0.004,0.049,0.018
"P26","No sabe",0.018,0.019,0.037,0.231
"P27","Sergio Massa por el Frente de Todos",0.037,0.061,0.644,0.451
"P27","Patricia Bullrich por Juntos por el Cambio",0.695,0.111,0.024,0.098
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.184,0.025,0.041,0.041
"P27","Javier Milei por la Libertad Avanza",0.044,0.717,0.02,0.021
"P27","Al candidato del Frente de Izquierda",0.011,0.063,0.087,0.031
"P27","En blanco",0.004,0.011,0.087,0.018
"P27","No sabe",0.025,0.012,0.097,0.34
"P28","Wado de Pedro por el Frente de Todos",0.038,0.064,0.728,0.507
"P28","Patricia Bullrich por Juntos por el Cambio",0.737,0.116,0.019,0.082
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.143,0.026,0.041,0.039
"P28","Javier Milei por la Libertad Avanza",0.048,0.748,0.017,0.039
"P28","Al candidato del Frente de Izquierda",0.005,0.016,0.056,0.036
"P28","En blanco",0.006,0.016,0.08,0.024
"P28","No sabe",0.023,0.014,0.059,0.273
"P29","Axel Kicillof por el Frente de Todos",0.037,0.075,0.752,0.513
"P29","Patricia Bullrich por Juntos por el Cambio",0.747,0.094,0.017,0.096
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.149,0.025,0.043,0.054
"P29","Javier Milei por la Libertad Avanza",0.042,0.773,0.014,0.024
"P29","Al candidato del Frente de Izquierda",0.004,0.012,0.051,0.017
"P29","En blanco",0.005,0.009,0.067,0.014
"P29","No sabe",0.016,0.012,0.056,0.282
"P30","Sergio Massa  por el Frente de Todos",0.037,0.079,0.687,0.449
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.438,0.035,0.042,0.052
"P30","Javier Milei por la Libertad Avanza",0.223,0.842,0.01,0.05
"P30","Al candidato del Frente de Izquierda",0.01,0.008,0.092,0.048
"P30","En blanco",0.068,0.008,0.092,0.058
"P30","No sabe",0.224,0.028,0.077,0.343
"P31","Sergio Massa  por el Frente de Todos",0.047,0.082,0.691,0.479
"P31","Patricia Bullrich por Juntos por el Cambio",0.812,0.069,0.018,0.08
"P31","Javier Milei por la Libertad Avanza",0.051,0.812,0.01,0.048
"P31","Al candidato del Frente de Izquierda",0.006,0.01,0.096,0.031
"P31","En blanco",0.016,0.008,0.109,0.038
"P31","No sabe",0.068,0.019,0.076,0.324
"P32","Wado de Pedro por el Frente de Todos",0.025,0.067,0.745,0.537
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.49,0.033,0.056,0.064
"P32","Javier Milei por la Libertad Avanza",0.232,0.848,0.015,0.052
"P32","Al candidato del Frente de Izquierda",0.005,0.01,0.048,0.031
"P32","En blanco",0.077,0.012,0.094,0.032
"P32","No sabe",0.171,0.03,0.042,0.284
"P33","Wado de Pedro por el Frente de Todos",0.037,0.068,0.769,0.515
"P33","Patricia Bullrich por Juntos por el Cambio",0.853,0.072,0.021,0.074
"P33","Javier Milei por la Libertad Avanza",0.046,0.82,0.018,0.032
"P33","Al candidato del Frente de Izquierda",0.003,0.009,0.049,0.051
"P33","En blanco",0.024,0.004,0.108,0.004
"P33","No sabe",0.037,0.027,0.035,0.324
"P34","Daniel Scioli por el Frente de Todos",0.035,0.072,0.607,0.422
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.485,0.04,0.045,0.072
"P34","Javier Milei por la Libertad Avanza",0.233,0.834,0.016,0.08
"P34","Al candidato del Frente de Izquierda",0.009,0.013,0.101,0.05
"P34","En blanco",0.082,0.006,0.13,0.046
"P34","No sabe",0.156,0.035,0.101,0.33
"P35","Daniel Scioli por el Frente de Todos",0.039,0.082,0.595,0.437
"P35","Patricia Bullrich por Juntos por el Cambio",0.851,0.05,0.022,0.074
"P35","Javier Milei por la Libertad Avanza",0.045,0.829,0.013,0.036
"P35","Al candidato del Frente de Izquierda",0.004,0.01,0.12,0.057
"P35","En blanco",0.02,0.008,0.151,0.016
"P35","No sabe",0.041,0.021,0.099,0.38
"P36","Axel Kicillof por el Frente de Todos",0.031,0.067,0.755,0.543
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.517,0.034,0.048,0.057
"P36","Javier Milei por la Libertad Avanza",0.236,0.864,0.017,0.057
"P36","Al candidato del Frente de Izquierda",0.005,0.013,0.059,0.025
"P36","En blanco",0.074,0.008,0.078,0.02
"P36","No sabe",0.137,0.014,0.043,0.298
"P37","Axel Kicillof por el Frente de Todos",0.036,0.071,0.761,0.542
"P37","Patricia Bullrich por Juntos por el Cambio",0.847,0.054,0.015,0.053
"P37","Javier Milei por la Libertad Avanza",0.056,0.843,0.014,0.044
"P37","Al candidato del Frente de Izquierda",0.011,0.003,0.066,0.03
"P37","En blanco",0.02,0.012,0.103,0.017
"P37","No sabe",0.03,0.017,0.041,0.314
"P38","Horacio Rodríguez Larreta por Juntos por el Cambio",0.621,0.253,0.044,0.074
"P38","Sergio Massa por el Frente de Todos",0.072,0.133,0.724,0.493
"P38","En blanco",0.119,0.362,0.163,0.021
"P38","No sabe",0.188,0.252,0.069,0.412
"P39","Horacio Rodríguez Larreta por Juntos por el Cambio",0.67,0.279,0.054,0.087
"P39","Wado de Pedro por el Frente de Todos",0.042,0.111,0.784,0.561
"P39","En blanco",0.122,0.412,0.128,0.043
"P39","No sabe",0.166,0.198,0.034,0.309
"P40","Patricia Bullrich por Juntos por el Cambio",0.919,0.568,0.022,0.075
"P40","Sergio Massa por el Frente de Todos",0.047,0.128,0.751,0.541
"P40","En blanco",0.018,0.196,0.178,0.03
"P40","No sabe",0.016,0.108,0.049,0.354
"P41","Patricia Bullrich por Juntos por el Cambio",0.935,0.633,0.028,0.085
"P41","Wado de Pedro  por el Frente de Todos",0.04,0.098,0.797,0.561
"P41","En blanco",0.013,0.175,0.152,0.026
"P41","No sabe",0.012,0.094,0.023,0.328
"P42","Patricia Bullrich por Juntos por el Cambio",0.934,0.619,0.02,0.097
"P42","Daniel Scioli por el Frente de Todos",0.043,0.117,0.704,0.479
"P42","En blanco",0.009,0.17,0.221,0.029
"P42","No sabe",0.014,0.094,0.055,0.395
"P43","Horacio Rodríguez Larreta por Juntos por el Cambio",0.708,0.328,0.05,0.096
"P43","Daniel Scioli por el Frente de Todos",0.046,0.103,0.697,0.485
"P43","En blanco",0.106,0.402,0.205,0.044
"P43","No sabe",0.14,0.167,0.048,0.375
"P44","Patricia Bullrich por Juntos por el Cambio",0.928,0.574,0.02,0.095
"P44","Axel Kicillof por el Frente de Todos",0.036,0.102,0.797,0.542
"P44","En blanco",0.016,0.209,0.157,0.031
"P44","No sabe",0.02,0.115,0.026,0.332
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.722,0.366,0.048,0.102
"P45","Axel Kicillof por el Frente de Todos",0.034,0.09,0.801,0.556
"P45","En blanco",0.109,0.391,0.129,0.022
"P45","No sabe",0.135,0.153,0.022,0.32
"P46","Horacio Rodríguez Larreta por Juntos por el Cambio",0.593,0.071,0.098,0.074
"P46","Javier Milei por los liberales libertarios",0.226,0.846,0.095,0.088
"P46","En blanco",0.066,0.054,0.726,0.069
"P46","No sabe",0.115,0.029,0.081,0.769
"P48","Javier Milei por los liberales libertarios",0.538,0.765,0.008,0.078
"P48","Sergio Massa por el Frente de Todos",0.065,0.212,0.707,0.487
"P48","En blanco",0.202,0.007,0.278,0.041
"P48","No sabe",0.195,0.016,0.007,0.394
"P49","Javier Milei por los liberales libertarios",0.51,0.886,0.015,0.061
"P49","Wado de Pedro  por el Frente de Todos",0.045,0.094,0.815,0.559
"P49","En blanco",0.234,0.004,0.159,0.036
"P49","No sabe",0.211,0.016,0.011,0.344
"P50","Javier Milei por los liberales libertarios",0.505,0.892,0.014,0.055
"P50","Daniel Scioli por el Frente de Todos",0.06,0.084,0.751,0.5
"P50","En blanco",0.241,0.008,0.209,0.059
"P50","No sabe",0.194,0.016,0.026,0.386
