"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.464,0.434,0.336,0.333,0.383,0.328,0.227
"P05","Bastante",0.376,0.364,0.397,0.379,0.278,0.281,0.26
"P05","Poco",0.119,0.147,0.178,0.148,0.19,0.153,0.233
"P05","Nada",0.023,0.043,0.065,0.105,0.145,0.161,0.175
"P05","No sabe",0.018,0.012,0.024,0.035,0.004,0.077,0.105
"P06","Siempre",0.322,0.329,0.256,0.233,0.294,0.199,0.234
"P06","Casi siempre",0.436,0.425,0.493,0.358,0.36,0.365,0.33
"P06","Casi nunca",0.163,0.189,0.208,0.302,0.231,0.29,0.253
"P06","Nunca, pero esta es una excepción",0.079,0.057,0.043,0.107,0.115,0.146,0.183
"P07","Del Frente de Todos y el peronismo",0.842,0.043,0.11,0.053,0.214,0.194,0.27
"P07","De Juntos por el Cambio",0.054,0.794,0.677,0.087,0.15,0.133,0.081
"P07","De los Liberales libertarios",0.036,0.097,0.06,0.741,0.079,0.176,0.039
"P07","De la Izquierda",0.022,0.009,0.021,0.027,0.488,0.069,0.042
"P07","No sabe",0.046,0.057,0.132,0.092,0.069,0.428,0.568
"P08","A Sergio Massa",0.279,0.235,0.353,0.367,0.299,0.446,0.365
"P08","A Daniel Scioli",0.079,0.257,0.251,0.203,0.02,0.235,0.168
"P08","A algún candidato del peronismo",0.095,0.315,0.288,0.259,0.334,0.174,0.225
"P08","A algún candidato del kirchnerismo",0.547,0.193,0.108,0.171,0.347,0.145,0.242
"P09","A Horacio Rodríguez Larreta",0.295,0.024,0.596,0.162,0.036,0.085,0.158
"P09","A Patricia Bullrich",0.199,0.933,0.185,0.643,0.329,0.27,0.37
"P09","A Facundo Manes",0.341,0.029,0.098,0.087,0.124,0.455,0.299
"P09","A Gerardo Morales",0.165,0.014,0.121,0.108,0.511,0.19,0.173
"P10","Sergio Massa por el Frente de Todos",0.448,0.029,0.285,0.013,0.083,0.123,0.168
"P10","Patricia Bullrich por Juntos por el Cambio",0.028,0.574,0.077,0.023,0.033,0.074,0.05
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.018,0.382,0.014,0.02,0.046,0.017
"P10","Juan Schiaretti por Juntos por el Cambio",0.02,0.013,0.066,0.311,0.098,0.061,0.081
"P10","Jose Luis Espert por Juntos por el Cambio",0.233,0.018,0.045,0.011,0.093,0.072,0.065
"P10","Javier Milei por la Libertad Avanza",0.02,0.328,0.048,0.603,0.039,0.094,0.032
"P10","Al candidato del Frente de Izquierda",0.045,0.001,0.012,0.005,0.545,0.029,0.026
"P10","En blanco",0.031,0.003,0.004,0.006,0.024,0.314,0.072
"P10","No sabe",0.169,0.016,0.081,0.014,0.065,0.187,0.489
"P13","Wado de Pedro por el Frente de Todos",0.532,0.068,0.24,0.032,0.137,0.08,0.101
"P13","Patricia Bullrich por Juntos por el Cambio",0.028,0.548,0.115,0.021,0.031,0.035,0.075
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.042,0.476,0.016,0.012,0.011,0.029
"P13","Juan Schiaretti por Juntos por el Cambio",0.011,0.014,0.046,0.32,0.085,0.062,0.072
"P13","Jose Luis Espert por Juntos por el Cambio",0.246,0.015,0.039,0.053,0.112,0.098,0.086
"P13","Javier Milei por la Libertad Avanza",0.054,0.297,0.016,0.544,0.048,0.118,0.024
"P13","Al candidato del Frente de Izquierda",0.022,0.002,0.004,0.004,0.488,0.027,0.027
"P13","En blanco",0.026,0.001,0.003,0.003,0.014,0.469,0.053
"P13","No sabe",0.076,0.013,0.061,0.007,0.073,0.1,0.533
"P16","Sergio Massa por el Frente de Todos",0.253,0.026,0.069,0.02,0.143,0.101,0.158
"P16","Wado de Pedro por el Frente de Todos",0.552,0.023,0.037,0.025,0.173,0.025,0.114
"P16","Daniel Scioli por el Frente de Todos",0.082,0.016,0.03,0.027,0.079,0.193,0.057
"P16","Patricia Bullrich por Juntos por el Cambio",0.021,0.824,0.103,0.069,0.063,0.03,0.051
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.03,0.662,0.041,0.031,0.055,0.024
"P16","Javier Milei por la Libertad Avanza",0.029,0.062,0.061,0.793,0.035,0.027,0.018
"P16","Al candidato del Frente de Izquierda",0.011,0.002,0.002,0.006,0.393,0.03,0.022
"P16","En blanco",0.006,0.006,0.005,0.005,0.039,0.387,0.033
"P16","No sabe",0.027,0.011,0.031,0.014,0.044,0.152,0.523
"P19","Sergio Massa por el Frente de Todos",0.228,0.033,0.073,0.045,0.091,0.091,0.184
"P19","Wado de Pedro por el Frente de Todos",0.616,0.029,0.058,0.031,0.193,0.049,0.13
"P19","Patricia Bullrich por Juntos por el Cambio",0.041,0.827,0.096,0.041,0.073,0.048,0.037
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.043,0.685,0.013,0.042,0.043,0.03
"P19","Javier Milei por la Libertad Avanza",0.032,0.055,0.028,0.804,0.092,0.056,0.032
