"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.434,0.457,0.407,0.298
"P05","Bastante",0.375,0.413,0.353,0.338
"P05","Poco",0.131,0.093,0.136,0.218
"P05","Nada",0.042,0.023,0.078,0.103
"P05","No sabe",0.018,0.014,0.026,0.043
"P06","Siempre",0.323,0.319,0.265,0.287
"P06","Casi siempre",0.457,0.464,0.37,0.365
"P06","Casi nunca",0.165,0.154,0.26,0.252
"P06","Nunca, pero esta es una excepción",0.055,0.063,0.105,0.096
"P07","Del Frente de Todos y el peronismo",0.076,0.805,0.057,0.11
"P07","De Juntos por el Cambio",0.65,0.071,0.246,0.398
"P07","De los Liberales libertarios",0.201,0.041,0.537,0.26
"P07","De la Izquierda",0.015,0.034,0.053,0.031
"P07","No sabe",0.058,0.049,0.107,0.201
"P08","A Sergio Massa",0.207,0.284,0.329,0.498
"P08","A Daniel Scioli",0.267,0.084,0.205,0.106
"P08","A algún candidato del peronismo",0.305,0.093,0.152,0.252
"P08","A algún candidato del kirchnerismo",0.221,0.539,0.314,0.144
"P09","A Horacio Rodríguez Larreta",0.195,0.229,0.019,0.025
"P09","A Patricia Bullrich",0.698,0.323,0.874,0.904
"P09","A Facundo Manes",0.05,0.314,0.065,0.017
"P09","A Gerardo Morales",0.057,0.134,0.042,0.054
"P10","Sergio Massa por el Frente de Todos",0.088,0.432,0.019,0.062
"P10","Patricia Bullrich por Juntos por el Cambio",0.347,0.027,0.176,0.265
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.116,0.004,0.009,0.018
"P10","Juan Schiaretti por Juntos por el Cambio",0.083,0.018,0.218,0.13
"P10","Jose Luis Espert por Juntos por el Cambio",0.032,0.217,0.029,0.03
"P10","Javier Milei por la Libertad Avanza",0.3,0.038,0.42,0.336
"P10","Al candidato del Frente de Izquierda",0.006,0.058,0.038,0.02
"P10","En blanco",0.003,0.034,0.053,0.011
"P10","No sabe",0.025,0.172,0.038,0.128
"P13","Wado de Pedro por el Frente de Todos",0.105,0.536,0.026,0.077
"P13","Patricia Bullrich por Juntos por el Cambio",0.327,0.031,0.136,0.255
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.151,0.004,0.011,0.027
"P13","Juan Schiaretti por Juntos por el Cambio",0.084,0.016,0.191,0.147
"P13","Jose Luis Espert por Juntos por el Cambio",0.037,0.25,0.048,0.032
"P13","Javier Milei por la Libertad Avanza",0.262,0.061,0.448,0.281
"P13","Al candidato del Frente de Izquierda",0.005,0.026,0.037,0.016
"P13","En blanco",0.003,0.018,0.073,0.011
"P13","No sabe",0.026,0.058,0.03,0.154
"P16","Sergio Massa por el Frente de Todos",0.035,0.233,0.047,0.072
"P16","Wado de Pedro por el Frente de Todos",0.025,0.56,0.015,0.032
"P16","Daniel Scioli por el Frente de Todos",0.025,0.066,0.055,0.043
"P16","Patricia Bullrich por Juntos por el Cambio",0.488,0.035,0.263,0.419
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.202,0.016,0.021,0.027
"P16","Javier Milei por la Libertad Avanza",0.198,0.038,0.474,0.256
"P16","Al candidato del Frente de Izquierda",0.002,0.02,0.033,0.009
"P16","En blanco",0.005,0.003,0.066,0.006
"P16","No sabe",0.02,0.029,0.026,0.136
"P19","Sergio Massa por el Frente de Todos",0.04,0.21,0.042,0.092
"P19","Wado de Pedro por el Frente de Todos",0.036,0.617,0.023,0.049
"P19","Patricia Bullrich por Juntos por el Cambio",0.499,0.035,0.26,0.354
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.199,0.018,0.016,0.036
"P19","Javier Milei por la Libertad Avanza",0.192,0.046,0.493,0.276
"P19","Al candidato del Frente de Izquierda",0.012,0.031,0.067,0.033
"P19","En blanco",0.004,0.006,0.066,0.016
"P19","No sabe",0.018,0.037,0.033,0.144
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.051,0.75,0.057,0.125
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.523,0.046,0.264,0.396
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.175,0.035,0.03,0.032
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.045,0.012,0.019,0.021
