"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.339,0.315,0.362,0.305,0.304,0.353,0.422,0.343,0.346,0.328,0.356,0.369,0.238,0.323,0.326,0.356,0.322
"Patricia Bullrich","Buena",0.156,0.178,0.134,0.203,0.148,0.144,0.139,0.134,0.166,0.162,0.178,0.15,0.133,0.139,0.186,0.12,0.176
"Patricia Bullrich","Ni buena ni mala",0.101,0.121,0.083,0.119,0.126,0.083,0.059,0.128,0.098,0.081,0.099,0.136,0.096,0.09,0.102,0.08,0.165
"Patricia Bullrich","Mala",0.107,0.107,0.108,0.118,0.106,0.105,0.103,0.12,0.1,0.105,0.101,0.1,0.177,0.108,0.126,0.095,0.095
"Patricia Bullrich","Muy mala",0.283,0.266,0.298,0.247,0.304,0.3,0.252,0.244,0.281,0.319,0.252,0.217,0.349,0.331,0.253,0.344,0.226
"Patricia Bullrich","No sabe",0.014,0.013,0.015,0.008,0.012,0.015,0.025,0.031,0.009,0.005,0.014,0.028,0.007,0.009,0.007,0.005,0.016
"Javier Milei","Muy buena",0.21,0.279,0.145,0.361,0.225,0.15,0.109,0.244,0.227,0.157,0.222,0.239,0.207,0.187,0.205,0.188,0.205
"Javier Milei","Buena",0.145,0.147,0.144,0.161,0.135,0.148,0.15,0.133,0.148,0.154,0.147,0.145,0.143,0.145,0.162,0.138,0.139
"Javier Milei","Ni buena ni mala",0.186,0.16,0.21,0.124,0.174,0.201,0.248,0.208,0.182,0.17,0.217,0.181,0.131,0.164,0.187,0.173,0.238
"Javier Milei","Mala",0.112,0.112,0.112,0.085,0.099,0.128,0.142,0.111,0.105,0.12,0.121,0.115,0.12,0.101,0.126,0.099,0.142
"Javier Milei","Muy mala",0.324,0.284,0.362,0.253,0.354,0.352,0.3,0.262,0.318,0.39,0.279,0.273,0.392,0.381,0.303,0.397,0.218
"Javier Milei","No sabe",0.023,0.018,0.027,0.016,0.013,0.021,0.051,0.042,0.02,0.009,0.014,0.047,0.007,0.022,0.017,0.005,0.058
"Jose Luis Espert","Muy buena",0.102,0.121,0.083,0.145,0.073,0.105,0.112,0.118,0.102,0.087,0.103,0.078,0.069,0.114,0.088,0.101,0.068
"Jose Luis Espert","Buena",0.202,0.202,0.201,0.126,0.188,0.239,0.255,0.183,0.211,0.208,0.215,0.221,0.129,0.19,0.206,0.198,0.243
"Jose Luis Espert","Ni buena ni mala",0.255,0.246,0.264,0.248,0.267,0.237,0.262,0.282,0.251,0.236,0.263,0.293,0.298,0.227,0.277,0.221,0.306
"Jose Luis Espert","Mala",0.119,0.134,0.105,0.136,0.127,0.109,0.098,0.135,0.105,0.121,0.128,0.098,0.104,0.121,0.14,0.12,0.078
"Jose Luis Espert","Muy mala",0.281,0.261,0.301,0.301,0.304,0.28,0.219,0.216,0.286,0.333,0.263,0.213,0.362,0.317,0.258,0.337,0.234
"Jose Luis Espert","No sabe",0.041,0.036,0.046,0.044,0.041,0.03,0.054,0.066,0.045,0.015,0.028,0.097,0.038,0.031,0.031,0.023,0.071
"Horacio Rodríguez Larreta","Muy buena",0.13,0.117,0.142,0.089,0.116,0.143,0.179,0.152,0.139,0.098,0.122,0.151,0.101,0.132,0.126,0.124,0.117
