"var","categoria","Javier Milei por los liberales libertarios","Daniel Scioli por el Frente de Todos","En blanco","No sabe"
"P27","Al candidato del Frente de Izquierda",0.032,0.066,0.076,0.016
"P27","En blanco",0.007,0.036,0.092,0.01
"P27","No sabe",0.013,0.101,0.069,0.216
"P28","Wado de Pedro por el Frente de Todos",0.017,0.785,0.165,0.106
"P28","Patricia Bullrich por Juntos por el Cambio",0.414,0.034,0.461,0.5
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.028,0.175,0.109
"P28","Javier Milei por la Libertad Avanza",0.479,0.023,0.008,0.039
"P28","Al candidato del Frente de Izquierda",0.007,0.034,0.054,0.031
"P28","En blanco",0.012,0.033,0.08,0.015
"P28","No sabe",0.012,0.063,0.057,0.2
"P29","Axel Kicillof por el Frente de Todos",0.012,0.832,0.151,0.115
"P29","Patricia Bullrich por Juntos por el Cambio",0.419,0.022,0.46,0.505
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.032,0.188,0.118
"P29","Javier Milei por la Libertad Avanza",0.49,0.016,0.008,0.023
"P29","Al candidato del Frente de Izquierda",0.003,0.03,0.051,0.016
"P29","En blanco",0.007,0.02,0.079,0.017
"P29","No sabe",0.01,0.048,0.063,0.206
"P30","Sergio Massa  por el Frente de Todos",0.023,0.741,0.14,0.117
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.192,0.044,0.376,0.285
"P30","Javier Milei por la Libertad Avanza",0.673,0.039,0.012,0.04
"P30","Al candidato del Frente de Izquierda",0.008,0.068,0.072,0.01
"P30","En blanco",0.02,0.038,0.214,0.047
"P30","No sabe",0.084,0.07,0.186,0.501
"P31","Sergio Massa  por el Frente de Todos",0.024,0.766,0.14,0.13
"P31","Patricia Bullrich por Juntos por el Cambio",0.414,0.041,0.523,0.515
"P31","Javier Milei por la Libertad Avanza",0.526,0.023,0.001,0.016
"P31","Al candidato del Frente de Izquierda",0.002,0.067,0.079,0.011
"P31","En blanco",0.006,0.039,0.161,0.015
"P31","No sabe",0.028,0.064,0.096,0.313
"P32","Wado de Pedro por el Frente de Todos",0.011,0.795,0.156,0.143
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.219,0.049,0.418,0.316
"P32","Javier Milei por la Libertad Avanza",0.688,0.037,0.02,0.048
"P32","Al candidato del Frente de Izquierda",0.002,0.037,0.045,0.017
"P32","En blanco",0.018,0.036,0.242,0.031
"P32","No sabe",0.062,0.046,0.119,0.445
"P33","Wado de Pedro por el Frente de Todos",0.013,0.832,0.154,0.126
"P33","Patricia Bullrich por Juntos por el Cambio",0.435,0.043,0.558,0.522
"P33","Javier Milei por la Libertad Avanza",0.526,0.022,0.015,0.015
"P33","Al candidato del Frente de Izquierda",0.001,0.031,0.054,0.033
"P33","En blanco",0.005,0.034,0.158,0.023
"P33","No sabe",0.02,0.038,0.061,0.281
"P34","Daniel Scioli por el Frente de Todos",0.011,0.755,0.036,0.039
