"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.46,0.426,0.337,0.328,0.329,0.459,0.279
"P05","Bastante",0.366,0.365,0.394,0.361,0.405,0.199,0.302
"P05","Poco",0.117,0.149,0.174,0.154,0.153,0.183,0.214
"P05","Nada",0.031,0.048,0.068,0.125,0.096,0.092,0.133
"P05","No sabe",0.026,0.012,0.027,0.032,0.017,0.067,0.072
"P06","Siempre",0.32,0.321,0.262,0.225,0.282,0.198,0.258
"P06","Casi siempre",0.431,0.424,0.466,0.36,0.379,0.4,0.356
"P06","Casi nunca",0.163,0.19,0.209,0.304,0.254,0.276,0.237
"P06","Nunca, pero esta es una excepción",0.086,0.065,0.063,0.111,0.085,0.126,0.149
"P07","Del Frente de Todos y el peronismo",0.826,0.063,0.111,0.051,0.253,0.33,0.352
"P07","De Juntos por el Cambio",0.063,0.772,0.685,0.094,0.101,0.098,0.091
"P07","De los Liberales libertarios",0.036,0.096,0.085,0.733,0.272,0.142,0.044
"P07","De la Izquierda",0.013,0.007,0.021,0.036,0.24,0.107,0.043
"P07","No sabe",0.062,0.062,0.098,0.086,0.134,0.323,0.47
"P08","A Sergio Massa",0.347,0.197,0.265,0.212,0.189,0.088,0.143
"P08","A Daniel Scioli",0.075,0.281,0.28,0.186,0.115,0.061,0.13
"P08","A algún candidato del peronismo",0.096,0.252,0.279,0.336,0.115,0.154,0.206
"P08","A algún candidato del kirchnerismo",0.482,0.27,0.176,0.266,0.581,0.697,0.521
"P09","A Horacio Rodríguez Larreta",0.257,0.03,0.478,0.203,0.24,0.053,0.214
"P09","A Patricia Bullrich",0.262,0.927,0.335,0.609,0.239,0.247,0.318
"P09","A Facundo Manes",0.371,0.026,0.086,0.12,0.168,0.477,0.221
"P09","A Gerardo Morales",0.11,0.017,0.101,0.068,0.353,0.223,0.247
"P10","Sergio Massa por el Frente de Todos",0.528,0.037,0.227,0.022,0.081,0.035,0.08
"P10","Patricia Bullrich por Juntos por el Cambio",0.023,0.554,0.181,0.023,0.045,0.033,0.055
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.017,0.316,0.021,0.022,0.032,0.015
"P10","Juan Schiaretti por Juntos por el Cambio",0.022,0.022,0.057,0.303,0.125,0.056,0.062
"P10","Jose Luis Espert por Juntos por el Cambio",0.264,0.018,0.037,0.019,0.066,0.043,0.028
"P10","Javier Milei por la Libertad Avanza",0.024,0.329,0.124,0.583,0.201,0.1,0.045
"P10","Al candidato del Frente de Izquierda",0.022,0.003,0.003,0.005,0.333,0.089,0.029
"P10","En blanco",0.007,0.005,0.003,0.006,0.049,0.378,0.073
"P10","No sabe",0.102,0.015,0.052,0.018,0.078,0.234,0.613
"P13","Wado de Pedro por el Frente de Todos",0.533,0.068,0.211,0.03,0.203,0.168,0.181
"P13","Patricia Bullrich por Juntos por el Cambio",0.039,0.526,0.171,0.032,0.036,0.028,0.055
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.041,0.383,0.032,0.01,0.023,0.022
"P13","Juan Schiaretti por Juntos por el Cambio",0.01,0.021,0.041,0.298,0.157,0.046,0.056
"P13","Jose Luis Espert por Juntos por el Cambio",0.225,0.01,0.051,0.058,0.133,0.139,0.137
"P13","Javier Milei por la Libertad Avanza",0.055,0.312,0.095,0.534,0.133,0.107,0.025
"P13","Al candidato del Frente de Izquierda",0.014,0.002,0.008,0.004,0.269,0.069,0.015
"P13","En blanco",0.021,0.005,0.003,0.003,0.03,0.32,0.075
"P13","No sabe",0.092,0.015,0.037,0.009,0.029,0.1,0.434
"P16","Sergio Massa por el Frente de Todos",0.338,0.023,0.053,0.017,0.093,0.061,0.027
"P16","Wado de Pedro por el Frente de Todos",0.489,0.031,0.043,0.028,0.223,0.243,0.256
"P16","Daniel Scioli por el Frente de Todos",0.066,0.031,0.029,0.023,0.048,0.113,0.079
"P16","Patricia Bullrich por Juntos por el Cambio",0.026,0.789,0.267,0.071,0.088,0.024,0.041
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.038,0.532,0.052,0.042,0.033,0.029
"P16","Javier Milei por la Libertad Avanza",0.025,0.071,0.052,0.785,0.241,0.053,0.044
"P16","Al candidato del Frente de Izquierda",0.007,0.001,0.001,0.005,0.225,0.044,0.018
"P16","En blanco",0.007,0.003,0.004,0.005,0.016,0.343,0.048
"P16","No sabe",0.023,0.013,0.019,0.014,0.024,0.086,0.458
"P19","Sergio Massa por el Frente de Todos",0.316,0.032,0.071,0.038,0.083,0.039,0.042
"P19","Wado de Pedro por el Frente de Todos",0.549,0.031,0.058,0.03,0.25,0.261,0.274
"P19","Patricia Bullrich por Juntos por el Cambio",0.044,0.81,0.23,0.056,0.044,0.031,0.033
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.04,0.567,0.027,0.043,0.018,0.032
"P19","Javier Milei por la Libertad Avanza",0.035,0.069,0.042,0.793,0.23,0.033,0.038
"P19","Al candidato del Frente de Izquierda",0.003,0.007,0.018,0.032,0.294,0.117,0.007
"P19","En blanco",0.003,0.004,0.004,0.008,0.04,0.367,0.071
"P19","No sabe",0.02,0.007,0.01,0.016,0.016,0.134,0.503
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.868,0.047,0.067,0.05,0.18,0.171,0.243
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.051,0.797,0.295,0.067,0.053,0.024,0.041
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.026,0.045,0.468,0.036,0.059,0.057,0.105
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.009,0.03,0.047,0.022,0.046,0.068,0.014
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.024,0.059,0.07,0.792,0.303,0.017,0.021
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.004,0.003,0.012,0.011,0.32,0.141,0.02
"P22","En blanco",0.003,0.007,0.018,0.009,0.008,0.356,0.061
"P22","No sabe",0.015,0.012,0.023,0.013,0.031,0.166,0.495
"P25","Sergio Massa por el Frente de Todos",0.692,0.048,0.065,0.03,0.109,0.026,0.059
"P25","Daniel Scioli por el Frente de Todos",0.173,0.059,0.056,0.027,0.107,0.135,0.095
"P25","Patricia Bullrich por Juntos por el Cambio",0.045,0.8,0.25,0.052,0.017,0.042,0.027
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.038,0.564,0.036,0.12,0.032,0.032
"P25","Javier Milei por la Libertad Avanza",0.026,0.035,0.044,0.816,0.189,0.029,0.023
"P25","Al candidato del Frente de Izquierda",0.012,0.004,0.011,0.007,0.391,0.146,0.021
"P25","En blanco",0.006,0.005,0.001,0.009,0.021,0.493,0.098
"P25","No sabe",0.03,0.011,0.009,0.023,0.046,0.097,0.645
"P26","Wado de Pedro por el Frente de Todos",0.749,0.016,0.023,0.015,0.185,0.266,0.238
"P26","Daniel Scioli por el Frente de Todos",0.151,0.044,0.029,0.011,0.114,0.092,0.097
"P26","Patricia Bullrich por Juntos por el Cambio",0.019,0.877,0.286,0.035,0.018,0.009,0.024
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.015,0.6,0.021,0.061,0.039,0.018
"P26","Javier Milei por la Libertad Avanza",0.011,0.031,0.027,0.893,0.297,0.019,0.032
"P26","Al candidato del Frente de Izquierda",0.004,0.002,0.01,0.004,0.268,0.139,0.007
"P26","En blanco",0.009,0.004,0.007,0.005,0.032,0.318,0.088
"P26","No sabe",0.047,0.011,0.018,0.016,0.025,0.118,0.496
"P28","Wado de Pedro por el Frente de Todos",0.855,0.021,0.015,0.019,0.266,0.258,0.269
"P28","Patricia Bullrich por Juntos por el Cambio",0.021,0.92,0.217,0.028,0.041,0.006,0.019
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.008,0.016,0.685,0.019,0.042,0.001,0.009
"P28","Javier Milei por la Libertad Avanza",0.017,0.024,0.04,0.906,0.225,0.019,0.01
"P28","Al candidato del Frente de Izquierda",0.014,0.003,0.007,0.006,0.348,0.071,0.018
"P28","En blanco",0.027,0.003,0.014,0.002,0.044,0.561,0.061
"P28","No sabe",0.058,0.013,0.022,0.02,0.034,0.084,0.614
"P29","Axel Kicillof por el Frente de Todos",0.845,0.031,0.041,0.025,0.302,0.265,0.289
"P29","Patricia Bullrich por Juntos por el Cambio",0.027,0.906,0.231,0.028,0.025,0.023,0.022
